Date,Adj Close_PARADEEP.NS,Close_PARADEEP.NS,High_PARADEEP.NS,Low_PARADEEP.NS,Open_PARADEEP.NS,Volume_PARADEEP.NS,Date
2022-05-23,43.34104537963867,43.900001525878906,47.25,43.0,44.0,99210394,2022-05-23
2022-05-30,43.587860107421875,44.150001525878906,45.70000076293945,41.099998474121094,45.0,51210722,2022-05-30
2022-06-06,41.71205139160156,42.25,44.79999923706055,42.099998474121094,44.0,20601818,2022-06-06
2022-06-13,38.40470504760742,38.900001525878906,42.29999923706055,38.70000076293945,41.95000076293945,12979491,2022-06-13
2022-06-20,37.170623779296875,37.650001525878906,39.70000076293945,37.45000076293945,38.900001525878906,9450599,2022-06-20
2022-06-27,39.04642868041992,39.54999923706055,41.349998474121094,37.75,38.20000076293945,7157055,2022-06-27
2022-07-04,40.5273323059082,41.04999923706055,41.95000076293945,39.25,39.400001525878906,9643611,2022-07-04
2022-07-11,41.119693756103516,41.650001525878906,42.25,40.599998474121094,41.099998474121094,8363298,2022-07-11
2022-07-18,47.0926628112793,47.70000076293945,49.79999923706055,41.29999923706055,41.849998474121094,68400312,2022-07-18
2022-07-25,51.93027114868164,52.599998474121094,52.900001525878906,47.849998474121094,49.25,74076467,2022-07-25
2022-08-01,50.40000534057617,51.04999923706055,55.0,48.25,52.95000076293945,68691117,2022-08-01
2022-08-08,48.968467712402344,49.599998474121094,51.75,48.900001525878906,51.400001525878906,14294592,2022-08-08
2022-08-15,47.3394775390625,47.95000076293945,50.0,47.5,49.599998474121094,13189086,2022-08-15
2022-08-22,52.127723693847656,52.79999923706055,55.599998474121094,47.5,47.54999923706055,54070843,2022-08-22
2022-08-29,59.48286819458008,60.25,62.900001525878906,51.29999923706055,51.400001525878906,80115373,2022-08-29
2022-09-05,61.40803909301758,62.20000076293945,65.19999694824219,59.5,60.900001525878906,53179366,2022-09-05
2022-09-12,65.40647888183594,66.25,72.0,61.70000076293945,62.70000076293945,70907913,2022-09-12
2022-09-19,63.974937438964844,64.80000305175781,69.69999694824219,62.29999923706055,66.80000305175781,49631478,2022-09-19
2022-09-26,61.161224365234375,61.95000076293945,64.19999694824219,60.75,64.0,31728493,2022-09-26
2022-10-03,66.78865051269531,67.6500015258789,68.75,60.900001525878906,62.04999923706055,45050429,2022-10-03
