Date,Adj Close_IDEAFORGE.NS,Close_IDEAFORGE.NS,High_IDEAFORGE.NS,Low_IDEAFORGE.NS,Open_IDEAFORGE.NS,Volume_IDEAFORGE.NS,Date
2023-07-03,1294.949951171875,1294.949951171875,1343.949951171875,1260.0,1300.0,9712139,2023-07-03
2023-07-10,1204.9000244140625,1204.9000244140625,1320.0,1114.449951171875,1299.9000244140625,8157872,2023-07-10
2023-07-17,1171.3499755859375,1171.3499755859375,1249.0,1168.050048828125,1218.5,1449506,2023-07-17
2023-07-24,1148.199951171875,1148.199951171875,1212.9000244140625,1123.050048828125,1179.75,940157,2023-07-24
2023-07-31,1106.050048828125,1106.050048828125,1169.4000244140625,1095.199951171875,1153.9000244140625,765468,2023-07-31
2023-08-07,985.4500122070312,985.4500122070312,1127.699951171875,982.0,1114.949951171875,1595482,2023-08-07
2023-08-14,1022.4500122070312,1022.4500122070312,1069.0,959.4000244140625,987.4000244140625,1183222,2023-08-14
2023-08-21,986.2999877929688,986.2999877929688,1044.5999755859375,984.9500122070312,1024.0,557291,2023-08-21
2023-08-28,984.7999877929688,984.7999877929688,1045.0,982.0,986.9000244140625,659821,2023-08-28
2023-09-04,1014.75,1014.75,1052.0,987.0,991.7000122070312,841176,2023-09-04
2023-09-11,990.7999877929688,990.7999877929688,1045.0,981.9000244140625,1017.9500122070312,528092,2023-09-11
2023-09-18,936.9000244140625,936.9000244140625,1015.4000244140625,932.0,994.0,1023897,2023-09-18
2023-09-25,898.5,898.5,946.9500122070312,885.7999877929688,940.0,715428,2023-09-25
2023-10-02,823.4000244140625,823.4000244140625,900.9500122070312,813.9500122070312,898.5,1028781,2023-10-02
2023-10-09,798.3499755859375,798.3499755859375,839.7999877929688,776.4000244140625,828.0,2581252,2023-10-09
2023-10-16,833.0499877929688,833.0499877929688,846.5499877929688,778.0499877929688,801.0,1568444,2023-10-16
2023-10-23,800.25,800.25,840.4000244140625,772.0999755859375,840.4000244140625,1298656,2023-10-23
2023-10-30,790.4000244140625,790.4000244140625,820.8499755859375,782.0,802.0,761898,2023-10-30
2023-11-06,808.6500244140625,808.6500244140625,888.7999877929688,785.0499877929688,799.6500244140625,2013855,2023-11-06
