Date,Adj Close_HINDCOMPOS.NS,Close_HINDCOMPOS.NS,High_HINDCOMPOS.NS,Low_HINDCOMPOS.NS,Open_HINDCOMPOS.NS,Volume_HINDCOMPOS.NS,Date
2020-07-13,171.42291259765625,176.75,183.9499969482422,169.0,180.4499969482422,11741,2020-07-13
2020-07-20,160.0270538330078,165.0,181.3000030517578,162.60000610351562,176.8000030517578,20707,2020-07-20
2020-07-27,156.53555297851562,161.39999389648438,179.89999389648438,160.0,165.0,16133,2020-07-27
2020-08-03,164.92486572265625,170.0500030517578,177.0,160.0,160.0,21492,2020-08-03
2020-08-10,173.26565551757812,178.64999389648438,192.0,166.25,170.0500030517578,53773,2020-08-10
2020-08-17,187.03768920898438,192.85000610351562,198.89999389648438,181.10000610351562,183.0,45918,2020-08-17
2020-08-24,200.61575317382812,206.85000610351562,229.85000610351562,191.85000610351562,192.0500030517578,154519,2020-08-24
2020-08-31,183.10975646972656,188.8000030517578,208.39999389648438,185.0,201.3000030517578,23533,2020-08-31
2020-09-07,182.28536987304688,187.9499969482422,204.0500030517578,183.10000610351562,189.10000610351562,27327,2020-09-07
2020-09-14,188.88043212890625,194.75,203.0,187.1999969482422,188.0,32278,2020-09-14
2020-09-21,177.19358825683594,182.6999969482422,205.8000030517578,175.0,199.0,19530,2020-09-21
2020-09-28,175.9944305419922,179.60000610351562,184.9499969482422,177.0,184.5500030517578,8138,2020-09-28
2020-10-05,193.09410095214844,197.0500030517578,209.0,178.9499969482422,181.10000610351562,71199,2020-10-05
2020-10-12,187.11654663085938,190.9499969482422,203.8000030517578,180.5,197.0500030517578,17178,2020-10-12
2020-10-19,183.58883666992188,187.35000610351562,193.9499969482422,182.3000030517578,190.4499969482422,12809,2020-10-19
2020-10-26,175.25949096679688,178.85000610351562,197.6999969482422,175.39999389648438,187.60000610351562,8420,2020-10-26
2020-11-02,176.0924072265625,179.6999969482422,184.0,174.10000610351562,179.14999389648438,12206,2020-11-02
2020-11-09,219.60105895996094,224.10000610351562,243.0,180.4499969482422,182.75,376781,2020-11-09
2020-11-16,209.3118438720703,213.60000610351562,231.89999389648438,210.0,225.0500030517578,56216,2020-11-16
2020-11-23,202.94232177734375,207.10000610351562,214.9499969482422,205.0,212.39999389648438,30397,2020-11-23
2020-11-30,221.85488891601562,226.39999389648438,241.0,206.5,207.10000610351562,86862,2020-11-30
2020-12-07,215.09339904785156,219.5,231.0,203.6999969482422,228.39999389648438,37070,2020-12-07
2020-12-14,224.40267944335938,229.0,247.0500030517578,218.0500030517578,219.5500030517578,77787,2020-12-14
2020-12-21,218.03318786621094,222.5,234.0,200.5,230.0,32669,2020-12-21
2020-12-28,218.7681121826172,223.25,234.6999969482422,218.0,221.0500030517578,33526,2020-12-28
2021-01-04,239.9344940185547,244.85000610351562,248.0,223.25,231.89999389648438,90815,2021-01-04
2021-01-11,338.3678894042969,345.29998779296875,387.79998779296875,265.5,270.0,887889,2021-01-11
2021-01-18,299.1219177246094,305.25,358.0,300.04998779296875,350.0,59479,2021-01-18
2021-01-25,303.0415954589844,309.25,322.8999938964844,300.0,311.04998779296875,23530,2021-01-25
2021-02-01,294.5653076171875,300.6000061035156,319.0,282.0,315.0,78096,2021-02-01
2021-02-08,299.07293701171875,305.20001220703125,338.45001220703125,299.54998779296875,306.54998779296875,93773,2021-02-08
2021-02-15,292.7033996582031,298.70001220703125,310.0,288.0,310.0,47583,2021-02-15
2021-02-22,293.63433837890625,299.6499938964844,317.0,272.6499938964844,296.0,39037,2021-02-22
