Date,Adj Close_VIPIND.NS,Close_VIPIND.NS,High_VIPIND.NS,Low_VIPIND.NS,Open_VIPIND.NS,Volume_VIPIND.NS,Date
2021-12-06,542.2640380859375,550.0499877929688,556.0,513.0499877929688,528.0,1435820,2021-12-06
2021-12-13,557.347412109375,565.3499755859375,622.75,552.6500244140625,556.0,6093253,2021-12-13
2021-12-20,532.7999267578125,540.4500122070312,574.7999877929688,511.3500061035156,555.7999877929688,2372702,2021-12-20
2021-12-27,531.07470703125,538.7000122070312,554.75,525.0,541.7999877929688,1095444,2021-12-27
2022-01-03,534.426513671875,542.0999755859375,559.0,532.9500122070312,540.9000244140625,976944,2022-01-03
2022-01-10,577.9024047851562,586.2000122070312,604.2000122070312,538.0,540.0,2696653,2022-01-10
2022-01-17,569.6212768554688,577.7999877929688,609.5999755859375,561.0999755859375,586.8499755859375,1791614,2022-01-17
2022-01-24,553.6505737304688,561.5999755859375,582.0,544.8499755859375,574.0,767338,2022-01-24
2022-01-31,639.0247192382812,648.2000122070312,688.0999755859375,565.8499755859375,568.7999877929688,7906696,2022-01-31
2022-02-07,660.072509765625,669.5499877929688,696.0,643.4000244140625,649.5999755859375,4876561,2022-02-07
2022-02-14,636.2150268554688,645.3499755859375,666.7000122070312,602.0999755859375,626.0999755859375,2179213,2022-02-14
2022-02-21,642.278076171875,651.5,694.0,552.2999877929688,646.0,3742623,2022-02-21
2022-02-28,620.5401611328125,629.4500122070312,675.7000122070312,619.0,645.0,1687477,2022-02-28
2022-03-07,619.0614013671875,627.9500122070312,639.9000244140625,582.6500244140625,625.2999877929688,2406227,2022-03-07
2022-03-14,622.6349487304688,628.9000244140625,660.0,601.6500244140625,645.0,3965352,2022-03-14
2022-03-21,682.334228515625,689.2000122070312,706.5999755859375,607.9500122070312,612.0,5794982,2022-03-21
2022-03-28,734.0142211914062,741.4000244140625,774.5999755859375,690.8499755859375,697.4500122070312,5508832,2022-03-28
2022-04-04,718.4210205078125,725.6500244140625,765.0,704.2999877929688,745.0,2219428,2022-04-04
2022-04-11,706.9365844726562,714.0499877929688,738.8499755859375,700.0,727.25,654117,2022-04-11
2022-04-18,681.1461791992188,688.0,754.5999755859375,685.2000122070312,714.5499877929688,1289220,2022-04-18
2022-04-25,659.6127319335938,666.25,692.4000244140625,650.0,686.5,1191938,2022-04-25
2022-05-02,637.0399780273438,643.4500122070312,695.0,625.0,666.25,1412554,2022-05-02
2022-05-09,596.4978637695312,602.5,688.9000244140625,568.25,643.0999755859375,1593674,2022-05-09
2022-05-16,548.3820190429688,553.9000244140625,629.9000244140625,545.3499755859375,581.3499755859375,2554873,2022-05-16
2022-05-23,553.876708984375,559.4500122070312,567.9500122070312,514.0,559.9000244140625,2859884,2022-05-23
2022-05-30,586.0035400390625,591.9000244140625,615.5,550.5,565.0,1831097,2022-05-30
2022-06-06,530.0167846679688,535.3499755859375,588.3499755859375,531.0499877929688,587.0,926850,2022-06-06
2022-06-13,590.2606201171875,596.2000122070312,603.0,505.6499938964844,520.0999755859375,2134666,2022-06-13
2022-06-20,636.2479248046875,642.6500244140625,649.2999877929688,583.0,596.2000122070312,2510277,2022-06-20
2022-06-27,611.7939453125,617.9500122070312,645.0,606.4000244140625,640.0,864860,2022-06-27
2022-07-04,630.2086791992188,636.5499877929688,639.0,585.0499877929688,618.6500244140625,1212956,2022-07-04
2022-07-11,628.1790771484375,634.5,641.9000244140625,607.0499877929688,636.0,1346677,2022-07-11
2022-07-18,657.9791870117188,664.5999755859375,678.0,635.0,636.0,1859507,2022-07-18
2022-07-25,597.6364135742188,603.6500244140625,685.0,595.0,668.6500244140625,4028249,2022-07-25
2022-08-01,594.1217651367188,600.0999755859375,628.7999877929688,595.8499755859375,606.5,1613776,2022-08-01
2022-08-08,579.2711791992188,585.0999755859375,608.8499755859375,574.5499877929688,603.0,2302761,2022-08-08
2022-08-15,584.3203735351562,590.2000122070312,594.5,581.0,585.0999755859375,1046597,2022-08-15
2022-08-22,585.2609252929688,591.1500244140625,603.25,580.0,590.0,860985,2022-08-22
2022-08-29,585.1619262695312,591.0499877929688,601.7000122070312,579.3499755859375,581.9000244140625,604112,2022-08-29
2022-09-05,611.7939453125,617.9500122070312,627.5,584.9500122070312,593.5,1550509,2022-09-05
2022-09-12,643.3760986328125,649.8499755859375,666.0,615.5499877929688,623.7999877929688,4056975,2022-09-12
2022-09-19,669.1171875,675.8499755859375,697.5,645.5999755859375,651.4500122070312,2867219,2022-09-19
2022-09-26,658.919677734375,665.5499877929688,685.9500122070312,635.25,670.0,1337773,2022-09-26
2022-10-03,699.8082885742188,706.8499755859375,729.0,670.0,670.0,2808279,2022-10-03
2022-10-10,680.3541259765625,687.2000122070312,713.4500122070312,678.0,710.0,1089699,2022-10-10
2022-10-17,702.5804443359375,709.6500244140625,722.9500122070312,675.9500122070312,687.3499755859375,1258228,2022-10-17
2022-10-24,697.3828125,704.4000244140625,726.0499877929688,701.0,718.7999877929688,636491,2022-10-24
2022-10-31,722.3812866210938,729.6500244140625,765.0,707.5499877929688,707.9500122070312,2365841,2022-10-31
2022-11-07,717.06201171875,721.7999877929688,740.4500122070312,715.0,733.2999877929688,747814,2022-11-07
2022-11-14,696.3489379882812,700.9500122070312,725.8499755859375,688.5499877929688,725.4500122070312,752334,2022-11-14
2022-11-21,717.0123291015625,721.75,730.0,699.7000122070312,701.9000244140625,1105699,2022-11-21
2022-11-28,714.2307739257812,718.9500122070312,739.0,713.25,722.5,1129918,2022-11-28
2022-12-05,726.4500122070312,731.25,747.0,702.4500122070312,722.5,1395895,2022-12-05
2022-12-12,709.2139282226562,713.9000244140625,760.0,706.0,739.5,1113117,2022-12-12
2022-12-19,657.2571411132812,661.5999755859375,724.0,652.0,715.6500244140625,746904,2022-12-19
2022-12-26,663.7642211914062,668.1500244140625,699.0,656.3499755859375,661.25,452096,2022-12-26
2023-01-02,672.9535522460938,677.4000244140625,690.0,666.9500122070312,671.5,581398,2023-01-02
2023-01-09,702.0115356445312,706.6500244140625,709.7000122070312,678.75,680.7999877929688,585705,2023-01-09
2023-01-16,684.4276733398438,688.9500122070312,708.0,686.0,707.9500122070312,571057,2023-01-16
2023-01-23,697.441650390625,702.0499877929688,730.9500122070312,690.0,690.0,1033292,2023-01-23
2023-01-30,682.7885131835938,687.2999877929688,724.0,660.0999755859375,696.25,1551049,2023-01-30
2023-02-06,672.1303100585938,674.5999755859375,690.9000244140625,652.0,690.75,723264,2023-02-06
2023-02-13,662.615234375,665.0499877929688,674.5999755859375,649.0499877929688,674.5999755859375,593357,2023-02-13
2023-02-20,648.4174194335938,650.7999877929688,674.7999877929688,642.6500244140625,666.9500122070312,334745,2023-02-20
2023-02-27,613.09716796875,615.3499755859375,679.0,611.0499877929688,647.9000244140625,879876,2023-02-27
2023-03-06,599.7960815429688,602.0,621.3499755859375,587.6500244140625,615.0,2067572,2023-03-06
2023-03-13,575.4854125976562,577.5999755859375,602.0,549.4500122070312,588.5499877929688,1670031,2023-03-13
2023-03-20,573.3433227539062,575.4500122070312,592.7999877929688,565.0,571.5999755859375,777906,2023-03-20
2023-03-27,570.6033935546875,572.7000122070312,584.2999877929688,550.0,578.3499755859375,821887,2023-03-27
2023-04-03,573.4429321289062,575.5499877929688,581.0,563.1500244140625,571.0,635851,2023-04-03
2023-04-10,595.960205078125,598.1500244140625,613.1500244140625,572.8499755859375,575.0,861219,2023-04-10
2023-04-17,595.8605346679688,598.0499877929688,602.6500244140625,566.0,598.3499755859375,1226435,2023-04-17
2023-04-24,591.8751831054688,594.0499877929688,604.2999877929688,581.25,598.9500122070312,1253064,2023-04-24
2023-05-01,617.829833984375,620.0999755859375,629.0499877929688,594.0499877929688,594.0499877929688,972854,2023-05-01
2023-05-08,636.8599243164062,639.2000122070312,646.5,608.5,623.25,1449095,2023-05-08
2023-05-15,626.3485717773438,628.6500244140625,650.25,618.4000244140625,628.0,777523,2023-05-15
2023-05-22,612.100830078125,614.3499755859375,635.0999755859375,611.7999877929688,632.0,717944,2023-05-22
2023-05-29,604.030517578125,606.25,625.4500122070312,601.5,620.0,1291706,2023-05-29
2023-06-05,616.036376953125,618.2999877929688,620.0,603.25,610.7999877929688,1109039,2023-06-05
2023-06-12,639.599853515625,641.9500122070312,645.7999877929688,615.3499755859375,622.0,1755649,2023-06-12
2023-06-19,614.043701171875,616.2999877929688,662.8499755859375,613.8499755859375,641.9500122070312,1100114,2023-06-19
2023-06-26,611.4532470703125,613.7000122070312,621.5,604.5499877929688,621.5,1642909,2023-06-26
2023-07-03,604.130126953125,606.3499755859375,619.6500244140625,605.2000122070312,619.6500244140625,1538664,2023-07-03
2023-07-10,584.004150390625,586.1500244140625,614.0,573.5999755859375,612.3499755859375,2025041,2023-07-10
2023-07-17,592.024658203125,594.2000122070312,615.2000122070312,587.9500122070312,587.9500122070312,1696537,2023-07-17
2023-07-24,594.4656982421875,596.6500244140625,609.9500122070312,590.7000122070312,599.9500122070312,1159948,2023-07-24
2023-07-31,582.8085327148438,584.9500122070312,606.5,548.9500122070312,603.2000122070312,6630803,2023-07-31
2023-08-07,672.32958984375,674.7999877929688,707.0,594.0,594.0,13724117,2023-08-07
2023-08-14,676.4146118164062,678.9000244140625,716.2000122070312,646.2999877929688,675.0,4869367,2023-08-14
2023-08-21,679.4534301757812,681.9500122070312,714.5,675.4500122070312,678.9500122070312,4244669,2023-08-21
2023-08-28,657.9324340820312,660.3499755859375,695.0499877929688,658.0,683.2000122070312,3380050,2023-08-28
2023-09-04,690.8116455078125,693.3499755859375,722.8499755859375,644.7999877929688,664.0,8196416,2023-09-04
2023-09-11,688.22119140625,690.75,715.0,639.0,699.0,6574627,2023-09-11
2023-09-18,658.0819091796875,660.5,693.4000244140625,655.3499755859375,692.0,2399297,2023-09-18
2023-09-25,653.7478637695312,656.1500244140625,671.9000244140625,643.3499755859375,661.6500244140625,2034590,2023-09-25
2023-10-02,665.2555541992188,667.7000122070312,686.9500122070312,650.25,656.1500244140625,2943827,2023-10-02
2023-10-09,685.4812622070312,688.0,697.4000244140625,662.25,664.2000122070312,4825800,2023-10-09
2023-10-16,652.3529663085938,654.75,694.7000122070312,652.0,690.8499755859375,2313155,2023-10-16
2023-10-23,621.5162963867188,623.7999877929688,656.2000122070312,595.4000244140625,654.9000244140625,1954646,2023-10-23
2023-10-30,593.07080078125,595.25,623.7999877929688,588.0499877929688,619.2999877929688,2571936,2023-10-30
2023-11-06,601.3901977539062,603.5999755859375,621.5,592.0,595.25,1415884,2023-11-06
2023-11-13,617.1821899414062,619.4500122070312,631.0,594.9500122070312,606.8499755859375,3053770,2023-11-13
2023-11-20,612.3997802734375,614.6500244140625,650.0999755859375,607.75,621.0,4326135,2023-11-20
2023-11-27,594.9140014648438,597.0999755859375,615.0,595.0999755859375,614.6500244140625,1492852,2023-11-27
2023-12-04,591.177734375,593.3499755859375,610.0,588.9000244140625,605.0999755859375,2297991,2023-12-04
2023-12-11,627.0459594726562,629.3499755859375,667.7999877929688,584.0999755859375,589.2000122070312,9119834,2023-12-11
2023-12-18,605.5748291015625,607.7999877929688,658.2000122070312,584.5499877929688,655.0,6469998,2023-12-18
2023-12-25,595.4620361328125,597.6500244140625,614.9000244140625,594.0999755859375,607.7999877929688,2190034,2023-12-25
2024-01-01,586.8934936523438,589.0499877929688,614.6500244140625,587.0999755859375,599.0,4123466,2024-01-01
2024-01-08,573.19384765625,575.2999877929688,593.5,559.9500122070312,591.9500122070312,3402117,2024-01-08
2024-01-15,567.9630737304688,570.0499877929688,581.4000244140625,545.5,579.0,3690472,2024-01-15
2024-01-22,552.9681396484375,555.0,574.0,533.9000244140625,570.0499877929688,1544946,2024-01-22
2024-01-29,529.9527587890625,531.9000244140625,559.0,513.1500244140625,557.0,7475444,2024-01-29
2024-02-05,530.1021728515625,532.0499877929688,555.9000244140625,529.0,535.0,3329146,2024-02-05
2024-02-12,546.9500122070312,546.9500122070312,558.3499755859375,523.5499877929688,532.3499755859375,3628064,2024-02-12
2024-02-19,559.7999877929688,559.7999877929688,574.9000244140625,541.5999755859375,547.0,3053549,2024-02-19
2024-02-26,557.0499877929688,557.0499877929688,574.5,545.2000122070312,561.0,3163129,2024-02-26
2024-03-04,530.2999877929688,530.2999877929688,563.0,521.0499877929688,555.0,1689401,2024-03-04
2024-03-11,465.29998779296875,465.29998779296875,532.9500122070312,450.04998779296875,528.0,4327534,2024-03-11
2024-03-18,462.45001220703125,462.45001220703125,473.95001220703125,449.04998779296875,465.3999938964844,3190359,2024-03-18
2024-03-25,525.5,525.5,539.5,451.1000061035156,462.45001220703125,26376037,2024-03-25
2024-04-01,544.1500244140625,544.1500244140625,554.75,514.5999755859375,519.0,10571299,2024-04-01
2024-04-08,533.5499877929688,533.5499877929688,549.7999877929688,526.5,548.7000122070312,1348625,2024-04-08
2024-04-15,513.9500122070312,513.9500122070312,535.0,510.3999938964844,520.0,1270077,2024-04-15
2024-04-22,545.9000244140625,545.9000244140625,561.0999755859375,518.0,518.0,2646119,2024-04-22
2024-04-29,559.2999877929688,559.2999877929688,566.9000244140625,547.2000122070312,549.2000122070312,1872581,2024-04-29
2024-05-06,527.8499755859375,527.8499755859375,573.7000122070312,524.7000122070312,561.0,2104676,2024-05-06
2024-05-13,533.0,533.0,537.2999877929688,495.04998779296875,506.0,2114252,2024-05-13
2024-05-20,513.9000244140625,513.9000244140625,539.9000244140625,513.0499877929688,521.8499755859375,1415997,2024-05-20
2024-05-27,486.54998779296875,486.54998779296875,520.0499877929688,485.0,513.5499877929688,1762838,2024-05-27
2024-06-03,483.8500061035156,483.8500061035156,500.0,428.5,495.0,2302390,2024-06-03
2024-06-10,472.8500061035156,472.8500061035156,504.45001220703125,470.5,483.0,2564259,2024-06-10
2024-06-17,489.95001220703125,489.95001220703125,504.0,469.0,472.8500061035156,5108471,2024-06-17
2024-06-24,485.04998779296875,485.04998779296875,500.5,474.29998779296875,494.0,3274700,2024-06-24
2024-07-01,481.75,481.75,487.95001220703125,470.75,485.95001220703125,1450912,2024-07-01
2024-07-08,465.8999938964844,465.8999938964844,483.29998779296875,457.95001220703125,481.75,1823213,2024-07-08
2024-07-15,463.95001220703125,463.95001220703125,492.0,461.0,475.79998779296875,2434214,2024-07-15
2024-07-22,471.04998779296875,471.04998779296875,476.0,451.5,463.95001220703125,1783186,2024-07-22
2024-07-29,454.8500061035156,454.8500061035156,475.0,454.04998779296875,472.0,1514004,2024-07-29
2024-08-05,449.75,449.75,463.8999938964844,433.0,451.95001220703125,2665350,2024-08-05
2024-08-12,437.70001220703125,437.70001220703125,449.70001220703125,429.6000061035156,449.5,943444,2024-08-12
2024-08-19,461.79998779296875,461.79998779296875,469.45001220703125,438.0,438.0,1342172,2024-08-19
2024-08-26,486.75,486.75,493.75,458.75,462.0,5341017,2024-08-26
2024-09-02,500.45001220703125,500.45001220703125,518.0,481.04998779296875,489.0,4833736,2024-09-02
2024-09-09,502.95001220703125,502.95001220703125,514.7000122070312,486.3500061035156,499.04998779296875,3763977,2024-09-09
2024-09-16,498.79998779296875,498.79998779296875,517.5,492.0,506.0,3918669,2024-09-16
2024-09-23,555.25,555.25,589.75,502.79998779296875,502.79998779296875,25032260,2024-09-23
2024-09-30,563.7999877929688,563.7999877929688,568.0,516.3499755859375,555.0,11270080,2024-09-30
2024-10-07,547.4500122070312,547.4500122070312,566.9500122070312,518.0499877929688,564.0,5911701,2024-10-07
2024-10-14,520.2000122070312,520.2000122070312,548.5999755859375,505.29998779296875,546.9500122070312,2132661,2024-10-14
2024-10-21,461.20001220703125,461.20001220703125,525.75,447.0,520.2999877929688,5080453,2024-10-21
2024-10-28,483.29998779296875,483.29998779296875,486.95001220703125,462.1499938964844,465.0,1476247,2024-10-28
2024-11-04,469.1499938964844,469.1499938964844,489.79998779296875,462.6499938964844,483.0,1295520,2024-11-04
2024-11-11,466.54998779296875,466.54998779296875,479.70001220703125,458.04998779296875,469.1499938964844,1969327,2024-11-11
2024-11-18,501.45001220703125,501.45001220703125,509.3999938964844,456.95001220703125,467.95001220703125,4732763,2024-11-18
2024-11-25,514.8499755859375,514.8499755859375,520.7999877929688,491.20001220703125,504.0,2196224,2024-11-25
2024-12-02,497.6000061035156,497.6000061035156,524.0,493.6000061035156,512.0499877929688,1376534,2024-12-02
2024-12-09,469.8999938964844,469.8999938964844,514.7000122070312,466.6499938964844,498.0,2859816,2024-12-09
2024-12-16,463.8500061035156,463.8500061035156,491.0,458.79998779296875,469.8999938964844,1777241,2024-12-16
2024-12-23,477.6499938964844,477.6499938964844,479.45001220703125,455.25,465.79998779296875,1221341,2024-12-23
2024-12-30,488.6499938964844,488.6499938964844,497.70001220703125,471.54998779296875,477.6000061035156,3113369,2024-12-30
2025-01-06,453.95001220703125,453.95001220703125,488.6499938964844,450.0,488.6499938964844,1031823,2025-01-06
2025-01-13,407.45001220703125,407.45001220703125,453.70001220703125,400.6000061035156,449.0,2300453,2025-01-13
2025-01-20,381.45001220703125,381.45001220703125,413.79998779296875,380.3999938964844,407.45001220703125,1654832,2025-01-20
2025-01-27,379.95001220703125,379.95001220703125,385.29998779296875,350.04998779296875,384.95001220703125,4339584,2025-01-27
2025-02-03,389.0,389.0,398.70001220703125,374.20001220703125,379.0,1596818,2025-02-03
2025-02-10,347.5,347.5,390.8500061035156,339.1499938964844,389.0,1485184,2025-02-10
2025-02-17,324.70001220703125,324.70001220703125,352.1499938964844,320.0,347.54998779296875,1850839,2025-02-17
2025-02-24,302.54998779296875,302.54998779296875,329.70001220703125,300.0,324.0,1556763,2025-02-24
2025-03-03,314.3999938964844,314.3999938964844,317.1499938964844,287.8999938964844,304.04998779296875,2305667,2025-03-03
2025-03-10,283.5,283.5,318.95001220703125,281.79998779296875,315.20001220703125,2307217,2025-03-10
2025-03-17,294.8999938964844,294.8999938964844,308.3999938964844,276.54998779296875,285.8999938964844,2709119,2025-03-17
2025-03-24,279.70001220703125,279.70001220703125,319.70001220703125,272.8999938964844,296.95001220703125,10429259,2025-03-24
2025-03-31,268.3500061035156,268.3500061035156,290.5,266.0,279.70001220703125,2580213,2025-03-31
2025-04-07,267.20001220703125,267.20001220703125,270.25,248.35000610351562,249.39999389648438,1409716,2025-04-07
2025-04-14,284.95001220703125,284.95001220703125,286.8999938964844,267.20001220703125,267.20001220703125,1100860,2025-04-14
2025-04-21,309.6000061035156,309.6000061035156,329.75,283.1000061035156,286.95001220703125,5746688,2025-04-21
2025-04-28,307.3500061035156,307.3500061035156,321.95001220703125,301.0,309.75,1885210,2025-04-28
2025-05-05,330.45001220703125,330.45001220703125,335.0,298.25,306.8999938964844,4621665,2025-05-05
2025-05-12,381.25,381.25,384.0,327.6499938964844,335.0,8421331,2025-05-12
2025-05-19,361.0,361.0,391.8500061035156,359.6000061035156,381.25,3802884,2025-05-19
2025-05-26,361.70001220703125,361.70001220703125,371.20001220703125,354.8999938964844,362.8500061035156,1902821,2025-05-26
2025-06-02,342.70001220703125,342.70001220703125,373.8999938964844,342.0,364.0,1746885,2025-06-02
2025-06-09,404.54998779296875,404.54998779296875,423.5,341.0,341.0,15248465,2025-06-09
2025-06-16,408.79998779296875,408.79998779296875,428.8999938964844,394.3999938964844,406.5,6772485,2025-06-16
2025-06-23,417.20001220703125,417.20001220703125,439.8999938964844,405.0,406.70001220703125,5299799,2025-06-23
2025-06-30,418.5,418.5,434.0,409.8999938964844,417.29998779296875,2275078,2025-06-30
2025-07-07,456.54998779296875,456.54998779296875,474.95001220703125,410.25,419.8500061035156,8360356,2025-07-07
2025-07-14,482.95001220703125,482.95001220703125,492.29998779296875,431.1000061035156,434.95001220703125,13813490,2025-07-14
