Date,Adj Close_VIPIND.NS,Close_VIPIND.NS,High_VIPIND.NS,Low_VIPIND.NS,Open_VIPIND.NS,Volume_VIPIND.NS,Date
2020-07-13,265.0937194824219,268.8999938964844,272.3999938964844,252.0,259.5,2650892,2020-07-13
2020-07-20,284.4656066894531,288.54998779296875,309.45001220703125,266.1000061035156,273.0,9597970,2020-07-20
2020-07-27,266.7696533203125,270.6000061035156,289.0,268.1000061035156,284.20001220703125,3776279,2020-07-27
2020-08-03,257.15771484375,260.8500061035156,273.45001220703125,260.0,270.5,3061717,2020-08-03
2020-08-10,261.88970947265625,265.6499938964844,278.45001220703125,258.29998779296875,262.5,5360907,2020-08-10
2020-08-17,280.7686462402344,284.79998779296875,289.79998779296875,262.8500061035156,269.0,4847550,2020-08-17
2020-08-24,294.2254638671875,298.45001220703125,308.70001220703125,284.79998779296875,288.79998779296875,5370684,2020-08-24
2020-08-31,281.0151062011719,285.04998779296875,303.70001220703125,272.04998779296875,301.0,2121463,2020-08-31
2020-09-07,278.8955383300781,282.8999938964844,290.0,268.0,285.1000061035156,1276983,2020-09-07
2020-09-14,323.40643310546875,328.04998779296875,333.8999938964844,286.29998779296875,287.79998779296875,7837231,2020-09-14
2020-09-21,291.859375,296.04998779296875,332.70001220703125,280.6499938964844,328.0,2855961,2020-09-21
2020-09-28,285.2542724609375,289.3500061035156,304.3999938964844,287.20001220703125,298.5,1242556,2020-09-28
2020-10-05,288.458251953125,292.6000061035156,299.0,286.79998779296875,290.95001220703125,1520161,2020-10-05
2020-10-12,280.9165344238281,284.95001220703125,296.79998779296875,284.20001220703125,296.0,825927,2020-10-12
2020-10-19,274.36065673828125,278.29998779296875,291.04998779296875,275.1000061035156,286.1000061035156,1274176,2020-10-19
2020-10-26,268.05120849609375,271.8999938964844,281.70001220703125,270.0,281.70001220703125,918495,2020-10-26
2020-11-02,282.1981506347656,286.25,293.95001220703125,270.0,275.0,1823278,2020-11-02
2020-11-09,302.5558166503906,306.8999938964844,318.45001220703125,287.0,290.0,4222647,2020-11-09
2020-11-16,334.7436828613281,339.54998779296875,356.6000061035156,302.1499938964844,302.1499938964844,5679518,2020-11-16
2020-11-23,356.3337097167969,361.45001220703125,369.95001220703125,334.1000061035156,340.0,3025214,2020-11-23
2020-11-30,354.55914306640625,359.6499938964844,372.6000061035156,358.0,361.45001220703125,1289590,2020-11-30
2020-12-07,361.213623046875,366.3999938964844,379.0,355.1000061035156,355.1000061035156,1702884,2020-12-07
2020-12-14,355.4463806152344,360.54998779296875,370.95001220703125,356.45001220703125,370.0,1051820,2020-12-14
2020-12-21,345.4893798828125,350.45001220703125,364.45001220703125,310.5,362.95001220703125,1659240,2020-12-21
2020-12-28,360.6221008300781,365.79998779296875,369.8999938964844,349.5,352.0,1856502,2020-12-28
2021-01-04,372.1564636230469,377.5,387.0,362.29998779296875,368.0,2408207,2021-01-04
2021-01-11,346.179443359375,351.1499938964844,380.45001220703125,349.1000061035156,379.0,1054628,2021-01-11
2021-01-18,348.200439453125,353.20001220703125,365.6499938964844,341.0,352.0,1531607,2021-01-18
2021-01-25,334.8915710449219,339.70001220703125,357.95001220703125,334.3500061035156,355.1000061035156,698967,2021-01-25
2021-02-01,350.02423095703125,355.04998779296875,365.0,339.0,346.20001220703125,2647891,2021-02-01
2021-02-08,350.0735778808594,355.1000061035156,360.3999938964844,346.04998779296875,356.5,1140910,2021-02-08
2021-02-15,371.9593200683594,377.29998779296875,394.70001220703125,353.0,355.04998779296875,4468316,2021-02-15
2021-02-22,395.0281066894531,400.70001220703125,414.95001220703125,366.20001220703125,379.0,3236979,2021-02-22
2021-03-01,405.5766296386719,411.3999938964844,422.0,396.0,409.3999938964844,5101291,2021-03-01
2021-03-08,387.2892150878906,392.8500061035156,416.3999938964844,390.0,416.3999938964844,1684338,2021-03-08
2021-03-15,370.9241943359375,376.25,392.0,366.25,391.5,2238575,2021-03-15
2021-03-22,345.34149169921875,350.29998779296875,382.0,348.0,379.75,1616116,2021-03-22
2021-03-29,349.4327697753906,354.45001220703125,361.20001220703125,338.70001220703125,350.29998779296875,808465,2021-03-29
2021-04-05,336.17315673828125,341.0,354.45001220703125,339.0,354.45001220703125,1147092,2021-04-05
2021-04-12,326.0682373046875,330.75,349.3999938964844,311.0,339.45001220703125,1522937,2021-04-12
2021-04-19,326.8076171875,331.5,361.70001220703125,304.6000061035156,320.0,1063925,2021-04-19
2021-04-26,340.5108642578125,345.3999938964844,364.8999938964844,327.79998779296875,332.0,1952165,2021-04-26
2021-05-03,328.3356628417969,333.04998779296875,347.79998779296875,329.70001220703125,343.6000061035156,1154936,2021-05-03
2021-05-10,330.5538024902344,335.29998779296875,341.6499938964844,330.0,333.04998779296875,1208967,2021-05-10
2021-05-17,353.671875,358.75,372.5,336.1000061035156,338.70001220703125,5170928,2021-05-17
2021-05-24,357.6152648925781,362.75,374.0,350.04998779296875,358.1000061035156,2937085,2021-05-24
2021-05-31,384.8738708496094,390.3999938964844,395.04998779296875,357.04998779296875,365.0,2790797,2021-05-31
2021-06-07,384.8245849609375,390.3500061035156,399.0,374.0,392.8999938964844,3093261,2021-06-07
2021-06-14,383.9373474121094,389.45001220703125,423.0,381.04998779296875,393.6000061035156,4258615,2021-06-14
2021-06-21,377.3321533203125,382.75,398.0,380.0,386.0,1058106,2021-06-21
2021-06-28,384.0359191894531,389.54998779296875,406.6499938964844,380.20001220703125,380.20001220703125,2357014,2021-06-28
2021-07-05,390.98614501953125,396.6000061035156,437.70001220703125,386.20001220703125,390.1000061035156,6440122,2021-07-05
2021-07-12,401.1896057128906,406.95001220703125,430.8999938964844,397.0,397.95001220703125,3171484,2021-07-12
2021-07-19,407.8440856933594,413.70001220703125,424.0,390.29998779296875,406.0,1425072,2021-07-19
2021-07-26,400.2530822753906,406.0,416.79998779296875,396.1499938964844,415.0,1138525,2021-07-26
2021-08-02,397.7884521484375,403.5,427.0,400.0,413.45001220703125,1910045,2021-08-02
2021-08-09,451.1226806640625,457.6000061035156,479.0,374.0,402.0,19377945,2021-08-09
2021-08-16,452.25640869140625,458.75,499.95001220703125,450.0,457.6000061035156,9184337,2021-08-16
2021-08-23,466.94549560546875,473.6499938964844,481.70001220703125,435.0,466.45001220703125,4078962,2021-08-23
2021-08-30,479.5643310546875,486.45001220703125,503.5,457.0,474.5,6876623,2021-08-30
2021-09-06,482.1767578125,489.1000061035156,503.79998779296875,472.3999938964844,486.8999938964844,3228241,2021-09-06
2021-09-13,491.690185546875,498.75,517.4500122070312,479.0,485.0,5109766,2021-09-13
2021-09-20,498.7389831542969,505.8999938964844,509.79998779296875,483.75,496.3999938964844,2730521,2021-09-20
2021-09-27,497.5066833496094,504.6499938964844,516.7000122070312,485.0,505.95001220703125,2635698,2021-09-27
2021-10-04,532.060546875,539.7000122070312,552.8499755859375,492.0,508.8999938964844,4680353,2021-10-04
2021-10-11,567.452392578125,575.5999755859375,592.5499877929688,535.2999877929688,541.7999877929688,4231738,2021-10-11
2021-10-18,524.8145751953125,532.3499755859375,585.0,521.0999755859375,576.0,2196517,2021-10-18
2021-10-25,535.6095581054688,543.2999877929688,571.0499877929688,504.1000061035156,532.7999877929688,1916736,2021-10-25
2021-11-01,569.3255004882812,577.5,589.7000122070312,538.0499877929688,560.0,1707740,2021-11-01
2021-11-08,612.5548095703125,621.3499755859375,668.8499755859375,572.0,579.5,5304305,2021-11-08
2021-11-15,577.5572509765625,585.8499755859375,625.6500244140625,580.0,625.0,1694388,2021-11-15
2021-11-22,547.3904418945312,555.25,602.1500244140625,550.0,582.0,1800400,2021-11-22
2021-11-29,524.7160034179688,532.25,574.25,492.04998779296875,550.0,1829071,2021-11-29
