Date,Adj Close_ESSENTIA.NS,Close_ESSENTIA.NS,High_ESSENTIA.NS,Low_ESSENTIA.NS,Open_ESSENTIA.NS,Volume_ESSENTIA.NS,Date
2020-07-13,0.19125699996948242,0.19125699996948242,0.19125699996948242,0.17531900107860565,0.17531900107860565,382622,2020-07-13
2020-07-20,0.23110300302505493,0.23110300302505493,0.23110300302505493,0.1992260068655014,0.1992260068655014,590135,2020-07-20
2020-07-27,0.27094799280166626,0.27094799280166626,0.27094799280166626,0.23907199501991272,0.23907199501991272,204407,2020-07-27
2020-08-03,0.3107930123806,0.3107930123806,0.3107930123806,0.27891701459884644,0.27891701459884644,176869,2020-08-03
2020-08-10,0.382515013217926,0.382515013217926,0.382515013217926,0.31876200437545776,0.31876200437545776,587588,2020-08-10
2020-08-17,0.46220600605010986,0.46220600605010986,0.46220600605010986,0.3984529972076416,0.3984529972076416,275350,2020-08-17
2020-08-24,0.4542370140552521,0.4542370140552521,0.5259580016136169,0.4542370140552521,0.47814399003982544,107031,2020-08-24
2020-08-31,0.43829798698425293,0.43829798698425293,0.43829798698425293,0.43829798698425293,0.43829798698425293,8470,2020-08-31
2020-09-07,0.42236000299453735,0.42236000299453735,0.43829798698425293,0.42236000299453735,0.43829798698425293,4141,2020-09-07
2020-09-14,0.4064219892024994,0.4064219892024994,0.42236000299453735,0.4064219892024994,0.42236000299453735,12548,2020-09-14
2020-09-21,0.4064219892024994,0.4064219892024994,0.4064219892024994,0.4064219892024994,0.4064219892024994,0,2020-09-21
2020-09-28,0.4064219892024994,0.4064219892024994,0.4064219892024994,0.4064219892024994,0.4064219892024994,0,2020-09-28
2020-10-05,0.4064219892024994,0.4064219892024994,0.4064219892024994,0.4064219892024994,0.4064219892024994,0,2020-10-05
2020-10-12,0.37454599142074585,0.37454599142074585,0.4064219892024994,0.37454599142074585,0.4064219892024994,6593,2020-10-12
2020-10-19,0.32673099637031555,0.32673099637031555,0.3586080074310303,0.32673099637031555,0.3586080074310303,15383,2020-10-19
2020-10-26,0.27891701459884644,0.27891701459884644,0.3107930123806,0.27891701459884644,0.3107930123806,6327,2020-10-26
2020-11-02,0.23907199501991272,0.23907199501991272,0.27094799280166626,0.23907199501991272,0.27094799280166626,3611,2020-11-02
2020-11-09,0.21516400575637817,0.21516400575637817,0.23110300302505493,0.21516400575637817,0.23110300302505493,17165,2020-11-09
2020-11-16,0.18328799307346344,0.18328799307346344,0.22313399612903595,0.18328799307346344,0.22313399612903595,378561,2020-11-16
2020-11-23,0.1434430032968521,0.1434430032968521,0.17531900107860565,0.1434430032968521,0.17531900107860565,581288,2020-11-23
2020-11-30,0.17531900107860565,0.17531900107860565,0.17531900107860565,0.1434430032968521,0.1434430032968521,93641,2020-11-30
2020-12-07,0.21516400575637817,0.21516400575637817,0.21516400575637817,0.18328799307346344,0.18328799307346344,214747,2020-12-07
2020-12-14,0.2550100088119507,0.2550100088119507,0.2550100088119507,0.22313399612903595,0.22313399612903595,139581,2020-12-14
2020-12-21,0.2470410019159317,0.2470410019159317,0.26297900080680847,0.2470410019159317,0.26297900080680847,95950,2020-12-21
2020-12-28,0.23110300302505493,0.23110300302505493,0.2470410019159317,0.21516400575637817,0.2470410019159317,201972,2020-12-28
2021-01-04,0.23110300302505493,0.23110300302505493,0.23907199501991272,0.21516400575637817,0.23110300302505493,368648,2021-01-04
2021-01-11,0.22313399612903595,0.22313399612903595,0.2470410019159317,0.22313399612903595,0.23110300302505493,464067,2021-01-11
2021-01-18,0.22313399612903595,0.22313399612903595,0.23907199501991272,0.22313399612903595,0.23110300302505493,88521,2021-01-18
2021-01-25,0.1992260068655014,0.1992260068655014,0.22313399612903595,0.1992260068655014,0.22313399612903595,71977,2021-01-25
2021-02-01,0.2071949988603592,0.2071949988603592,0.21516400575637817,0.18328799307346344,0.1992260068655014,383651,2021-02-01
2021-02-08,0.2470410019159317,0.2470410019159317,0.2470410019159317,0.21516400575637817,0.21516400575637817,99163,2021-02-08
2021-02-15,0.2868860065937042,0.2868860065937042,0.2868860065937042,0.2550100088119507,0.2550100088119507,219992,2021-02-15
2021-02-22,0.32673099637031555,0.32673099637031555,0.32673099637031555,0.27891701459884644,0.294854998588562,511312,2021-02-22
2021-03-01,0.3984529972076416,0.3984529972076416,0.4064219892024994,0.32673099637031555,0.3426699936389923,306170,2021-03-01
