Date,Adj Close_FINEORG.NS,Close_FINEORG.NS,High_FINEORG.NS,Low_FINEORG.NS,Open_FINEORG.NS,Volume_FINEORG.NS,Date
2021-11-08,3281.302490234375,3298.199951171875,3449.0,3272.0,3449.0,66984,2021-11-08
2021-11-15,3552.25732421875,3570.550048828125,3784.449951171875,3294.39990234375,3351.0,650246,2021-11-15
2021-11-22,3647.467041015625,3666.25,3888.0,3470.35009765625,3670.0,238317,2021-11-22
2021-11-29,3676.4677734375,3695.39990234375,3830.0,3405.550048828125,3626.0,168891,2021-11-29
2021-12-06,3673.333984375,3692.25,3810.0,3563.0,3725.0,81646,2021-12-06
2021-12-13,3844.154296875,3863.949951171875,4048.75,3583.800048828125,3692.25,250237,2021-12-13
2021-12-20,3732.976806640625,3752.199951171875,3860.0,3613.39990234375,3800.0,209040,2021-12-20
2021-12-27,3694.873046875,3713.89990234375,3860.5,3626.550048828125,3749.0,91952,2021-12-27
2022-01-03,3645.228759765625,3664.0,3912.0,3650.0,3730.0,81228,2022-01-03
2022-01-10,3714.173583984375,3733.300048828125,3808.89990234375,3600.050048828125,3680.0,94739,2022-01-10
2022-01-17,3751.97900390625,3771.300048828125,3842.75,3575.64990234375,3772.0,164202,2022-01-17
2022-01-24,3802.66796875,3822.25,3924.89990234375,3457.10009765625,3790.199951171875,136655,2022-01-24
2022-01-31,4065.3154296875,4086.25,4178.25,3805.050048828125,3858.199951171875,248974,2022-01-31
2022-02-07,3813.46240234375,3833.10009765625,4148.0,3735.0,4105.0,110798,2022-02-07
2022-02-14,3972.543212890625,3993.0,4050.0,3563.199951171875,3822.39990234375,151804,2022-02-14
2022-02-21,4251.05908203125,4272.9501953125,4368.0,3710.0,3955.0,278296,2022-02-21
2022-02-28,4041.537841796875,4062.35009765625,4488.85009765625,4008.0,4290.0,320446,2022-02-28
2022-03-07,4041.58740234375,4062.39990234375,4219.9501953125,3850.0,4000.0,133359,2022-03-07
2022-03-14,3984.630615234375,4005.14990234375,4082.550048828125,3902.949951171875,4020.0,74202,2022-03-14
2022-03-21,4004.777099609375,4025.39990234375,4100.89990234375,3845.0,4069.85009765625,77702,2022-03-21
2022-03-28,3987.0185546875,4007.550048828125,4129.9501953125,3965.0,4025.39990234375,65706,2022-03-28
2022-04-04,4196.2412109375,4217.85009765625,4279.9501953125,4009.800048828125,4039.64990234375,142153,2022-04-04
2022-04-11,4261.00830078125,4282.9501953125,4395.60009765625,4155.0,4261.89990234375,63457,2022-04-11
2022-04-18,4497.8876953125,4521.0498046875,4685.0,4206.5,4293.7998046875,197982,2022-04-18
2022-04-25,4463.51513671875,4486.5,4740.0,4275.0,4490.0,176021,2022-04-25
2022-05-02,4288.1181640625,4310.2001953125,4569.89990234375,4288.0,4444.0,96329,2022-05-02
2022-05-09,4176.244140625,4197.75,4588.0,4132.0498046875,4250.0,168355,2022-05-09
2022-05-16,4395.6142578125,4418.25,4600.0,4055.550048828125,4249.5498046875,185824,2022-05-16
2022-05-23,4074.717041015625,4095.699951171875,4629.14990234375,4021.800048828125,4450.0,117858,2022-05-23
2022-05-30,5002.041015625,5027.7998046875,6139.89990234375,4323.60009765625,4502.25,3829566,2022-05-30
2022-06-06,4730.6884765625,4755.0498046875,5375.0,4670.0,5147.89990234375,553945,2022-06-06
2022-06-13,4827.09228515625,4851.9501953125,5160.0,4609.0,4730.0,464113,2022-06-13
