Date,Adj Close_BAJAJCON.NS,Close_BAJAJCON.NS,High_BAJAJCON.NS,Low_BAJAJCON.NS,Open_BAJAJCON.NS,Volume_BAJAJCON.NS,Date
2020-07-13,152.77499389648438,174.5500030517578,185.8000030517578,148.0,157.10000610351562,24184615,2020-07-13
2020-07-20,147.39219665527344,168.39999389648438,179.5,164.5,177.0,8818318,2020-07-20
2020-07-27,153.65025329589844,175.5500030517578,177.0,160.60000610351562,168.5,6234263,2020-07-27
2020-08-03,159.60195922851562,182.35000610351562,186.85000610351562,168.4499969482422,176.8000030517578,5648370,2020-08-03
2020-08-10,157.54510498046875,180.0,195.35000610351562,177.14999389648438,181.0,8115487,2020-08-10
2020-08-17,160.73977661132812,183.64999389648438,188.5500030517578,176.25,180.10000610351562,3673666,2020-08-17
2020-08-24,156.93243408203125,179.3000030517578,185.5,177.0,185.5,3282024,2020-08-24
2020-08-31,147.21714782714844,168.1999969482422,182.10000610351562,165.1999969482422,182.0,2543740,2020-08-31
2020-09-07,146.16683959960938,167.0,171.75,163.0,168.5,1795916,2020-09-07
2020-09-14,168.35003662109375,190.0,198.6999969482422,170.35000610351562,170.35000610351562,7862568,2020-09-14
2020-09-21,162.63499450683594,183.5500030517578,191.85000610351562,168.5,190.9499969482422,3698438,2020-09-21
2020-09-28,160.64138793945312,181.3000030517578,189.6999969482422,179.85000610351562,185.85000610351562,1806905,2020-09-28
2020-10-05,157.3186798095703,177.5500030517578,184.10000610351562,176.1999969482422,180.3000030517578,1416370,2020-10-05
2020-10-12,163.1223602294922,184.10000610351562,188.8000030517578,177.5500030517578,180.0,2182757,2020-10-12
2020-10-19,165.3374786376953,186.60000610351562,199.0,181.10000610351562,189.64999389648438,5189600,2020-10-19
2020-10-26,165.2488555908203,186.5,194.6999969482422,179.39999389648438,186.8000030517578,1552639,2020-10-26
2020-11-02,164.49569702148438,185.64999389648438,192.39999389648438,184.0,187.4499969482422,1025991,2020-11-02
2020-11-09,161.1287078857422,181.85000610351562,188.39999389648438,178.0,186.5,2090429,2020-11-09
2020-11-16,163.52105712890625,184.5500030517578,188.35000610351562,178.8000030517578,179.4499969482422,1843489,2020-11-16
2020-11-23,180.93197631835938,204.1999969482422,208.60000610351562,184.5500030517578,184.9499969482422,5856701,2020-11-23
2020-11-30,176.81185913085938,199.5500030517578,209.6999969482422,197.10000610351562,204.1999969482422,3392976,2020-11-30
2020-12-07,179.29278564453125,202.35000610351562,207.39999389648438,197.0,201.5500030517578,2439318,2020-12-07
2020-12-14,190.5899658203125,215.10000610351562,224.1999969482422,199.64999389648438,204.0,4771819,2020-12-14
2020-12-21,188.64064025878906,212.89999389648438,219.89999389648438,193.0,215.89999389648438,2519929,2020-12-21
2020-12-28,193.07090759277344,217.89999389648438,223.39999389648438,212.0,214.8000030517578,1426303,2020-12-28
