Date,Adj Close_ANGELONE.NS,Close_ANGELONE.NS,High_ANGELONE.NS,Low_ANGELONE.NS,Open_ANGELONE.NS,Volume_ANGELONE.NS,Date
2020-10-05,245.17147827148438,274.8500061035156,296.70001220703125,257.0,275.0,13382652,2020-10-05
2020-10-12,218.63392639160156,245.10000610351562,276.8999938964844,243.0,275.0,1487271,2020-10-12
2020-10-19,214.1292266845703,240.0500030517578,248.3000030517578,222.1999969482422,247.0,2641449,2020-10-19
2020-10-26,315.1950378417969,353.3500061035156,379.0,240.1999969482422,241.0,18516397,2020-10-26
2020-11-02,277.90863037109375,311.54998779296875,354.0,290.6499938964844,353.6499938964844,3199121,2020-11-02
2020-11-09,317.5417785644531,351.79998779296875,364.1000061035156,309.1499938964844,312.04998779296875,4930345,2020-11-09
2020-11-16,324.76275634765625,359.79998779296875,369.3500061035156,345.0,352.20001220703125,1643794,2020-11-16
2020-11-23,322.9575500488281,357.79998779296875,363.8999938964844,351.5,360.0,976266,2020-11-23
2020-11-30,313.9764709472656,347.8500061035156,357.79998779296875,347.1499938964844,357.79998779296875,519336,2020-11-30
2020-12-07,320.3851318359375,354.95001220703125,408.0,350.04998779296875,352.0,2499245,2020-12-07
2020-12-14,314.1119079589844,348.0,364.8500061035156,343.04998779296875,362.8500061035156,1061961,2020-12-14
2020-12-21,304.8148193359375,337.70001220703125,349.95001220703125,315.04998779296875,348.0,1215577,2020-12-21
2020-12-28,303.8670959472656,336.6499938964844,344.0,329.5,338.3999938964844,1011860,2020-12-28
2021-01-04,328.5538024902344,364.0,375.79998779296875,336.95001220703125,342.0,2608942,2021-01-04
2021-01-11,315.104736328125,349.1000061035156,369.6000061035156,347.0,365.5,1172218,2021-01-11
2021-01-18,329.90771484375,365.5,370.5,345.75,351.79998779296875,763717,2021-01-18
2021-01-25,309.1474609375,342.5,377.8999938964844,337.25,368.79998779296875,1054715,2021-01-25
2021-02-01,306.1688537597656,339.20001220703125,360.0,320.8500061035156,342.29998779296875,1357323,2021-02-01
2021-02-08,310.2305603027344,343.70001220703125,352.8500061035156,338.0,341.79998779296875,509504,2021-02-08
