Date,Adj Close_SINCLAIR.NS,Close_SINCLAIR.NS,High_SINCLAIR.NS,Low_SINCLAIR.NS,Open_SINCLAIR.NS,Volume_SINCLAIR.NS,Date
2024-04-08,124.07642364501953,125.19999694824219,137.9499969482422,122.0,137.0,525150,2024-04-08
2024-04-15,124.62149047851562,125.75,132.0,120.0999984741211,124.0,438955,2024-04-15
2024-04-22,124.72058868408203,125.8499984741211,131.1999969482422,124.94999694824219,126.55000305175781,395672,2024-04-22
2024-04-29,124.57192993164062,125.69999694824219,129.0,121.94999694824219,125.75,431091,2024-04-29
2024-05-06,119.07174682617188,120.1500015258789,127.05000305175781,119.0,126.0,311272,2024-05-06
2024-05-13,121.94572448730469,123.05000305175781,127.0,117.5,122.9000015258789,230617,2024-05-13
2024-05-20,114.8598861694336,115.9000015258789,123.94999694824219,114.25,121.5,384806,2024-05-20
2024-05-27,113.91840362548828,114.94999694824219,117.9000015258789,109.94999694824219,117.9000015258789,215100,2024-05-27
2024-06-03,116.3959732055664,117.44999694824219,120.0,100.55000305175781,120.0,454235,2024-06-03
2024-06-10,116.10858154296875,117.16000366210938,124.0,115.55000305175781,119.0,485672,2024-06-10
2024-06-17,115.3950424194336,116.44000244140625,117.9000015258789,112.63999938964844,117.9000015258789,217503,2024-06-17
2024-06-24,115.08781433105469,116.12999725341797,118.26000213623047,113.97000122070312,118.0,197390,2024-06-24
2024-07-01,114.0472412109375,115.08000183105469,119.0,114.63999938964844,116.62999725341797,307500,2024-07-01
2024-07-08,110.97506713867188,111.9800033569336,117.0,110.0,115.08000183105469,370603,2024-07-08
2024-07-15,107.86000061035156,107.86000061035156,113.44999694824219,107.19999694824219,113.44999694824219,356108,2024-07-15
2024-07-22,107.08999633789062,107.08999633789062,109.9000015258789,102.51000213623047,108.0,473224,2024-07-22
2024-07-29,104.5999984741211,104.5999984741211,109.0,103.0,107.0,283035,2024-07-29
2024-08-05,103.80999755859375,103.80999755859375,108.5,98.5,100.0999984741211,642521,2024-08-05
2024-08-12,106.19999694824219,106.19999694824219,108.58000183105469,98.22000122070312,103.0999984741211,437557,2024-08-12
2024-08-19,111.02999877929688,111.02999877929688,114.9000015258789,104.41000366210938,107.44999694824219,817380,2024-08-19
2024-08-26,108.83000183105469,108.83000183105469,112.75,104.55999755859375,112.75,276182,2024-08-26
2024-09-02,106.2699966430664,106.2699966430664,111.38999938964844,104.0999984741211,108.0,258049,2024-09-02
2024-09-09,103.80999755859375,103.80999755859375,108.19999694824219,102.51000213623047,106.2699966430664,256944,2024-09-09
2024-09-16,100.33999633789062,100.33999633789062,105.27999877929688,99.22000122070312,104.94000244140625,177304,2024-09-16
2024-09-23,99.88999938964844,99.88999938964844,102.45999908447266,99.0,100.33999633789062,136375,2024-09-23
2024-09-30,98.48999786376953,98.48999786376953,101.8499984741211,98.0,99.88999938964844,105291,2024-09-30
2024-10-07,99.98999786376953,99.98999786376953,100.0,94.01000213623047,99.9800033569336,205408,2024-10-07
2024-10-14,94.37000274658203,94.37000274658203,100.0,94.0,99.0,237750,2024-10-14
2024-10-21,87.5199966430664,87.5199966430664,95.88999938964844,86.30999755859375,95.88999938964844,283549,2024-10-21
2024-10-28,95.80000305175781,95.80000305175781,96.9800033569336,87.0199966430664,89.4800033569336,147374,2024-10-28
2024-11-04,93.83999633789062,93.83999633789062,99.5999984741211,91.05999755859375,96.9000015258789,156044,2024-11-04
2024-11-11,90.98999786376953,90.98999786376953,95.6500015258789,86.98999786376953,95.6500015258789,152994,2024-11-11
2024-11-18,88.11000061035156,88.11000061035156,91.52999877929688,87.01000213623047,90.98999786376953,138468,2024-11-18
2024-11-25,106.58000183105469,106.58000183105469,109.0,88.11000061035156,89.0,556150,2024-11-25
2024-12-02,110.41999816894531,110.41999816894531,113.0,103.0,105.91000366210938,368077,2024-12-02
2024-12-09,111.18000030517578,111.18000030517578,116.47000122070312,109.43000030517578,113.38999938964844,555744,2024-12-09
2024-12-16,123.38999938964844,123.38999938964844,132.6999969482422,107.72000122070312,111.18000030517578,2652484,2024-12-16
2024-12-23,128.64999389648438,128.64999389648438,132.0,120.44999694824219,124.56999969482422,982060,2024-12-23
2024-12-30,131.55999755859375,131.55999755859375,139.39999389648438,119.1500015258789,129.35000610351562,2330372,2024-12-30
2025-01-06,110.16000366210938,110.16000366210938,133.57000732421875,109.5,131.55999755859375,977921,2025-01-06
2025-01-13,104.79000091552734,104.79000091552734,111.51000213623047,102.61000061035156,108.5,456257,2025-01-13
2025-01-20,102.70999908447266,102.70999908447266,110.62000274658203,101.0999984741211,105.9000015258789,259138,2025-01-20
2025-01-27,106.44999694824219,106.44999694824219,109.0,89.0,102.23999786376953,983690,2025-01-27
2025-02-03,99.43000030517578,99.43000030517578,105.98999786376953,97.80999755859375,103.0,306308,2025-02-03
2025-02-10,88.16999816894531,88.16999816894531,101.55999755859375,82.55000305175781,98.20999908447266,615842,2025-02-10
