Date,Adj Close_CIEINDIA.NS,Close_CIEINDIA.NS,High_CIEINDIA.NS,Low_CIEINDIA.NS,Open_CIEINDIA.NS,Volume_CIEINDIA.NS,Date
2020-07-13,108.10911560058594,112.9000015258789,116.6500015258789,107.5,116.6500015258789,157015,2020-07-13
2020-07-20,102.4115982055664,106.94999694824219,121.80000305175781,106.19999694824219,115.94999694824219,667629,2020-07-20
2020-07-27,103.89582061767578,108.5,109.0999984741211,101.0,106.5999984741211,352335,2020-07-27
2020-08-03,104.51824951171875,109.1500015258789,110.5,105.0,109.0,277768,2020-08-03
2020-08-10,115.00357818603516,120.0999984741211,122.0,109.0999984741211,111.0,667001,2020-08-10
2020-08-17,142.1984405517578,148.5,148.89999389648438,119.0999984741211,121.0,2549334,2020-08-17
2020-08-24,137.31483459472656,143.39999389648438,153.25,143.0,147.64999389648438,1473992,2020-08-24
2020-08-31,126.44648742675781,132.0500030517578,148.25,126.0,148.25,619521,2020-08-31
2020-09-07,118.21141815185547,123.44999694824219,132.6999969482422,119.94999694824219,132.5,263269,2020-09-07
2020-09-14,117.1102294921875,122.30000305175781,137.14999389648438,121.0,128.0,1050140,2020-09-14
2020-09-21,128.02645874023438,133.6999969482422,145.1999969482422,115.3499984741211,122.30000305175781,9685959,2020-09-21
2020-09-28,131.80885314941406,137.64999389648438,147.39999389648438,134.0,135.0,517790,2020-09-28
2020-10-05,130.037353515625,135.8000030517578,142.5,133.64999389648438,139.0,447995,2020-10-05
2020-10-12,128.31373596191406,134.0,140.0,126.19999694824219,135.3000030517578,453632,2020-10-12
2020-10-19,134.0591278076172,140.0,142.5,134.1999969482422,140.0,462328,2020-10-19
2020-10-26,131.76097106933594,137.60000610351562,142.0,134.1999969482422,140.6999969482422,384305,2020-10-26
2020-11-02,134.49002075195312,140.4499969482422,144.0,135.10000610351562,137.60000610351562,590898,2020-11-02
2020-11-09,136.35726928710938,142.39999389648438,144.5,127.4000015258789,142.4499969482422,496171,2020-11-09
2020-11-16,147.8480682373047,154.39999389648438,162.9499969482422,141.0500030517578,141.0500030517578,1082343,2020-11-16
2020-11-23,153.35406494140625,160.14999389648438,162.9499969482422,154.0,156.0,684122,2020-11-23
2020-11-30,153.1625518798828,159.9499969482422,168.5,155.60000610351562,160.14999389648438,674282,2020-11-30
2020-12-07,147.8480682373047,154.39999389648438,162.6999969482422,152.0,162.5,327018,2020-12-07
2020-12-14,151.7261962890625,158.4499969482422,159.9499969482422,150.1999969482422,155.0,516722,2020-12-14
2020-12-21,156.6097869873047,163.5500030517578,165.85000610351562,153.10000610351562,154.5500030517578,952459,2020-12-21
2020-12-28,166.9036102294922,174.3000030517578,174.9499969482422,164.75,167.0,879346,2020-12-28
2021-01-04,166.9036102294922,174.3000030517578,178.6999969482422,168.64999389648438,175.0,601498,2021-01-04
2021-01-11,152.4922637939453,159.25,174.9499969482422,158.0,174.3000030517578,498631,2021-01-11
2021-01-18,158.046142578125,165.0500030517578,169.0,151.85000610351562,158.0,1085342,2021-01-18
2021-01-25,155.22134399414062,162.10000610351562,171.5500030517578,160.0,169.8000030517578,877787,2021-01-25
2021-02-01,155.46072387695312,162.35000610351562,169.85000610351562,159.10000610351562,162.10000610351562,458506,2021-02-01
2021-02-08,160.91883850097656,168.0500030517578,176.0,162.5500030517578,163.10000610351562,1034136,2021-02-08
2021-02-15,182.17677307128906,190.25,234.89999389648438,170.0,171.0,16278901,2021-02-15
2021-02-22,173.0320281982422,180.6999969482422,194.9499969482422,176.10000610351562,188.0,2222009,2021-02-22
2021-03-01,174.42050170898438,182.14999389648438,188.5500030517578,180.5,186.85000610351562,1191992,2021-03-01
2021-03-08,167.62179565429688,175.0500030517578,183.5,170.5,183.0,1543181,2021-03-08
2021-03-15,155.12554931640625,162.0,179.9499969482422,155.0,178.0,1244794,2021-03-15
2021-03-22,157.7588653564453,164.75,174.89999389648438,160.0,160.25,1469422,2021-03-22
