Date,Adj Close_WESTLIFE.NS,Close_WESTLIFE.NS,High_WESTLIFE.NS,Low_WESTLIFE.NS,Open_WESTLIFE.NS,Volume_WESTLIFE.NS,Date
2020-07-13,348.806884765625,350.1000061035156,353.8999938964844,306.1000061035156,308.0,1588045,2020-07-13
2020-07-20,327.6851806640625,328.8999938964844,361.95001220703125,328.0,352.8999938964844,1209449,2020-07-20
2020-07-27,363.1038818359375,364.45001220703125,384.8500061035156,318.04998779296875,329.0,3315851,2020-07-27
2020-08-03,348.856689453125,350.1499938964844,372.29998779296875,349.8500061035156,360.0,1068331,2020-08-03
2020-08-10,366.7901916503906,368.1499938964844,385.0,349.5,351.8500061035156,1505063,2020-08-10
2020-08-17,368.7330017089844,370.1000061035156,383.95001220703125,363.04998779296875,369.95001220703125,865019,2020-08-17
2020-08-24,373.3658447265625,374.75,393.0,369.3500061035156,372.0,1780091,2020-08-24
2020-08-31,368.68316650390625,370.04998779296875,385.0,348.20001220703125,377.8999938964844,835785,2020-08-31
2020-09-07,379.7421875,381.1499938964844,383.79998779296875,330.0,372.70001220703125,846785,2020-09-07
2020-09-14,391.0004577636719,392.45001220703125,413.5,386.1000061035156,387.0,1328923,2020-09-14
2020-09-21,372.2200927734375,373.6000061035156,398.75,353.04998779296875,395.0,769295,2020-09-21
2020-09-28,393.83990478515625,395.29998779296875,410.0,377.1000061035156,382.8999938964844,1352129,2020-09-28
2020-10-05,391.44879150390625,392.8999938964844,403.3999938964844,388.04998779296875,396.20001220703125,306662,2020-10-05
2020-10-12,378.4469909667969,379.8500061035156,396.6000061035156,369.45001220703125,390.0,384916,2020-10-12
2020-10-19,366.6407470703125,368.0,382.70001220703125,363.45001220703125,377.0,381831,2020-10-19
2020-10-26,376.8031005859375,378.20001220703125,386.95001220703125,359.95001220703125,366.1000061035156,508915,2020-10-26
2020-11-02,370.1776428222656,371.54998779296875,387.0,365.0,378.20001220703125,540880,2020-11-02
2020-11-09,371.6222839355469,373.0,390.0,365.5,377.3999938964844,2038000,2020-11-09
2020-11-16,381.08721923828125,382.5,389.8999938964844,369.3999938964844,369.3999938964844,573899,2020-11-16
2020-11-23,433.9412536621094,435.54998779296875,440.6499938964844,380.0,380.0,2202445,2020-11-23
2020-11-30,427.9136047363281,429.5,448.95001220703125,418.0,435.54998779296875,763470,2020-11-30
2020-12-07,435.8840637207031,437.5,445.79998779296875,416.54998779296875,431.5,730926,2020-12-07
2020-12-14,427.0169372558594,428.6000061035156,492.0,416.0,444.0,6937010,2020-12-14
2020-12-21,429.20880126953125,430.79998779296875,486.70001220703125,386.1000061035156,428.8500061035156,1564680,2020-12-21
2020-12-28,446.4947204589844,448.1499938964844,462.0,427.1000061035156,441.0,1592862,2020-12-28
2021-01-04,451.1773681640625,452.8500061035156,457.0,430.0,451.1499938964844,970074,2021-01-04
2021-01-11,464.07952880859375,465.79998779296875,480.79998779296875,440.0,459.8999938964844,910668,2021-01-11
2021-01-18,468.3636474609375,470.1000061035156,480.0,446.04998779296875,470.0,845380,2021-01-18
2021-01-25,463.282470703125,465.0,474.8999938964844,437.0,473.3500061035156,499937,2021-01-25
2021-02-01,453.9172058105469,455.6000061035156,475.0,445.0,460.3999938964844,503120,2021-02-01
2021-02-08,455.8599853515625,457.54998779296875,471.1000061035156,448.45001220703125,456.0,384212,2021-02-08
2021-02-15,442.9578552246094,444.6000061035156,467.79998779296875,440.1000061035156,458.20001220703125,255910,2021-02-15
2021-02-22,499.747314453125,501.6000061035156,522.5,446.20001220703125,448.20001220703125,1984791,2021-02-22
2021-03-01,498.6513671875,500.5,535.0,491.95001220703125,515.0,1217266,2021-03-01
2021-03-08,514.49267578125,516.4000244140625,531.4000244140625,498.04998779296875,499.5,694105,2021-03-08
2021-03-15,468.01495361328125,469.75,534.4500122070312,451.0,511.70001220703125,2973310,2021-03-15
2021-03-22,457.85260009765625,459.54998779296875,467.95001220703125,438.5,459.0,1396286,2021-03-22
2021-03-29,454.31573486328125,456.0,465.0,441.04998779296875,459.54998779296875,1221258,2021-03-29
2021-04-05,423.5298767089844,425.1000061035156,455.45001220703125,412.0,454.0,1455544,2021-04-05
2021-04-12,410.0299072265625,411.54998779296875,423.70001220703125,385.1000061035156,423.70001220703125,1290630,2021-04-12
2021-04-19,409.73101806640625,411.25,426.0,392.6000061035156,402.6000061035156,1020358,2021-04-19
2021-04-26,435.53533935546875,437.1499938964844,445.0,409.0,412.1000061035156,1074884,2021-04-26
2021-05-03,424.7752380371094,426.3500061035156,439.0,425.0,433.5,309941,2021-05-03
2021-05-10,426.1202697753906,427.70001220703125,433.70001220703125,418.0,429.0,606779,2021-05-10
