Date,Adj Close_IIFLCAPS.NS,Close_IIFLCAPS.NS,High_IIFLCAPS.NS,Low_IIFLCAPS.NS,Open_IIFLCAPS.NS,Volume_IIFLCAPS.NS,Date
2024-11-25,321.9996337890625,326.3500061035156,344.0,316.1000061035156,321.95001220703125,2456229,2024-11-25
2024-12-02,340.00634765625,344.6000061035156,363.95001220703125,321.1000061035156,326.3500061035156,2030362,2024-12-02
2024-12-09,364.4264221191406,369.3500061035156,386.70001220703125,338.8500061035156,342.04998779296875,3176550,2024-12-09
2024-12-16,335.1716613769531,339.70001220703125,377.0,335.3999938964844,377.0,1959685,2024-12-16
2024-12-23,335.1716613769531,339.70001220703125,350.0,324.0,348.95001220703125,1027496,2024-12-23
2024-12-30,328.21563720703125,332.6499938964844,352.8500061035156,323.3999938964844,339.75,819690,2024-12-30
2025-01-06,285.09820556640625,288.95001220703125,337.95001220703125,286.1000061035156,332.95001220703125,1407596,2025-01-06
2025-01-13,273.7514953613281,277.45001220703125,290.04998779296875,264.04998779296875,279.0,2035490,2025-01-13
2025-01-20,239.119384765625,242.35000610351562,285.20001220703125,239.0,278.0,2105935,2025-01-20
2025-01-27,236.1593780517578,239.35000610351562,259.0,214.39999389648438,242.3000030517578,2438129,2025-01-27
2025-02-03,237.68870544433594,240.89999389648438,263.0,221.5,238.0,2129276,2025-02-03
2025-02-10,222.0500030517578,225.0500030517578,240.3000030517578,212.39999389648438,237.0500030517578,2093500,2025-02-10
2025-02-17,230.0913543701172,233.1999969482422,239.0,215.0500030517578,220.0,1703457,2025-02-17
2025-02-24,217.25,217.25,241.9499969482422,215.89999389648438,231.6999969482422,1637247,2025-02-24
2025-03-03,213.25,213.25,224.0,189.00999450683594,218.0,2693854,2025-03-03
2025-03-10,194.47999572753906,194.47999572753906,217.89999389648438,191.0,216.4499969482422,1719120,2025-03-10
2025-03-17,218.94000244140625,218.94000244140625,221.75,190.1999969482422,196.39999389648438,2727488,2025-03-17
2025-03-24,217.66000366210938,217.66000366210938,253.8000030517578,216.0500030517578,225.0,5436394,2025-03-24
2025-03-31,211.89999389648438,211.89999389648438,230.0,209.0,219.5,2224481,2025-03-31
2025-04-07,206.5399932861328,206.5399932861328,211.57000732421875,180.0,181.3000030517578,1886589,2025-04-07
2025-04-14,217.74000549316406,217.74000549316406,223.38999938964844,207.10000610351562,209.7100067138672,2042376,2025-04-14
2025-04-21,228.57000732421875,228.57000732421875,250.0,217.99000549316406,217.99000549316406,5514127,2025-04-21
2025-04-28,228.38999938964844,228.38999938964844,241.55999755859375,217.39999389648438,227.0,3932226,2025-04-28
2025-05-05,228.8800048828125,228.8800048828125,236.22999572753906,208.0,230.1999969482422,3788345,2025-05-05
2025-05-12,274.760009765625,274.760009765625,276.5,235.0,241.64999389648438,3905949,2025-05-12
2025-05-19,279.7200012207031,279.7200012207031,288.0,267.8299865722656,277.44000244140625,1954866,2025-05-19
2025-05-26,305.6400146484375,305.6400146484375,308.7200012207031,271.510009765625,281.0,2895726,2025-05-26
2025-06-02,342.20001220703125,342.20001220703125,369.3500061035156,302.1000061035156,309.0,4478658,2025-06-02
2025-06-09,335.6499938964844,335.6499938964844,355.5,326.54998779296875,342.29998779296875,2079370,2025-06-09
2025-06-16,326.20001220703125,326.20001220703125,345.8999938964844,319.20001220703125,338.3500061035156,6888106,2025-06-16
2025-06-23,347.5,347.5,358.79998779296875,318.3500061035156,318.3500061035156,3592297,2025-06-23
2025-06-30,347.8999938964844,347.8999938964844,363.0,336.95001220703125,347.5,3551558,2025-06-30
2025-07-07,329.95001220703125,329.95001220703125,349.70001220703125,326.20001220703125,347.95001220703125,1418919,2025-07-07
2025-07-14,329.95001220703125,329.95001220703125,332.70001220703125,321.29998779296875,326.5,471288,2025-07-14
