Date,Adj Close_NELCO.NS,Close_NELCO.NS,High_NELCO.NS,Low_NELCO.NS,Open_NELCO.NS,Volume_NELCO.NS,Date
2020-07-13,203.91140747070312,208.3000030517578,215.0,200.0500030517578,213.25,170607,2020-07-13
2020-07-20,211.1554718017578,215.6999969482422,230.89999389648438,201.3000030517578,210.0,2122569,2020-07-20
2020-07-27,202.9813995361328,207.35000610351562,216.89999389648438,201.10000610351562,216.89999389648438,746948,2020-07-27
2020-08-03,203.0792999267578,207.4499969482422,211.89999389648438,201.0,203.64999389648438,376092,2020-08-03
2020-08-10,209.6581268310547,212.89999389648438,225.0,202.0,214.8000030517578,1106702,2020-08-10
2020-08-17,208.77183532714844,212.0,220.25,209.1999969482422,214.60000610351562,434276,2020-08-17
2020-08-24,211.8738555908203,215.14999389648438,227.10000610351562,211.10000610351562,212.0500030517578,1103674,2020-08-24
2020-08-31,199.31800842285156,202.39999389648438,218.9499969482422,200.0,218.9499969482422,280712,2020-08-31
2020-09-07,188.583984375,191.5,205.35000610351562,183.5,201.0500030517578,256648,2020-09-07
2020-09-14,205.57131958007812,208.75,216.6999969482422,193.5,194.0,1221995,2020-09-14
2020-09-21,189.2240753173828,192.14999389648438,214.5,185.25,210.14999389648438,412501,2020-09-21
2020-09-28,193.4093780517578,196.39999389648438,203.0,193.10000610351562,195.89999389648438,278958,2020-09-28
2020-10-05,186.56520080566406,189.4499969482422,199.0,186.1999969482422,198.6999969482422,175962,2020-10-05
2020-10-12,175.48651123046875,178.1999969482422,190.39999389648438,172.5500030517578,189.3000030517578,194217,2020-10-12
2020-10-19,187.54995727539062,190.4499969482422,197.1999969482422,178.14999389648438,179.9499969482422,402742,2020-10-19
2020-10-26,178.7855224609375,181.5500030517578,193.75,180.8000030517578,192.39999389648438,113519,2020-10-26
2020-11-02,179.5733184814453,182.35000610351562,186.6999969482422,175.0,184.0,129467,2020-11-02
2020-11-09,183.95555114746094,186.8000030517578,192.5,179.9499969482422,187.39999389648438,160767,2020-11-09
2020-11-16,180.55809020996094,183.35000610351562,193.8000030517578,182.85000610351562,185.75,294531,2020-11-16
2020-11-23,186.51596069335938,189.39999389648438,192.5,184.0,184.0,324810,2020-11-23
2020-11-30,197.7916259765625,200.85000610351562,211.60000610351562,188.0,189.39999389648438,1144966,2020-11-30
2020-12-07,205.57131958007812,208.75,216.39999389648438,199.0,201.0,1183934,2020-12-07
2020-12-14,200.9921112060547,204.10000610351562,213.6999969482422,202.0500030517578,210.6999969482422,531346,2020-12-14
2020-12-21,190.70123291015625,193.64999389648438,204.8000030517578,180.0,204.0,363514,2020-12-21
2020-12-28,195.23121643066406,198.25,202.0,190.0,194.10000610351562,406634,2020-12-28
2021-01-04,202.22311401367188,205.35000610351562,208.0,190.5500030517578,199.6999969482422,789896,2021-01-04
2021-01-11,205.4728240966797,208.64999389648438,225.9499969482422,199.10000610351562,206.25,1735469,2021-01-11
2021-01-18,214.5819854736328,217.89999389648438,234.1999969482422,200.0500030517578,208.64999389648438,2978879,2021-01-18
2021-01-25,203.89720153808594,207.0500030517578,222.35000610351562,205.25,220.0500030517578,507669,2021-01-25
2021-02-01,231.47084045410156,235.0500030517578,239.4499969482422,204.60000610351562,208.1999969482422,1618214,2021-02-01
2021-02-08,219.80126953125,223.1999969482422,239.39999389648438,213.60000610351562,239.39999389648438,906325,2021-02-08
2021-02-15,208.7225799560547,211.9499969482422,229.75,210.4499969482422,226.9499969482422,485542,2021-02-15
2021-02-22,204.14340209960938,207.3000030517578,216.0,200.0,212.8000030517578,669291,2021-02-22
2021-03-01,208.27944946289062,211.5,228.10000610351562,207.5,211.0,1415148,2021-03-01
2021-03-08,203.20785522460938,206.35000610351562,217.64999389648438,205.39999389648438,212.5,349002,2021-03-08
2021-03-15,189.7164764404297,192.64999389648438,211.5,187.3000030517578,206.8000030517578,590763,2021-03-15
2021-03-22,186.9098663330078,189.8000030517578,198.60000610351562,181.0500030517578,193.89999389648438,386390,2021-03-22
2021-03-29,194.49261474609375,197.5,198.39999389648438,188.0500030517578,189.8000030517578,177902,2021-03-29
2021-04-05,196.41293334960938,199.4499969482422,204.0,192.39999389648438,198.9499969482422,368665,2021-04-05
