Date,Adj Close_DIVISLAB.NS,Close_DIVISLAB.NS,High_DIVISLAB.NS,Low_DIVISLAB.NS,Open_DIVISLAB.NS,Volume_DIVISLAB.NS,Date
2020-07-13,2205.5791015625,2263.39990234375,2274.550048828125,2177.050048828125,2219.0,3301505,2020-07-13
2020-07-20,2289.090576171875,2349.10009765625,2433.199951171875,2241.550048828125,2280.0,6282966,2020-07-20
2020-07-27,2549.7080078125,2616.550048828125,2645.60009765625,2320.199951171875,2350.0,8994509,2020-07-27
2020-08-03,2713.708740234375,2784.85009765625,2820.0,2602.050048828125,2621.60009765625,8089908,2020-08-03
2020-08-10,3010.868408203125,3089.800048828125,3293.0,3012.10009765625,3063.300048828125,14866948,2020-08-10
2020-08-17,3164.3935546875,3247.35009765625,3335.0,3071.35009765625,3120.0,8484354,2020-08-17
2020-08-24,3189.2421875,3272.85009765625,3297.89990234375,3182.75,3269.5,4080547,2020-08-24
2020-08-31,3140.8115234375,3223.14990234375,3349.39990234375,3094.85009765625,3285.0,5144050,2020-08-31
2020-09-07,3066.26611328125,3146.64990234375,3248.60009765625,3080.0,3243.300048828125,3142547,2020-09-07
2020-09-14,3258.96435546875,3344.39990234375,3389.0,3133.699951171875,3169.60009765625,7255556,2020-09-14
2020-09-21,2982.560302734375,3060.75,3374.25,2985.0,3350.949951171875,12793806,2020-09-21
2020-09-28,2986.604248046875,3064.89990234375,3139.0,3021.64990234375,3100.0,4613558,2020-09-28
2020-10-05,3108.5087890625,3190.0,3269.89990234375,3049.050048828125,3080.0,5722531,2020-10-05
2020-10-12,3140.373291015625,3222.699951171875,3248.0,3045.0,3192.300048828125,5706699,2020-10-12
2020-10-19,2990.45361328125,3068.85009765625,3246.89990234375,3015.0,3235.0,6026860,2020-10-19
2020-10-26,3061.78369140625,3142.050048828125,3210.89990234375,3020.10009765625,3080.89990234375,5847727,2020-10-26
2020-11-02,3154.551513671875,3237.25,3264.800048828125,3040.300048828125,3121.14990234375,5585069,2020-11-02
2020-11-09,3356.945556640625,3444.949951171875,3464.199951171875,3239.14990234375,3415.050048828125,14322146,2020-11-09
2020-11-16,3380.47900390625,3469.10009765625,3499.0,3395.0,3432.949951171875,4659484,2020-11-16
2020-11-23,3513.004638671875,3605.10009765625,3659.89990234375,3450.0,3486.39990234375,11360868,2020-11-23
2020-11-30,3617.124755859375,3711.949951171875,3770.0,3596.60009765625,3605.10009765625,4816689,2020-11-30
2020-12-07,3549.059326171875,3642.10009765625,3763.0,3622.39990234375,3704.0,4452296,2020-12-07
2020-12-14,3734.985107421875,3832.89990234375,3859.0,3584.60009765625,3650.0,6051356,2020-12-14
2020-12-21,3653.81298828125,3749.60009765625,3803.949951171875,3543.800048828125,3789.0,4918726,2020-12-21
2020-12-28,3750.722412109375,3849.050048828125,3867.89990234375,3738.0,3760.0,2620153,2020-12-28
2021-01-04,3760.564697265625,3859.14990234375,3914.949951171875,3791.0,3853.0,3010795,2021-01-04
2021-01-11,3551.690673828125,3644.800048828125,3888.949951171875,3633.0,3884.89990234375,4356417,2021-01-11
2021-01-18,3454.1474609375,3544.699951171875,3666.10009765625,3530.0,3640.0,3943326,2021-01-18
2021-01-25,3283.76416015625,3369.85009765625,3600.0,3360.10009765625,3562.0,3604556,2021-01-25
2021-02-01,3724.802001953125,3822.449951171875,3859.800048828125,3311.39990234375,3418.0,7377663,2021-02-01
2021-02-08,3624.384521484375,3719.39990234375,3888.0,3650.0,3799.0,6001296,2021-02-08
2021-02-15,3433.196533203125,3523.199951171875,3749.75,3490.0,3721.0,3140879,2021-02-15
2021-02-22,3277.1865234375,3363.10009765625,3563.0,3326.39990234375,3510.0,4345425,2021-02-22
2021-03-01,3407.568359375,3496.89990234375,3573.199951171875,3381.35009765625,3396.699951171875,3142232,2021-03-01
2021-03-08,3422.33154296875,3512.050048828125,3567.800048828125,3461.5,3522.35009765625,1837074,2021-03-08
2021-03-15,3284.20263671875,3370.300048828125,3526.0,3153.300048828125,3526.0,4542721,2021-03-15
2021-03-22,3376.434814453125,3464.949951171875,3545.0,3350.550048828125,3371.35009765625,3540904,2021-03-22
2021-03-29,3523.723388671875,3616.10009765625,3640.64990234375,3464.949951171875,3464.949951171875,1863277,2021-03-29
2021-04-05,3656.492919921875,3752.35009765625,3799.89990234375,3561.64990234375,3616.10009765625,3786046,2021-04-05
2021-04-12,3724.2177734375,3821.85009765625,3898.0,3675.199951171875,3760.0,4097126,2021-04-12
2021-04-19,3683.19287109375,3779.75,3849.85009765625,3739.0,3812.0,2725585,2021-04-19
2021-04-26,3958.57373046875,4062.35009765625,4135.0,3770.449951171875,3782.0,5436038,2021-04-26
2021-05-03,3926.17333984375,4029.10009765625,4147.2998046875,3962.050048828125,4061.800048828125,2906612,2021-05-03
2021-05-10,3917.84130859375,4020.550048828125,4205.0,4006.5,4052.0,2771452,2021-05-10
2021-05-17,3975.675048828125,4079.89990234375,4110.0,3964.35009765625,4020.0,2065030,2021-05-17
2021-05-24,4014.99462890625,4120.25,4165.0,4055.0,4092.14990234375,2437485,2021-05-24
2021-05-31,4152.7333984375,4261.60009765625,4284.2001953125,4110.0,4190.0,5119208,2021-05-31
2021-06-07,4223.77099609375,4334.5,4425.0,4201.7998046875,4264.14990234375,3125993,2021-06-07
2021-06-14,4090.076171875,4197.2998046875,4415.35009765625,4146.5,4334.64990234375,3488590,2021-06-14
2021-06-21,4140.2119140625,4248.75,4310.2001953125,4162.0,4190.0,1545504,2021-06-21
2021-06-28,4404.19140625,4519.64990234375,4530.10009765625,4251.0,4251.0,2466858,2021-06-28
2021-07-05,4482.19677734375,4599.7001953125,4625.0,4485.0,4534.0,1757614,2021-07-05
2021-07-12,4636.06298828125,4757.60009765625,4772.0,4566.89990234375,4610.0,2249752,2021-07-12
2021-07-19,4701.49755859375,4824.75,4856.39990234375,4735.5498046875,4749.9501953125,1417391,2021-07-19
2021-07-26,4780.76953125,4906.10009765625,4944.75,4669.39990234375,4824.75,3830699,2021-07-26
2021-08-02,4790.4169921875,4916.0,5045.2001953125,4884.0,4893.5,1998367,2021-08-02
2021-08-09,4822.28125,4948.7001953125,4989.7998046875,4831.0,4980.0,2179945,2021-08-09
2021-08-16,4695.60205078125,4818.7001953125,4999.0498046875,4757.0,4945.5498046875,1637562,2021-08-16
2021-08-23,4804.8681640625,4910.7001953125,4934.0498046875,4788.0,4849.0,1813915,2021-08-23
2021-08-30,5096.0537109375,5208.2998046875,5271.64990234375,4930.0,4932.60009765625,3307100,2021-08-30
