Date,Adj Close_GODREJCP.NS,Close_GODREJCP.NS,High_GODREJCP.NS,Low_GODREJCP.NS,Open_GODREJCP.NS,Volume_GODREJCP.NS,Date
2020-07-13,681.1846313476562,700.5499877929688,707.6500244140625,685.3499755859375,700.0,2969588,2020-07-13
2020-07-20,661.20263671875,680.0,710.0,665.5999755859375,703.0,6962939,2020-07-20
2020-07-27,672.72509765625,691.8499755859375,695.0,663.5,680.1500244140625,4638304,2020-07-27
2020-08-03,670.0510864257812,689.0999755859375,708.5,672.4500122070312,696.0,8486410,2020-08-03
2020-08-10,665.6754760742188,684.5999755859375,716.7000122070312,680.2000122070312,691.2000122070312,7111077,2020-08-10
2020-08-17,664.60595703125,683.5,697.8499755859375,670.5999755859375,685.0,3422776,2020-08-17
2020-08-24,652.40283203125,670.9500122070312,701.0,670.0,683.3499755859375,4118328,2020-08-24
2020-08-31,637.623046875,655.75,679.5,641.0,676.9000244140625,6316112,2020-08-31
2020-09-07,666.6965942382812,685.6500244140625,688.0,647.4500122070312,658.0,6768090,2020-09-07
2020-09-14,694.0197143554688,713.75,726.7000122070312,677.4500122070312,687.9000244140625,8963363,2020-09-14
2020-09-21,682.6917114257812,702.0999755859375,716.9500122070312,666.0,715.9000244140625,6961754,2020-09-21
2020-09-28,713.7586059570312,734.0499877929688,741.0,702.0999755859375,709.0,8415694,2020-09-28
2020-10-05,699.9510498046875,719.8499755859375,762.0,715.5999755859375,741.0,8141683,2020-10-05
2020-10-12,659.1121215820312,677.8499755859375,727.75,675.0,722.0,8870450,2020-10-12
2020-10-19,662.4180908203125,681.25,701.5999755859375,667.1500244140625,682.2999877929688,7312070,2020-10-19
2020-10-26,646.4227905273438,664.7999877929688,691.7999877929688,661.0,686.0,5891032,2020-10-26
2020-11-02,651.04150390625,669.5499877929688,693.7999877929688,653.5999755859375,664.7999877929688,8308246,2020-11-02
2020-11-09,666.7451171875,685.7000122070312,694.9500122070312,672.2000122070312,680.0,5857387,2020-11-09
2020-11-16,679.6774291992188,699.0,709.0,673.25,681.9000244140625,6475512,2020-11-16
2020-11-23,680.40673828125,699.75,719.5999755859375,689.3499755859375,705.0,8676346,2020-11-23
2020-11-30,690.3734130859375,710.0,725.0,699.75,699.75,7054538,2020-11-30
2020-12-07,706.5144653320312,726.5999755859375,739.4000244140625,699.2999877929688,712.0,11363179,2020-12-07
2020-12-14,700.2913818359375,720.2000122070312,732.9000244140625,714.25,732.0,5530649,2020-12-14
2020-12-21,701.0692749023438,721.0,745.2000122070312,683.0999755859375,719.0,10414435,2020-12-21
2020-12-28,718.5231323242188,738.9500122070312,756.9000244140625,719.7999877929688,724.7000122070312,7464985,2020-12-28
2021-01-04,729.60791015625,750.3499755859375,763.75,731.25,740.0999755859375,8877636,2021-01-04
2021-01-11,758.5355834960938,780.0999755859375,792.0,753.0,754.7000122070312,14106426,2021-01-11
2021-01-18,768.2105712890625,790.0499877929688,808.3499755859375,768.1500244140625,779.9000244140625,9216234,2021-01-18
2021-01-25,724.0654907226562,744.6500244140625,806.0,739.0499877929688,794.0,5101622,2021-01-25
2021-02-01,728.441162109375,749.1500244140625,773.7999877929688,743.5499877929688,749.6500244140625,5573477,2021-02-01
2021-02-08,733.4487915039062,754.2999877929688,765.0,715.0,756.0,7747547,2021-02-08
2021-02-15,690.0817260742188,709.7000122070312,758.4500122070312,703.2999877929688,754.5,6345445,2021-02-15
2021-02-22,667.4258422851562,686.4000244140625,718.4500122070312,676.0,713.0,11249042,2021-02-22
