Date,Adj Close_DAMCAPITAL.NS,Close_DAMCAPITAL.NS,High_DAMCAPITAL.NS,Low_DAMCAPITAL.NS,Open_DAMCAPITAL.NS,Volume_DAMCAPITAL.NS,Date
2024-12-23,413.5772705078125,415.1000061035156,456.8999938964844,392.95001220703125,393.0,43448517,2024-12-23
2024-12-30,402.5677795410156,404.04998779296875,427.0,363.54998779296875,418.0,44083470,2024-12-30
2025-01-06,355.8896789550781,357.20001220703125,425.0,351.54998779296875,406.6499938964844,25259970,2025-01-06
2025-01-13,337.2084655761719,338.45001220703125,361.3999938964844,324.04998779296875,341.1499938964844,10710119,2025-01-13
2025-01-20,278.9230651855469,279.95001220703125,342.6499938964844,276.0,340.8999938964844,12989145,2025-01-20
2025-01-27,305.2261962890625,306.3500061035156,322.5,274.5,302.0,38100092,2025-01-27
2025-02-03,293.8182067871094,294.8999938964844,311.29998779296875,290.1499938964844,297.1000061035156,5972606,2025-02-03
2025-02-10,255.06089782714844,256.0,294.75,251.8000030517578,294.75,5669119,2025-02-10
2025-02-17,243.20455932617188,244.10000610351562,258.70001220703125,238.60000610351562,252.0500030517578,5273363,2025-02-17
2025-02-24,215.40689086914062,216.1999969482422,241.35000610351562,213.0500030517578,239.85000610351562,3951180,2025-02-24
2025-03-03,222.68011474609375,223.5,226.88999938964844,200.0,220.0,8376675,2025-03-03
2025-03-10,204.1184539794922,204.8699951171875,224.60000610351562,203.1999969482422,223.0,4930531,2025-03-10
2025-03-17,230.54116821289062,231.38999938964844,232.89999389648438,202.0800018310547,206.0,5981394,2025-03-17
2025-03-24,234.21763610839844,235.0800018310547,256.3999938964844,221.5800018310547,229.8000030517578,15942903,2025-03-24
2025-03-31,218.5054931640625,219.30999755859375,242.33999633789062,217.4199981689453,235.0800018310547,4287320,2025-03-31
2025-04-07,206.3203582763672,207.0800018310547,214.94000244140625,195.5500030517578,204.0,4963148,2025-04-07
2025-04-14,219.69113159179688,220.5,223.0,207.0800018310547,207.0800018310547,2333674,2025-04-14
2025-04-21,221.0859832763672,221.89999389648438,232.9499969482422,216.55999755859375,221.5500030517578,4141707,2025-04-21
2025-04-28,208.7015838623047,209.47000122070312,223.0,209.00999450683594,221.8000030517578,1766349,2025-04-28
2025-05-05,202.12579345703125,202.8699951171875,214.97999572753906,197.39999389648438,209.1999969482422,3386515,2025-05-05
2025-05-12,221.73361206054688,222.5500030517578,224.35000610351562,201.0500030517578,210.99000549316406,10599038,2025-05-12
2025-05-19,262.1448059082031,263.1099853515625,269.3999938964844,223.50999450683594,224.89999389648438,11875716,2025-05-19
2025-05-26,267.754150390625,268.739990234375,282.989990234375,260.5199890136719,263.25,8761462,2025-05-26
2025-06-02,288.1391296386719,289.20001220703125,303.5,262.5,267.5,7308138,2025-06-02
2025-06-09,273.6424865722656,274.6499938964844,301.8999938964844,264.0,290.04998779296875,4460597,2025-06-09
2025-06-16,249.8000030517578,249.8000030517578,276.0,242.10000610351562,272.20001220703125,4776122,2025-06-16
2025-06-23,257.5,257.5,268.3999938964844,244.64999389648438,248.0,3557277,2025-06-23
2025-06-30,259.8999938964844,259.8999938964844,263.3500061035156,249.39999389648438,259.3999938964844,2434929,2025-06-30
2025-07-07,249.75,249.75,260.0,248.5,259.8999938964844,1841817,2025-07-07
2025-07-14,252.1999969482422,252.1999969482422,255.0,245.8000030517578,249.6999969482422,656040,2025-07-14
