Date,Adj Close_BHARATWIRE.NS,Close_BHARATWIRE.NS,High_BHARATWIRE.NS,Low_BHARATWIRE.NS,Open_BHARATWIRE.NS,Volume_BHARATWIRE.NS,Date
2021-03-22,34.70000076293945,34.70000076293945,39.599998474121094,33.150001525878906,38.79999923706055,259947,2021-03-22
2021-03-29,35.95000076293945,35.95000076293945,36.0,33.900001525878906,34.70000076293945,312768,2021-03-29
2021-04-05,43.20000076293945,43.20000076293945,43.25,37.70000076293945,37.70000076293945,96445,2021-04-05
2021-04-12,42.79999923706055,42.79999923706055,44.5,41.04999923706055,43.20000076293945,103621,2021-04-12
2021-04-19,41.5,41.5,43.0,38.400001525878906,43.0,377914,2021-04-19
2021-04-26,46.70000076293945,46.70000076293945,47.45000076293945,42.0,43.5,837347,2021-04-26
2021-05-03,46.79999923706055,46.79999923706055,47.150001525878906,40.5,46.70000076293945,159535,2021-05-03
2021-05-10,56.75,56.75,56.79999923706055,47.5,47.5,647231,2021-05-10
2021-05-17,56.70000076293945,56.70000076293945,62.5,56.0,59.54999923706055,320224,2021-05-17
2021-05-24,54.0,54.0,58.5,52.0,57.20000076293945,183006,2021-05-24
2021-05-31,56.0,56.0,57.849998474121094,52.04999923706055,53.04999923706055,218695,2021-05-31
2021-06-07,59.400001525878906,59.400001525878906,59.70000076293945,51.45000076293945,55.599998474121094,324362,2021-06-07
2021-06-14,58.45000076293945,58.45000076293945,61.0,55.599998474121094,60.5,231605,2021-06-14
2021-06-21,65.69999694824219,65.69999694824219,65.69999694824219,56.099998474121094,57.900001525878906,470497,2021-06-21
2021-06-28,77.3499984741211,77.3499984741211,81.1500015258789,66.69999694824219,67.9000015258789,544148,2021-06-28
2021-07-05,76.3499984741211,76.3499984741211,79.9000015258789,71.5,78.5,310091,2021-07-05
2021-07-12,81.0999984741211,81.0999984741211,82.55000305175781,75.55000305175781,77.5,658228,2021-07-12
2021-07-19,79.25,79.25,81.69999694824219,75.55000305175781,80.5,120166,2021-07-19
2021-07-26,81.5999984741211,81.5999984741211,82.0,70.4000015258789,79.0,286525,2021-07-26
2021-08-02,81.30000305175781,81.30000305175781,85.0,77.69999694824219,80.94999694824219,433374,2021-08-02
2021-08-09,72.0999984741211,72.0999984741211,85.3499984741211,70.1500015258789,80.5,384586,2021-08-09
2021-08-16,66.94999694824219,66.94999694824219,73.0,64.80000305175781,69.0,229349,2021-08-16
2021-08-23,63.75,63.75,69.80000305175781,62.099998474121094,66.05000305175781,67555,2021-08-23
2021-08-30,66.3499984741211,66.3499984741211,68.9000015258789,63.0,63.0,72535,2021-08-30
2021-09-06,64.0,64.0,67.0,63.099998474121094,66.0,39767,2021-09-06
2021-09-13,69.30000305175781,69.30000305175781,72.69999694824219,62.0,63.0,164673,2021-09-13
2021-09-20,64.05000305175781,64.05000305175781,68.5,63.099998474121094,68.0,864884,2021-09-20
