Date,Adj Close_AVALON.NS,Close_AVALON.NS,High_AVALON.NS,Low_AVALON.NS,Open_AVALON.NS,Volume_AVALON.NS,Date
2023-04-17,397.95001220703125,397.95001220703125,436.0,387.1499938964844,436.0,6707690,2023-04-17
2023-04-24,374.1499938964844,374.1499938964844,403.95001220703125,360.1499938964844,397.95001220703125,1037013,2023-04-24
2023-05-01,367.6499938964844,367.6499938964844,380.0,366.04998779296875,374.1499938964844,661510,2023-05-01
2023-05-08,356.70001220703125,356.70001220703125,367.8999938964844,348.0,365.0,806019,2023-05-08
2023-05-15,411.70001220703125,411.70001220703125,414.8999938964844,354.04998779296875,354.04998779296875,1434910,2023-05-15
2023-05-22,421.54998779296875,421.54998779296875,436.3999938964844,405.29998779296875,414.0,1491040,2023-05-22
2023-05-29,442.54998779296875,442.54998779296875,453.0,404.1499938964844,439.0,2797316,2023-05-29
2023-06-05,500.6499938964844,500.6499938964844,519.2000122070312,444.20001220703125,450.0,3070124,2023-06-05
2023-06-12,505.3999938964844,505.3999938964844,538.9000244140625,486.1499938964844,504.75,1646826,2023-06-12
2023-06-19,512.75,512.75,582.25,490.04998779296875,508.95001220703125,2901918,2023-06-19
2023-06-26,549.9000244140625,549.9000244140625,562.0,504.0,516.7999877929688,1773094,2023-06-26
2023-07-03,627.1500244140625,627.1500244140625,681.7000122070312,552.8499755859375,552.9000244140625,4042192,2023-07-03
2023-07-10,695.2000122070312,695.2000122070312,732.0999755859375,591.0,630.0,4198554,2023-07-10
2023-07-17,637.7000122070312,637.7000122070312,705.5999755859375,623.9000244140625,698.7000122070312,1874920,2023-07-17
2023-07-24,591.75,591.75,642.0,581.2000122070312,637.7000122070312,1460193,2023-07-24
2023-07-31,573.7000122070312,573.7000122070312,607.0,560.1500244140625,597.9500122070312,1179876,2023-07-31
2023-08-07,520.5499877929688,520.5499877929688,605.7000122070312,505.6499938964844,577.9500122070312,2555087,2023-08-07
2023-08-14,478.70001220703125,478.70001220703125,534.7000122070312,449.25,523.0,5182437,2023-08-14
2023-08-21,481.1000061035156,481.1000061035156,504.70001220703125,475.1000061035156,484.3999938964844,2000497,2023-08-21
2023-08-28,502.0,502.0,514.5,478.04998779296875,484.0,2940523,2023-08-28
2023-09-04,605.0,605.0,614.0,507.04998779296875,520.0,5809767,2023-09-04
2023-09-11,580.0999755859375,580.0999755859375,620.0,560.1500244140625,608.9500122070312,2220890,2023-09-11
2023-09-18,554.9500122070312,554.9500122070312,587.2999877929688,547.8499755859375,580.6500244140625,706541,2023-09-18
2023-09-25,555.4000244140625,555.4000244140625,575.2000122070312,551.8499755859375,557.9500122070312,789976,2023-09-25
2023-10-02,570.5499877929688,570.5499877929688,600.0,553.5,555.4000244140625,1249870,2023-10-02
2023-10-09,528.9500122070312,528.9500122070312,568.5,526.0,562.0,1745143,2023-10-09
2023-10-16,530.2999877929688,530.2999877929688,557.7000122070312,524.2999877929688,532.0,1974565,2023-10-16
2023-10-23,503.75,503.75,575.7999877929688,456.1499938964844,530.0,5048081,2023-10-23
2023-10-30,498.70001220703125,498.70001220703125,510.54998779296875,487.0,507.20001220703125,1081905,2023-10-30
2023-11-06,472.3500061035156,472.3500061035156,514.2000122070312,470.5,504.8999938964844,1395394,2023-11-06
2023-11-13,476.79998779296875,476.79998779296875,493.5,475.70001220703125,490.0,997294,2023-11-13
2023-11-20,479.04998779296875,479.04998779296875,486.95001220703125,473.1000061035156,480.0,748526,2023-11-20
2023-11-27,506.3500061035156,506.3500061035156,513.9000244140625,479.04998779296875,479.04998779296875,1539455,2023-11-27
2023-12-04,514.3499755859375,514.3499755859375,522.0,490.0,521.0,1983429,2023-12-04
2023-12-11,512.2999877929688,512.2999877929688,537.4000244140625,508.5,514.3499755859375,1606567,2023-12-11
2023-12-18,551.4000244140625,551.4000244140625,559.25,505.0,510.1499938964844,2625779,2023-12-18
2023-12-25,551.0999755859375,551.0999755859375,576.0,548.4500122070312,551.4000244140625,1369539,2023-12-25
2024-01-01,545.2000122070312,545.2000122070312,556.9500122070312,528.2000122070312,550.0,1034394,2024-01-01
2024-01-08,541.5999755859375,541.5999755859375,554.7000122070312,531.25,545.0,787669,2024-01-08
2024-01-15,527.5999755859375,527.5999755859375,562.1500244140625,524.75,541.5999755859375,1038113,2024-01-15
2024-01-22,525.75,525.75,536.5,512.25,527.5999755859375,472108,2024-01-22
2024-01-29,507.29998779296875,507.29998779296875,557.4500122070312,505.0,526.0999755859375,1197858,2024-01-29
2024-02-05,480.95001220703125,480.95001220703125,514.0499877929688,469.0,507.29998779296875,3718750,2024-02-05
2024-02-12,507.95001220703125,507.95001220703125,517.5999755859375,467.8999938964844,484.95001220703125,1254640,2024-02-12
2024-02-19,512.9500122070312,512.9500122070312,519.0999755859375,495.0,509.70001220703125,798140,2024-02-19
2024-02-26,525.25,525.25,535.0,506.25,514.7999877929688,1055251,2024-02-26
2024-03-04,520.25,520.25,529.0499877929688,504.1000061035156,527.9500122070312,959415,2024-03-04
2024-03-11,485.8500061035156,485.8500061035156,522.9500122070312,469.95001220703125,520.2999877929688,885865,2024-03-11
2024-03-18,494.6000061035156,494.6000061035156,507.8500061035156,480.0,485.8500061035156,631505,2024-03-18
2024-03-25,494.0,494.0,500.95001220703125,475.0,494.6000061035156,398059,2024-03-25
2024-04-01,517.9000244140625,517.9000244140625,523.5,495.29998779296875,498.0,598947,2024-04-01
2024-04-08,519.75,519.75,530.0,512.2999877929688,518.0,351408,2024-04-08
2024-04-15,517.7999877929688,517.7999877929688,525.6500244140625,488.3500061035156,509.0,430994,2024-04-15
2024-04-22,520.7000122070312,520.7000122070312,549.0,515.0,520.2000122070312,568834,2024-04-22
2024-04-29,512.0999755859375,512.0999755859375,527.0999755859375,502.0,524.9000244140625,345296,2024-04-29
2024-05-06,507.54998779296875,507.54998779296875,521.9000244140625,502.79998779296875,510.45001220703125,380006,2024-05-06
2024-05-13,489.45001220703125,489.45001220703125,508.8999938964844,479.1000061035156,507.8999938964844,710043,2024-05-13
