Date,Adj Close_VASCONEQ.NS,Close_VASCONEQ.NS,High_VASCONEQ.NS,Low_VASCONEQ.NS,Open_VASCONEQ.NS,Volume_VASCONEQ.NS,Date
2020-07-13,8.659908294677734,8.699999809265137,9.0,8.149999618530273,8.649999618530273,378213,2020-07-13
2020-07-20,8.162212371826172,8.199999809265137,9.100000381469727,7.849999904632568,8.75,683307,2020-07-20
2020-07-27,8.162212371826172,8.199999809265137,8.75,7.849999904632568,8.199999809265137,639605,2020-07-27
2020-08-03,8.75944709777832,8.800000190734863,9.199999809265137,8.050000190734863,8.25,1188095,2020-08-03
2020-08-10,10.600921630859375,10.649999618530273,10.649999618530273,8.649999618530273,9.25,3564615,2020-08-10
2020-08-17,11.745622634887695,11.800000190734863,12.449999809265137,10.050000190734863,11.300000190734863,6517979,2020-08-17
2020-08-24,11.247926712036133,11.300000190734863,12.5,10.899999618530273,12.0,2923600,2020-08-24
2020-08-31,10.003686904907227,10.050000190734863,11.600000381469727,9.699999809265137,11.300000190734863,1192615,2020-08-31
2020-09-07,9.406451225280762,9.449999809265137,10.350000381469727,7.849999904632568,10.25,866833,2020-09-07
2020-09-14,9.555761337280273,9.600000381469727,10.149999618530273,9.25,9.699999809265137,559991,2020-09-14
2020-09-21,8.709677696228027,8.75,9.899999618530273,8.399999618530273,9.899999618530273,993545,2020-09-21
2020-09-28,9.107833862304688,9.149999618530273,9.25,8.649999618530273,9.199999809265137,338866,2020-09-28
2020-10-05,8.659908294677734,8.699999809265137,9.399999618530273,8.5,9.149999618530273,418554,2020-10-05
2020-10-12,8.361289978027344,8.399999618530273,8.949999809265137,8.199999809265137,8.600000381469727,370534,2020-10-12
2020-10-19,8.80921745300293,8.850000381469727,9.199999809265137,8.199999809265137,8.399999618530273,451969,2020-10-19
2020-10-26,8.411060333251953,8.449999809265137,9.050000190734863,8.350000381469727,8.75,284150,2020-10-26
2020-11-02,8.560369491577148,8.600000381469727,8.850000381469727,8.199999809265137,8.5,353974,2020-11-02
2020-11-09,8.9087553024292,8.949999809265137,9.0,8.300000190734863,8.550000190734863,544635,2020-11-09
2020-11-16,9.705069541931152,9.75,10.300000190734863,8.300000190734863,8.649999618530273,1328855,2020-11-16
2020-11-23,14.532719612121582,14.600000381469727,14.600000381469727,9.75,10.0,10346018,2020-11-23
2020-11-30,13.587096214294434,13.649999618530273,15.449999809265137,13.5,14.600000381469727,2727770,2020-11-30
2020-12-07,14.234102249145508,14.300000190734863,14.949999809265137,13.0,13.550000190734863,1405034,2020-12-07
2020-12-14,15.229493141174316,15.300000190734863,16.049999237060547,13.600000381469727,14.5,2247030,2020-12-14
2020-12-21,14.632258415222168,14.699999809265137,15.5,13.5,15.0,505417,2020-12-21
2020-12-28,15.976036071777344,16.049999237060547,16.5,14.199999809265137,14.699999809265137,1268850,2020-12-28
2021-01-04,15.179723739624023,15.25,16.350000381469727,15.0,15.899999618530273,1420010,2021-01-04
2021-01-11,13.935483932495117,14.0,15.600000381469727,14.0,15.25,737433,2021-01-11
2021-01-18,14.532719612121582,14.600000381469727,14.699999809265137,13.649999618530273,14.0,615379,2021-01-18
2021-01-25,13.587096214294434,13.649999618530273,14.399999618530273,13.25,14.399999618530273,558685,2021-01-25
2021-02-01,16.42396354675293,16.5,16.799999237060547,13.399999618530273,13.649999618530273,1966218,2021-02-01
2021-02-08,17.170507431030273,17.25,19.5,16.549999237060547,16.700000762939453,3664596,2021-02-08
2021-02-15,17.120738983154297,17.200000762939453,18.149999618530273,15.800000190734863,17.799999237060547,1370762,2021-02-15
2021-02-22,17.61843490600586,17.700000762939453,18.0,16.399999618530273,17.649999618530273,1134313,2021-02-22
2021-03-01,16.871891021728516,16.950000762939453,18.0,16.549999237060547,17.5,1082844,2021-03-01
2021-03-08,20.455299377441406,20.549999237060547,20.549999237060547,16.600000381469727,17.399999618530273,3540349,2021-03-08
2021-03-15,17.070968627929688,17.149999618530273,21.200000762939453,16.100000381469727,20.799999237060547,2103835,2021-03-15
2021-03-22,18.713363647460938,18.799999237060547,19.299999237060547,16.600000381469727,17.799999237060547,5954554,2021-03-22
2021-03-29,18.464515686035156,18.549999237060547,19.700000762939453,17.950000762939453,18.799999237060547,1273160,2021-03-29
2021-04-05,17.717971801757812,17.799999237060547,19.200000762939453,17.399999618530273,18.5,1492864,2021-04-05
2021-04-12,16.573272705078125,16.649999618530273,17.5,16.299999237060547,17.5,662948,2021-04-12
2021-04-19,16.075576782226562,16.149999618530273,16.700000762939453,15.449999809265137,16.5,694621,2021-04-19
2021-04-26,15.727189064025879,15.800000190734863,18.0,15.5,15.850000381469727,1276737,2021-04-26
2021-05-03,15.677419662475586,15.75,16.600000381469727,15.5,15.800000190734863,595096,2021-05-03
2021-05-10,15.727189064025879,15.800000190734863,16.700000762939453,15.399999618530273,15.699999809265137,1586621,2021-05-10
2021-05-17,17.021198272705078,17.100000381469727,17.700000762939453,15.550000190734863,15.949999809265137,2130390,2021-05-17
2021-05-24,17.27004623413086,17.350000381469727,19.299999237060547,16.450000762939453,16.950000762939453,3577517,2021-05-24
2021-05-31,21.351152420043945,21.450000762939453,22.0,16.75,17.700000762939453,12290895,2021-05-31
2021-06-07,21.002765655517578,21.100000381469727,22.049999237060547,19.149999618530273,21.600000381469727,5104120,2021-06-07
2021-06-14,21.649770736694336,21.75,22.899999618530273,19.899999618530273,21.200000762939453,6464221,2021-06-14
2021-06-21,20.256221771240234,20.350000381469727,22.799999237060547,20.299999237060547,21.299999237060547,2879258,2021-06-21
2021-06-28,19.80829429626465,19.899999618530273,21.399999618530273,19.700000762939453,20.5,2445322,2021-06-28
2021-07-05,21.550230026245117,21.649999618530273,22.350000381469727,19.799999237060547,20.049999237060547,5408629,2021-07-05
2021-07-12,22.34654426574707,22.450000762939453,26.149999618530273,22.399999618530273,22.450000762939453,12008470,2021-07-12
2021-07-19,21.699539184570312,21.799999237060547,23.549999237060547,21.399999618530273,22.200000762939453,3019863,2021-07-19
2021-07-26,21.600000381469727,21.700000762939453,22.5,20.899999618530273,21.600000381469727,1947187,2021-07-26
2021-08-02,22.545621871948242,22.649999618530273,24.0,21.549999237060547,22.0,3346968,2021-08-02
2021-08-09,26.825807571411133,26.950000762939453,26.950000762939453,22.149999618530273,23.299999237060547,6704255,2021-08-09
2021-08-16,24.188018798828125,24.299999237060547,29.649999618530273,24.299999237060547,28.25,6534875,2021-08-16
2021-08-23,25.332719802856445,25.450000762939453,26.75,23.0,25.049999237060547,5042852,2021-08-23
2021-08-30,26.377880096435547,26.5,28.0,24.0,25.5,3811473,2021-08-30
2021-09-06,26.178802490234375,26.299999237060547,27.450000762939453,25.299999237060547,25.950000762939453,1892282,2021-09-06
2021-09-13,25.18341064453125,25.299999237060547,27.100000381469727,25.100000381469727,26.299999237060547,5310865,2021-09-13
2021-09-20,26.87557601928711,27.0,27.25,23.100000381469727,24.350000381469727,5383548,2021-09-20
2021-09-27,25.730876922607422,25.850000381469727,27.25,24.600000381469727,27.200000762939453,3669409,2021-09-27
2021-10-04,29.264516830444336,29.399999618530273,31.799999237060547,26.100000381469727,26.100000381469727,11339665,2021-10-04
2021-10-11,27.572351455688477,27.700000762939453,30.799999237060547,26.75,29.899999618530273,3974152,2021-10-11
2021-10-18,24.93456268310547,25.049999237060547,28.299999237060547,24.450000762939453,27.799999237060547,2844639,2021-10-18
2021-10-25,25.681106567382812,25.799999237060547,26.600000381469727,24.600000381469727,25.100000381469727,2385774,2021-10-25
2021-11-01,26.377880096435547,26.5,27.899999618530273,25.799999237060547,25.799999237060547,2145100,2021-11-01
2021-11-08,26.02949333190918,26.149999618530273,27.350000381469727,25.100000381469727,26.200000762939453,3306219,2021-11-08
2021-11-15,24.436866760253906,24.549999237060547,27.100000381469727,23.649999618530273,26.149999618530273,1736086,2021-11-15
2021-11-22,22.844240188598633,22.950000762939453,24.799999237060547,22.549999237060547,24.549999237060547,2243718,2021-11-22
2021-11-29,22.34654426574707,22.450000762939453,23.649999618530273,21.0,22.700000762939453,2064785,2021-11-29
2021-12-06,25.581567764282227,25.700000762939453,26.350000381469727,22.25,22.350000381469727,3228052,2021-12-06
2021-12-13,23.889400482177734,24.0,27.049999237060547,23.799999237060547,26.0,3189607,2021-12-13
2021-12-20,23.839632034301758,23.950000762939453,26.399999618530273,21.899999618530273,23.350000381469727,5606873,2021-12-20
2021-12-27,28.119815826416016,28.25,29.299999237060547,22.700000762939453,23.399999618530273,9457357,2021-12-27
2022-01-03,27.373271942138672,27.5,29.799999237060547,26.850000381469727,28.600000381469727,6305732,2022-01-03
2022-01-10,32.400001525878906,32.54999923706055,36.75,27.649999618530273,27.700000762939453,22037224,2022-01-10
2022-01-17,31.952072143554688,32.099998474121094,35.0,30.0,32.650001525878906,8031799,2022-01-17
2022-01-24,28.31889533996582,28.450000762939453,34.75,27.850000381469727,32.29999923706055,4644800,2022-01-24
2022-01-31,31.056222915649414,31.200000762939453,32.900001525878906,28.549999237060547,28.75,3929835,2022-01-31
2022-02-07,28.916128158569336,29.049999237060547,33.45000076293945,28.899999618530273,31.25,8279399,2022-02-07
2022-02-14,26.377880096435547,26.5,28.799999237060547,26.200000762939453,28.5,3502721,2022-02-14
2022-02-21,24.28755760192871,24.399999618530273,27.049999237060547,22.149999618530273,26.549999237060547,2871735,2022-02-21
2022-02-28,23.44147491455078,23.549999237060547,25.649999618530273,23.399999618530273,24.200000762939453,1540119,2022-02-28
2022-03-07,24.785253524780273,24.899999618530273,25.899999618530273,22.5,23.299999237060547,2605544,2022-03-07
