Date,Adj Close_SUNTV.NS,Close_SUNTV.NS,High_SUNTV.NS,Low_SUNTV.NS,Open_SUNTV.NS,Volume_SUNTV.NS,Date
2020-07-13,339.7967834472656,382.54998779296875,396.25,372.5,394.25,3485002,2020-07-13
2020-07-20,333.6679382324219,375.6499938964844,387.3500061035156,373.0,385.0,3660118,2020-07-20
2020-07-27,343.66070556640625,386.8999938964844,395.54998779296875,372.0,377.45001220703125,8549565,2020-07-27
2020-08-03,350.278076171875,394.3500061035156,405.6000061035156,383.3999938964844,386.0,7765417,2020-08-03
2020-08-10,355.42987060546875,400.1499938964844,412.0,392.0,396.0,9440962,2020-08-10
2020-08-17,421.5149841308594,474.54998779296875,478.75,408.3999938964844,412.0,37099147,2020-08-17
2020-08-24,423.38037109375,476.6499938964844,494.5,465.45001220703125,476.6000061035156,13870946,2020-08-24
2020-08-31,423.24713134765625,476.5,488.6000061035156,443.45001220703125,481.70001220703125,11581403,2020-08-31
2020-09-07,432.48492431640625,486.8999938964844,501.70001220703125,457.95001220703125,480.6499938964844,15206879,2020-09-07
2020-09-14,430.3530578613281,484.5,508.25,462.20001220703125,489.0,13760422,2020-09-14
2020-09-21,406.8146667480469,458.0,506.8999938964844,439.29998779296875,489.95001220703125,16127239,2020-09-21
2020-09-28,414.14263916015625,466.25,479.29998779296875,458.5,463.1499938964844,7673854,2020-09-28
2020-10-05,408.63555908203125,460.04998779296875,476.3999938964844,456.5,464.8999938964844,9209242,2020-10-05
2020-10-12,386.2074890136719,434.79998779296875,466.0,428.75,464.04998779296875,6239566,2020-10-12
2020-10-19,380.522705078125,428.3999938964844,440.3500061035156,418.8999938964844,436.0,7568715,2020-10-19
2020-10-26,374.8379211425781,422.0,436.0,412.0,428.0,6183990,2020-10-26
2020-11-02,386.7848205566406,435.45001220703125,448.5,407.79998779296875,422.0,14038065,2020-11-02
2020-11-09,378.92388916015625,426.6000061035156,457.29998779296875,413.3999938964844,439.0,12204609,2020-11-09
2020-11-16,380.9223937988281,428.8500061035156,430.0,410.3500061035156,424.79998779296875,6774594,2020-11-16
2020-11-23,390.781982421875,439.95001220703125,448.0,411.79998779296875,432.0,12983739,2020-11-23
2020-11-30,394.20159912109375,443.79998779296875,461.0,429.20001220703125,439.95001220703125,24018383,2020-11-30
2020-12-07,417.34039306640625,469.8500061035156,482.3999938964844,446.3999938964844,448.0,28975235,2020-12-07
2020-12-14,429.8200988769531,483.8999938964844,517.5,472.0,472.1000061035156,26225767,2020-12-14
2020-12-21,430.3086242675781,484.45001220703125,499.0,440.20001220703125,485.0,12283353,2020-12-21
2020-12-28,424.934814453125,478.3999938964844,494.20001220703125,475.04998779296875,486.0,8553196,2020-12-28
2021-01-04,468.90277099609375,527.9000244140625,539.5,474.29998779296875,481.6000061035156,25116214,2021-01-04
2021-01-11,460.2867736816406,518.2000122070312,550.6500244140625,506.79998779296875,531.6500244140625,18507956,2021-01-11
2021-01-18,451.0934753417969,507.8500061035156,527.5,484.75,516.0,14346601,2021-01-18
2021-01-25,424.3573913574219,477.75,517.7000122070312,474.54998779296875,512.4000244140625,8136625,2021-01-25
2021-02-01,491.464111328125,553.2999877929688,561.1500244140625,473.04998779296875,484.25,22584777,2021-02-01
2021-02-08,454.6464538574219,511.8500061035156,570.4000244140625,508.29998779296875,558.0,28680918,2021-02-08
2021-02-15,447.7625732421875,504.1000061035156,529.0,497.6499938964844,518.0,11461167,2021-02-15
2021-02-22,442.3647766113281,493.20001220703125,521.5,490.70001220703125,503.79998779296875,9214565,2021-02-22
2021-03-01,453.9350891113281,506.1000061035156,530.7000122070312,497.6499938964844,498.70001220703125,17754754,2021-03-01
2021-03-08,436.131103515625,486.25,513.4000244140625,485.20001220703125,508.95001220703125,7043359,2021-03-08
2021-03-15,429.1351013183594,478.45001220703125,491.0,450.5,489.3999938964844,9994936,2021-03-15
2021-03-22,407.2948913574219,454.1000061035156,487.0,450.0,480.04998779296875,7691699,2021-03-22
2021-03-29,429.04541015625,478.3500061035156,480.0,454.1000061035156,454.1000061035156,4432211,2021-03-29
2021-04-05,442.5889587402344,493.45001220703125,497.0,460.25,479.0,9258253,2021-04-05
2021-04-12,426.98248291015625,476.04998779296875,486.6499938964844,450.0,486.6499938964844,7427942,2021-04-12
2021-04-19,408.2815246582031,455.20001220703125,471.75,453.25,468.8999938964844,5281907,2021-04-19
2021-04-26,487.34564208984375,543.3499755859375,549.9500122070312,457.0,457.45001220703125,30195720,2021-04-26
2021-05-03,443.8894958496094,494.8999938964844,558.9500122070312,487.0,554.0,26378068,2021-05-03
2021-05-10,467.7477722167969,521.5,536.7999877929688,494.70001220703125,499.0,13181457,2021-05-10
2021-05-17,470.6180419921875,524.7000122070312,539.9500122070312,516.0,525.0,11123939,2021-05-17
2021-05-24,489.7225341796875,546.0,560.0,514.2000122070312,525.0,21199151,2021-05-24
2021-05-31,467.9720153808594,521.75,548.0499877929688,520.0499877929688,545.4000244140625,7979978,2021-05-31
2021-06-07,476.3134460449219,531.0499877929688,541.8499755859375,516.0,527.75,8422850,2021-06-07
2021-06-14,492.9066162109375,549.5499877929688,553.9500122070312,511.0,520.0,24438213,2021-06-14
2021-06-21,486.942138671875,542.9000244140625,571.0,528.5499877929688,544.0,19090438,2021-06-21
2021-06-28,473.93658447265625,528.4000244140625,548.75,523.5,548.0,8582553,2021-06-28
2021-07-05,468.1065673828125,521.9000244140625,538.0,519.5999755859375,530.9000244140625,6803136,2021-07-05
2021-07-12,478.7799987792969,533.7999877929688,538.7999877929688,517.0999755859375,526.0999755859375,7471009,2021-07-12
2021-07-19,477.3897399902344,532.25,545.9000244140625,524.8499755859375,530.5999755859375,4403426,2021-07-19
2021-07-26,519.8592529296875,579.5999755859375,583.7000122070312,527.75,530.0,25599628,2021-07-26
2021-08-02,486.269287109375,542.1500244140625,586.5499877929688,540.5,580.0,7598707,2021-08-02
2021-08-09,471.2009582519531,525.3499755859375,552.4500122070312,515.25,545.4000244140625,5729672,2021-08-09
