Date,Adj Close_ASPINWALL.NS,Close_ASPINWALL.NS,High_ASPINWALL.NS,Low_ASPINWALL.NS,Open_ASPINWALL.NS,Volume_ASPINWALL.NS,Date
2020-07-13,111.43482208251953,121.94999694824219,128.0,116.30000305175781,122.0,9074,2020-07-13
2020-07-20,112.0287857055664,122.5999984741211,132.0,117.0999984741211,124.0,16753,2020-07-20
2020-07-27,106.5918197631836,116.6500015258789,125.3499984741211,108.94999694824219,125.3499984741211,19975,2020-07-27
2020-08-03,118.83641052246094,130.0500030517578,133.0,104.0,117.0,26281,2020-08-03
2020-08-10,141.08682250976562,154.39999389648438,167.89999389648438,125.05000305175781,130.0500030517578,91913,2020-08-10
2020-08-17,147.57461547851562,161.5,175.0,150.25,156.89999389648438,54756,2020-08-17
2020-08-24,138.939453125,152.0500030517578,169.85000610351562,149.9499969482422,161.5500030517578,11010,2020-08-24
2020-08-31,132.17750549316406,144.64999389648438,157.0500030517578,136.75,152.14999389648438,12348,2020-08-31
2020-09-07,127.97415161132812,140.0500030517578,160.0,130.3000030517578,144.0,15082,2020-09-07
2020-09-14,126.603515625,138.5500030517578,149.85000610351562,134.0500030517578,143.75,5140,2020-09-14
2020-09-21,117.87693786621094,129.0,141.35000610351562,122.80000305175781,133.5,4630,2020-09-21
2020-09-28,118.19676971435547,129.35000610351562,135.14999389648438,123.94999694824219,127.30000305175781,10423,2020-09-28
2020-10-05,105.95218658447266,115.94999694824219,133.5500030517578,114.0,128.39999389648438,4926,2020-10-05
2020-10-12,114.26752471923828,125.05000305175781,132.89999389648438,93.75,114.94999694824219,31785,2020-10-12
2020-10-19,108.23661804199219,118.44999694824219,132.4499969482422,110.19999694824219,124.94999694824219,4873,2020-10-19
2020-10-26,108.73920440673828,119.0,124.94999694824219,112.6500015258789,118.94999694824219,3118,2020-10-26
2020-11-02,106.5918197631836,116.6500015258789,125.0,114.3499984741211,120.4000015258789,9224,2020-11-02
2020-11-09,108.19092559814453,118.4000015258789,127.0,116.25,117.9000015258789,3786,2020-11-09
2020-11-16,110.2469253540039,120.6500015258789,124.94999694824219,116.0,118.0,7264,2020-11-16
2020-11-23,113.07962799072266,123.75,132.5,111.19999694824219,123.25,18716,2020-11-23
2020-11-30,121.9432373046875,133.4499969482422,139.0,120.0999984741211,123.75,12332,2020-11-30
2020-12-07,124.04492950439453,135.75,144.0,128.75,133.39999389648438,9847,2020-12-07
2020-12-14,127.01468658447266,139.0,145.0,131.10000610351562,135.75,23768,2020-12-14
2020-12-21,149.0366668701172,163.10000610351562,163.10000610351562,126.55000305175781,136.39999389648438,44445,2020-12-21
2020-12-28,154.47361755371094,169.0500030517578,187.0,160.0,184.0,98156,2020-12-28
2021-01-04,156.2097930908203,170.9499969482422,178.0,162.75,168.5,21979,2021-01-04
2021-01-11,159.40798950195312,174.4499969482422,178.9499969482422,165.0,170.9499969482422,20255,2021-01-11
2021-01-18,150.36163330078125,164.5500030517578,184.89999389648438,163.8000030517578,175.60000610351562,36090,2021-01-18
2021-01-25,139.35064697265625,152.5,172.75,148.10000610351562,172.75,10850,2021-01-25
2021-02-01,139.1678924560547,152.3000030517578,165.0,147.39999389648438,148.6999969482422,20044,2021-02-01
2021-02-08,155.29600524902344,169.9499969482422,180.0,150.0,153.3000030517578,33280,2021-02-08
2021-02-15,154.3822479248047,168.9499969482422,173.89999389648438,161.75,168.6999969482422,15299,2021-02-15
2021-02-22,151.6409149169922,165.9499969482422,171.5500030517578,145.5,162.25,10794,2021-02-22
2021-03-01,185.90745544433594,203.4499969482422,209.60000610351562,160.3000030517578,166.0500030517578,82956,2021-03-01
2021-03-08,175.35337829589844,191.89999389648438,233.6999969482422,189.0500030517578,224.0,118921,2021-03-08
2021-03-15,168.13453674316406,184.0,196.39999389648438,178.0,192.4499969482422,14635,2021-03-15
2021-03-22,168.13453674316406,184.0,186.9499969482422,170.4499969482422,186.9499969482422,11741,2021-03-22
2021-03-29,175.26197814941406,191.8000030517578,199.89999389648438,170.5500030517578,184.0,9552,2021-03-29
2021-04-05,169.04832458496094,185.0,196.5,178.0,189.0,7818,2021-04-05
2021-04-12,155.75291442871094,170.4499969482422,185.0,168.9499969482422,185.0,4145,2021-04-12
2021-04-19,156.5296173095703,171.3000030517578,174.89999389648438,160.0,170.1999969482422,7619,2021-04-19
2021-04-26,157.44338989257812,172.3000030517578,184.9499969482422,170.0,175.4499969482422,7841,2021-04-26
2021-05-03,167.90611267089844,183.75,195.0,156.3000030517578,182.5,22002,2021-05-03
2021-05-10,169.73365783691406,185.75,212.0,175.0,186.0,13431,2021-05-10
2021-05-17,188.28329467773438,206.0500030517578,214.8000030517578,177.1999969482422,190.0,35528,2021-05-17
2021-05-24,190.9789276123047,209.0,222.0,205.0,210.75,32942,2021-05-24
2021-05-31,190.15652465820312,208.10000610351562,217.39999389648438,190.5500030517578,211.10000610351562,62381,2021-05-31
2021-06-07,189.65396118164062,207.5500030517578,214.0,198.0,206.3000030517578,25619,2021-06-07
2021-06-14,189.47120666503906,207.35000610351562,234.5,195.5500030517578,208.60000610351562,110239,2021-06-14
2021-06-21,180.47052001953125,197.5,214.75,193.1999969482422,214.0,44846,2021-06-21
2021-06-28,186.63848876953125,204.25,214.0,187.89999389648438,196.25,53681,2021-06-28
