Date,Adj Close_MANUGRAPH.NS,Close_MANUGRAPH.NS,High_MANUGRAPH.NS,Low_MANUGRAPH.NS,Open_MANUGRAPH.NS,Volume_MANUGRAPH.NS,Date
2020-07-13,8.949999809265137,8.949999809265137,9.050000190734863,8.100000381469727,8.550000190734863,16947,2020-07-13
2020-07-20,9.699999809265137,9.699999809265137,10.050000190734863,8.550000190734863,8.600000381469727,39515,2020-07-20
2020-07-27,9.149999618530273,9.149999618530273,9.699999809265137,8.699999809265137,9.600000381469727,14210,2020-07-27
2020-08-03,9.600000381469727,9.600000381469727,9.600000381469727,8.600000381469727,9.0,23880,2020-08-03
2020-08-10,10.699999809265137,10.699999809265137,10.75,9.350000381469727,9.899999618530273,35670,2020-08-10
2020-08-17,11.300000190734863,11.300000190734863,12.25,10.350000381469727,11.199999809265137,45114,2020-08-17
2020-08-24,10.850000381469727,10.850000381469727,11.850000381469727,10.699999809265137,11.75,14956,2020-08-24
2020-08-31,10.199999809265137,10.199999809265137,10.800000190734863,9.600000381469727,10.399999618530273,16890,2020-08-31
2020-09-07,10.25,10.25,10.699999809265137,9.149999618530273,10.199999809265137,18352,2020-09-07
2020-09-14,9.399999618530273,9.399999618530273,10.199999809265137,9.100000381469727,10.0,24020,2020-09-14
2020-09-21,9.350000381469727,9.350000381469727,9.850000381469727,8.899999618530273,9.850000381469727,12402,2020-09-21
2020-09-28,9.5,9.5,10.25,9.050000190734863,9.050000190734863,5935,2020-09-28
2020-10-05,8.5,8.5,9.850000381469727,8.399999618530273,9.100000381469727,22426,2020-10-05
2020-10-12,8.600000381469727,8.600000381469727,8.800000190734863,8.0,8.449999809265137,5950,2020-10-12
2020-10-19,8.5,8.5,8.850000381469727,7.800000190734863,8.25,21902,2020-10-19
2020-10-26,8.449999809265137,8.449999809265137,8.899999618530273,8.149999618530273,8.5,15984,2020-10-26
2020-11-02,8.199999809265137,8.199999809265137,8.800000190734863,8.0,8.449999809265137,11103,2020-11-02
2020-11-09,8.449999809265137,8.449999809265137,8.5,7.75,8.0,8908,2020-11-09
2020-11-16,8.949999809265137,8.949999809265137,9.050000190734863,8.050000190734863,8.100000381469727,13185,2020-11-16
2020-11-23,10.0,10.0,10.75,8.899999618530273,9.300000190734863,46930,2020-11-23
