Date,Adj Close_GOPAL.NS,Close_GOPAL.NS,High_GOPAL.NS,Low_GOPAL.NS,Open_GOPAL.NS,Volume_GOPAL.NS,Date
2024-03-11,378.1023864746094,379.1499938964844,392.8500061035156,341.79998779296875,351.0,10457305,2024-03-11
2024-03-18,364.9887390136719,366.0,384.0,360.04998779296875,379.6000061035156,1828301,2024-03-18
2024-03-25,356.8113708496094,357.79998779296875,372.5,355.3500061035156,366.0,1118809,2024-03-25
2024-04-01,347.1880798339844,348.1499938964844,365.6000061035156,341.04998779296875,357.0,1311395,2024-04-01
2024-04-08,327.2433166503906,328.1499938964844,352.0,322.70001220703125,348.45001220703125,933083,2024-04-08
2024-04-15,314.1296691894531,315.0,328.29998779296875,308.20001220703125,311.29998779296875,670022,2024-04-15
2024-04-22,316.223876953125,317.1000061035156,328.70001220703125,312.5,320.0,1349961,2024-04-22
2024-04-29,316.7723388671875,317.6499938964844,326.45001220703125,315.5,318.0,1268005,2024-04-29
2024-05-06,329.28765869140625,330.20001220703125,351.0,314.45001220703125,317.0,1655813,2024-05-06
2024-05-13,342.1021423339844,343.04998779296875,349.0,322.5,334.95001220703125,808772,2024-05-13
2024-05-20,328.2904357910156,329.20001220703125,344.6499938964844,326.79998779296875,344.29998779296875,303190,2024-05-20
2024-05-27,315.6255187988281,316.5,332.5,311.29998779296875,325.04998779296875,450938,2024-05-27
2024-06-03,335.37078857421875,336.29998779296875,341.75,301.04998779296875,321.8500061035156,925604,2024-06-03
2024-06-10,323.054931640625,323.95001220703125,336.1499938964844,318.5,336.0,921260,2024-06-10
2024-06-17,344.6451110839844,345.6000061035156,361.95001220703125,323.95001220703125,323.95001220703125,1221237,2024-06-17
2024-06-24,328.8388977050781,329.75,352.6000061035156,326.0,345.6000061035156,497724,2024-06-24
2024-07-01,325.6976013183594,326.6000061035156,335.0,321.0,330.0,792126,2024-07-01
2024-07-08,320.6615295410156,321.54998779296875,332.0,321.1000061035156,326.6000061035156,425883,2024-07-08
2024-07-15,326.84442138671875,327.75,348.6000061035156,319.0,322.1000061035156,1603600,2024-07-15
2024-07-22,334.8721618652344,335.79998779296875,339.0,318.20001220703125,327.70001220703125,434414,2024-07-22
2024-07-29,353.8196716308594,354.79998779296875,369.0,333.0,334.3999938964844,2078984,2024-07-29
2024-08-05,351.72552490234375,352.70001220703125,362.0,333.0,349.8500061035156,925924,2024-08-05
2024-08-12,333.97467041015625,334.8999938964844,353.0,331.20001220703125,349.0,532691,2024-08-12
2024-08-19,337.0162658691406,337.95001220703125,357.3999938964844,332.79998779296875,334.0,886735,2024-08-19
2024-08-26,336.86663818359375,337.79998779296875,346.5,329.1000061035156,338.5,1300593,2024-08-26
2024-09-02,329.1380615234375,330.04998779296875,339.6000061035156,326.25,339.0,1128592,2024-09-02
2024-09-09,339.5592041015625,340.5,359.04998779296875,323.5,330.0,4153558,2024-09-09
2024-09-16,380.5954895019531,381.6499938964844,389.0,335.70001220703125,338.04998779296875,5276958,2024-09-16
2024-09-23,419.61956787109375,420.5,440.75,368.0,386.0,6609154,2024-09-23
2024-09-30,397.4660339355469,398.29998779296875,426.45001220703125,387.3500061035156,419.0,2074358,2024-09-30
2024-10-07,423.0124206542969,423.8999938964844,434.8500061035156,380.20001220703125,408.0,2558509,2024-10-07
2024-10-14,471.51068115234375,472.5,487.0,420.04998779296875,429.0,6726580,2024-10-14
2024-10-21,448.558837890625,449.5,483.75,443.04998779296875,473.04998779296875,2325014,2024-10-21
2024-10-28,487.6499938964844,487.6499938964844,498.70001220703125,437.95001220703125,452.8500061035156,1768630,2024-10-28
2024-11-04,495.6000061035156,495.6000061035156,520.0,472.04998779296875,484.6499938964844,2342972,2024-11-04
2024-11-11,461.54998779296875,461.54998779296875,496.70001220703125,430.79998779296875,495.0,1904384,2024-11-11
2024-11-18,438.3999938964844,438.3999938964844,464.8500061035156,421.8500061035156,463.95001220703125,956560,2024-11-18
2024-11-25,442.20001220703125,442.20001220703125,456.0,432.54998779296875,449.95001220703125,777159,2024-11-25
2024-12-02,461.8999938964844,461.8999938964844,484.95001220703125,433.04998779296875,445.95001220703125,1494623,2024-12-02
2024-12-09,413.79998779296875,413.79998779296875,472.04998779296875,406.54998779296875,462.0,4238004,2024-12-09
2024-12-16,398.29998779296875,398.29998779296875,421.3999938964844,372.45001220703125,419.79998779296875,5203604,2024-12-16
2024-12-23,378.04998779296875,378.04998779296875,404.04998779296875,375.79998779296875,400.8999938964844,772764,2024-12-23
2024-12-30,371.75,371.75,384.8999938964844,360.5,377.1000061035156,1156109,2024-12-30
2025-01-06,350.70001220703125,350.70001220703125,374.70001220703125,342.0,371.75,925443,2025-01-06
2025-01-13,338.20001220703125,338.20001220703125,348.8999938964844,305.0,340.0,1977010,2025-01-13
2025-01-20,347.95001220703125,347.95001220703125,355.0,332.5,347.3999938964844,744704,2025-01-20
2025-01-27,343.1000061035156,343.1000061035156,351.25,312.6000061035156,346.0,626306,2025-01-27
2025-02-03,333.20001220703125,333.20001220703125,347.45001220703125,330.45001220703125,340.0,397157,2025-02-03
2025-02-10,291.29998779296875,291.29998779296875,339.3500061035156,288.8500061035156,334.0,967653,2025-02-10
2025-02-17,302.04998779296875,302.04998779296875,312.6499938964844,278.95001220703125,295.8999938964844,652275,2025-02-17
2025-02-24,278.25,278.25,306.5,273.8500061035156,299.0,398502,2025-02-24
2025-03-03,286.70001220703125,286.70001220703125,291.04998779296875,259.95001220703125,278.25,692697,2025-03-03
2025-03-10,261.54998779296875,261.54998779296875,289.04998779296875,260.0,289.0,560388,2025-03-10
2025-03-17,282.1499938964844,282.1499938964844,283.25,255.89999389648438,266.25,528109,2025-03-17
2025-03-24,264.6000061035156,264.6000061035156,289.45001220703125,259.29998779296875,283.8500061035156,641716,2025-03-24
2025-03-31,273.3500061035156,273.3500061035156,278.6499938964844,263.0,264.6000061035156,487865,2025-03-31
2025-04-07,278.20001220703125,278.20001220703125,284.95001220703125,256.6000061035156,260.0,320136,2025-04-07
2025-04-14,283.25,283.25,286.1499938964844,278.04998779296875,278.20001220703125,266493,2025-04-14
2025-04-21,290.45001220703125,290.45001220703125,302.0,281.6499938964844,285.45001220703125,476338,2025-04-21
2025-04-28,273.0,273.0,290.20001220703125,270.25,288.0,194780,2025-04-28
2025-05-05,271.3999938964844,271.3999938964844,280.0,262.79998779296875,270.20001220703125,394561,2025-05-05
2025-05-12,300.3999938964844,300.3999938964844,304.0,275.6499938964844,275.6499938964844,331654,2025-05-12
2025-05-19,290.6000061035156,290.6000061035156,309.6000061035156,288.6499938964844,300.3999938964844,991761,2025-05-19
2025-05-26,342.29998779296875,342.29998779296875,347.8999938964844,280.79998779296875,291.1499938964844,2103455,2025-05-26
2025-06-02,355.3500061035156,355.3500061035156,366.95001220703125,343.5,350.0,938357,2025-06-02
2025-06-09,367.1000061035156,367.1000061035156,392.1000061035156,359.0,359.0,1120847,2025-06-09
2025-06-16,354.79998779296875,354.79998779296875,375.6499938964844,348.0,368.0,805213,2025-06-16
2025-06-23,346.3500061035156,346.3500061035156,365.95001220703125,342.6000061035156,355.0,607772,2025-06-23
2025-06-30,351.8999938964844,351.8999938964844,362.5,345.1000061035156,348.75,583294,2025-06-30
2025-07-07,351.3999938964844,351.3999938964844,368.0,350.1499938964844,351.8999938964844,794842,2025-07-07
2025-07-14,356.79998779296875,356.79998779296875,363.5,345.6499938964844,351.5,169935,2025-07-14
