Date,Adj Close_UYFINCORP.NS,Close_UYFINCORP.NS,High_UYFINCORP.NS,Low_UYFINCORP.NS,Open_UYFINCORP.NS,Volume_UYFINCORP.NS,Date
2024-09-30,32.61000061035156,32.61000061035156,39.400001525878906,32.099998474121094,33.79999923706055,3577695,2024-09-30
2024-10-07,31.110000610351562,31.110000610351562,34.91999816894531,28.5,31.709999084472656,4432420,2024-10-07
2024-10-14,30.219999313354492,30.219999313354492,32.25,29.229999542236328,31.600000381469727,2690560,2024-10-14
2024-10-21,27.280000686645508,27.280000686645508,31.0,26.829999923706055,30.649999618530273,978364,2024-10-21
2024-10-28,30.719999313354492,30.719999313354492,31.5,26.5,27.790000915527344,743748,2024-10-28
2024-11-04,29.3700008392334,29.3700008392334,31.469999313354492,28.950000762939453,31.469999313354492,540654,2024-11-04
2024-11-11,27.75,27.75,30.110000610351562,27.110000610351562,29.549999237060547,624985,2024-11-11
2024-11-18,26.420000076293945,26.420000076293945,27.700000762939453,25.700000762939453,27.700000762939453,583022,2024-11-18
2024-11-25,26.850000381469727,26.850000381469727,27.600000381469727,26.25,27.18000030517578,564426,2024-11-25
2024-12-02,26.3799991607666,26.3799991607666,28.31999969482422,26.110000610351562,26.959999084472656,801368,2024-12-02
2024-12-09,25.739999771118164,25.739999771118164,27.0,25.200000762939453,26.860000610351562,590013,2024-12-09
2024-12-16,26.139999389648438,26.139999389648438,26.989999771118164,24.959999084472656,25.229999542236328,366222,2024-12-16
2024-12-23,24.579999923706055,24.579999923706055,26.979999542236328,24.0,26.979999542236328,255667,2024-12-23
2024-12-30,25.360000610351562,25.360000610351562,25.899999618530273,24.0,24.979999542236328,347029,2024-12-30
2025-01-06,22.459999084472656,22.459999084472656,25.889999389648438,22.110000610351562,25.889999389648438,477428,2025-01-06
2025-01-13,22.90999984741211,22.90999984741211,23.950000762939453,22.0,23.8799991607666,240313,2025-01-13
2025-01-20,24.1200008392334,24.1200008392334,26.84000015258789,23.280000686645508,23.350000381469727,760306,2025-01-20
2025-01-27,22.850000381469727,22.850000381469727,24.450000762939453,19.559999465942383,24.450000762939453,774028,2025-01-27
2025-02-03,22.68000030517578,22.68000030517578,24.510000228881836,21.5,23.200000762939453,564342,2025-02-03
2025-02-10,23.920000076293945,23.920000076293945,24.43000030517578,22.510000228881836,23.040000915527344,893902,2025-02-10
2025-02-17,20.739999771118164,20.739999771118164,23.649999618530273,20.270000457763672,23.049999237060547,362054,2025-02-17
2025-02-24,18.639999389648438,18.639999389648438,21.270000457763672,18.110000610351562,21.09000015258789,317346,2025-02-24
2025-03-03,19.149999618530273,19.149999618530273,20.010000228881836,17.889999389648438,19.200000762939453,625718,2025-03-03
2025-03-10,18.920000076293945,18.920000076293945,19.6299991607666,18.25,19.40999984741211,153404,2025-03-10
2025-03-17,19.1299991607666,19.1299991607666,20.200000762939453,17.959999084472656,19.25,479949,2025-03-17
2025-03-24,16.610000610351562,16.610000610351562,19.850000381469727,16.25,19.420000076293945,1005340,2025-03-24
2025-03-31,18.1200008392334,18.1200008392334,18.75,16.610000610351562,16.829999923706055,346114,2025-03-31
2025-04-07,18.100000381469727,18.100000381469727,18.25,15.569999694824219,15.569999694824219,133185,2025-04-07
2025-04-14,18.6200008392334,18.6200008392334,19.049999237060547,17.950000762939453,18.459999084472656,112367,2025-04-14
2025-04-21,18.110000610351562,18.110000610351562,19.899999618530273,18.0,19.0,415635,2025-04-21
2025-04-28,17.459999084472656,17.459999084472656,19.329999923706055,16.829999923706055,17.600000381469727,327439,2025-04-28
2025-05-05,16.65999984741211,16.65999984741211,18.5,16.399999618530273,17.799999237060547,273347,2025-05-05
2025-05-12,18.510000228881836,18.510000228881836,18.799999237060547,17.100000381469727,17.100000381469727,348171,2025-05-12
2025-05-19,17.969999313354492,17.969999313354492,18.950000762939453,17.540000915527344,18.850000381469727,242632,2025-05-19
2025-05-26,17.860000610351562,17.860000610351562,18.34000015258789,17.510000228881836,18.299999237060547,122286,2025-05-26
2025-06-02,17.989999771118164,17.989999771118164,18.350000381469727,17.399999618530273,18.170000076293945,234667,2025-06-02
2025-06-09,18.360000610351562,18.360000610351562,19.0,17.729999542236328,17.729999542236328,1205119,2025-06-09
2025-06-16,17.360000610351562,17.360000610351562,18.59000015258789,17.079999923706055,18.59000015258789,260834,2025-06-16
2025-06-23,17.760000228881836,17.760000228881836,17.8799991607666,15.680000305175781,17.3700008392334,375393,2025-06-23
2025-06-30,20.389999389648438,20.389999389648438,23.299999237060547,17.239999771118164,17.850000381469727,4290314,2025-06-30
2025-07-07,18.770000457763672,18.770000457763672,20.360000610351562,17.6200008392334,20.25,964841,2025-07-07
2025-07-14,18.479999542236328,18.479999542236328,19.739999771118164,18.18000030517578,18.6200008392334,180561,2025-07-14
