Date,Adj Close_SUMICHEM.NS,Close_SUMICHEM.NS,High_SUMICHEM.NS,Low_SUMICHEM.NS,Open_SUMICHEM.NS,Volume_SUMICHEM.NS,Date
2020-07-13,258.1378173828125,264.3999938964844,275.0,260.1499938964844,272.6499938964844,815739,2020-07-13
2020-07-20,268.9748840332031,275.5,284.75,264.04998779296875,265.95001220703125,1950443,2020-07-20
2020-07-27,260.8226318359375,267.1499938964844,277.95001220703125,264.29998779296875,276.29998779296875,1840039,2020-07-27
2020-08-03,280.15374755859375,286.95001220703125,293.5,266.1000061035156,266.70001220703125,5417971,2020-08-03
2020-08-10,263.60516357421875,270.0,292.3999938964844,268.29998779296875,289.3999938964844,2691720,2020-08-10
2020-08-17,280.690673828125,287.5,292.0,270.0,273.6000061035156,2860239,2020-08-17
2020-08-24,277.3712158203125,284.1000061035156,294.0,280.3999938964844,290.29998779296875,2019432,2020-08-24
2020-08-31,264.8255310058594,271.25,287.75,262.04998779296875,286.8999938964844,1265404,2020-08-31
2020-09-07,268.44598388671875,274.3999938964844,276.79998779296875,258.0,273.0,706223,2020-09-07
2020-09-14,293.4905090332031,300.0,309.0,275.5,276.29998779296875,5462957,2020-09-14
2020-09-21,288.1587219238281,294.54998779296875,311.54998779296875,285.0,303.0,5178594,2020-09-21
2020-09-28,285.0281982421875,291.3500061035156,305.1000061035156,281.20001220703125,296.8999938964844,15378339,2020-09-28
2020-10-05,277.1039733886719,283.25,294.79998779296875,282.54998779296875,290.95001220703125,4226453,2020-10-05
2020-10-12,271.7232971191406,277.75,286.0,275.0,284.79998779296875,1729940,2020-10-12
2020-10-19,273.7287902832031,279.79998779296875,284.0,275.0,278.6000061035156,923009,2020-10-19
2020-10-26,261.4022216796875,267.20001220703125,281.3999938964844,265.0,280.8999938964844,951289,2020-10-26
2020-11-02,274.0223083496094,280.1000061035156,289.5,265.54998779296875,269.75,2246082,2020-11-02
2020-11-09,270.0112609863281,276.0,284.5,269.45001220703125,281.0,1110811,2020-11-09
2020-11-16,275.5386657714844,281.6499938964844,289.6000061035156,271.20001220703125,271.20001220703125,1046096,2020-11-16
2020-11-23,276.712646484375,282.8500061035156,287.8999938964844,274.29998779296875,285.0,1817831,2020-11-23
2020-11-30,299.89837646484375,306.54998779296875,309.75,282.8500061035156,282.8500061035156,4686854,2020-11-30
