Date,Adj Close_ALICON.NS,Close_ALICON.NS,High_ALICON.NS,Low_ALICON.NS,Open_ALICON.NS,Volume_ALICON.NS,Date
2020-07-13,262.6544494628906,267.8500061035156,287.8500061035156,265.1000061035156,275.95001220703125,4631,2020-07-13
2020-07-20,260.49713134765625,265.6499938964844,282.95001220703125,247.0,263.04998779296875,15223,2020-07-20
2020-07-27,243.3365936279297,248.14999389648438,272.8999938964844,241.5500030517578,268.8999938964844,22294,2020-07-27
2020-08-03,284.96319580078125,290.6000061035156,303.0,250.0,254.5,55398,2020-08-03
2020-08-10,328.74713134765625,335.25,349.8999938964844,285.1000061035156,290.04998779296875,72408,2020-08-10
2020-08-17,348.1630859375,355.04998779296875,379.8500061035156,333.3500061035156,340.0,70777,2020-08-17
2020-08-24,343.4561767578125,350.25,373.0,333.0,355.1499938964844,41749,2020-08-24
2020-08-31,348.35919189453125,355.25,382.0,306.0,365.8500061035156,50008,2020-08-31
2020-09-07,328.207763671875,334.70001220703125,366.0,325.5,349.1000061035156,21133,2020-09-07
2020-09-14,336.00360107421875,342.6499938964844,348.75,323.3500061035156,335.1000061035156,15512,2020-09-14
2020-09-21,327.5213317871094,334.0,350.0,312.95001220703125,335.04998779296875,34579,2020-09-21
2020-09-28,319.4804382324219,325.79998779296875,345.0,325.0,334.04998779296875,7010,2020-09-28
2020-10-05,317.61724853515625,323.8999938964844,333.8999938964844,320.8999938964844,328.0,9671,2020-10-05
2020-10-12,294.5240783691406,300.3500061035156,320.0,293.8999938964844,319.04998779296875,11383,2020-10-12
2020-10-19,312.61614990234375,318.79998779296875,322.0,292.6499938964844,295.04998779296875,6043,2020-10-19
2020-10-26,300.358642578125,306.29998779296875,334.0,305.0,326.95001220703125,15641,2020-10-26
2020-11-02,298.98583984375,304.8999938964844,319.5,294.25,310.04998779296875,21225,2020-11-02
2020-11-09,300.75091552734375,306.70001220703125,315.04998779296875,299.0,304.8999938964844,27670,2020-11-09
2020-11-16,326.3446044921875,332.79998779296875,360.0,301.04998779296875,307.8500061035156,58875,2020-11-16
2020-11-23,315.1167297363281,321.3500061035156,342.0,318.04998779296875,342.0,30638,2020-11-23
2020-11-30,352.57574462890625,359.54998779296875,375.1000061035156,321.3500061035156,321.3500061035156,48783,2020-11-30
2020-12-07,340.9556579589844,347.70001220703125,370.0,340.0,368.04998779296875,24176,2020-12-07
2020-12-14,325.2659912109375,331.70001220703125,354.8500061035156,326.0,351.45001220703125,31495,2020-12-14
2020-12-21,328.2568054199219,334.75,345.95001220703125,304.1000061035156,340.95001220703125,32029,2020-12-21
2020-12-28,369.78533935546875,377.1000061035156,394.8999938964844,316.54998779296875,336.95001220703125,104196,2020-12-28
2021-01-04,362.97015380859375,370.1499938964844,385.04998779296875,352.6000061035156,381.8500061035156,47053,2021-01-04
2021-01-11,394.2023620605469,402.0,424.8500061035156,355.1000061035156,376.0,92733,2021-01-11
2021-01-18,410.2352294921875,418.3500061035156,450.0,402.04998779296875,402.04998779296875,99379,2021-01-18
2021-01-25,402.733642578125,410.70001220703125,433.5,405.0,425.0,27999,2021-01-25
2021-02-01,415.48150634765625,423.70001220703125,439.75,400.0,424.20001220703125,45956,2021-02-01
2021-02-08,402.733642578125,410.70001220703125,434.6499938964844,409.95001220703125,426.20001220703125,35833,2021-02-08
2021-02-15,394.2023620605469,402.0,438.0,398.0,423.8999938964844,18965,2021-02-15
2021-02-22,410.3822937011719,418.5,438.0,386.6499938964844,393.8999938964844,34005,2021-02-22
2021-03-01,446.8607482910156,455.70001220703125,490.6499938964844,384.29998779296875,418.54998779296875,88258,2021-03-01
2021-03-08,445.2917785644531,454.1000061035156,469.95001220703125,440.0,469.95001220703125,17058,2021-03-08
2021-03-15,491.87042236328125,501.6000061035156,501.6000061035156,401.6499938964844,455.1499938964844,183473,2021-03-15
2021-03-22,419.207763671875,427.5,523.5999755859375,420.0,500.0,187826,2021-03-22
