Date,Adj Close_HARSHA.NS,Close_HARSHA.NS,High_HARSHA.NS,Low_HARSHA.NS,Open_HARSHA.NS,Volume_HARSHA.NS,Date
2022-09-26,459.7791442871094,461.75,527.6500244140625,430.0,450.0,63759089,2022-09-26
2022-10-03,455.0992126464844,457.04998779296875,466.29998779296875,432.1000061035156,460.0,5075353,2022-10-03
2022-10-10,433.0935363769531,434.95001220703125,468.8999938964844,432.8999938964844,449.0,2599409,2022-10-10
2022-10-17,421.045166015625,422.8500061035156,449.0,418.20001220703125,434.3999938964844,1997352,2022-10-17
2022-10-24,412.1333923339844,413.8999938964844,438.0,413.0,426.25,944210,2022-10-24
2022-10-31,423.4349365234375,425.25,448.79998779296875,397.0,415.04998779296875,3164959,2022-10-31
2022-11-07,405.11346435546875,406.8500061035156,424.95001220703125,405.20001220703125,424.54998779296875,1126087,2022-11-07
2022-11-14,410.19171142578125,411.95001220703125,421.29998779296875,401.0,406.95001220703125,1410144,2022-11-14
2022-11-21,407.9015197753906,409.6499938964844,418.0,405.0,410.0,735198,2022-11-21
2022-11-28,398.2429504394531,399.95001220703125,412.5,399.0,407.79998779296875,896508,2022-11-28
2022-12-05,392.7663879394531,394.45001220703125,411.0,392.04998779296875,404.6000061035156,835850,2022-12-05
2022-12-12,390.0281677246094,391.70001220703125,399.20001220703125,387.79998779296875,395.54998779296875,619405,2022-12-12
2022-12-19,363.6910400390625,365.25,401.95001220703125,362.0,392.6499938964844,1362099,2022-12-19
2022-12-26,380.767822265625,382.3999938964844,389.6000061035156,360.70001220703125,365.0,450759,2022-12-26
2023-01-02,389.1817932128906,390.8500061035156,405.0,382.3999938964844,382.3999938964844,473307,2023-01-02
2023-01-09,403.47052001953125,405.20001220703125,416.70001220703125,392.3999938964844,392.79998779296875,991828,2023-01-09
2023-01-16,397.2969665527344,399.0,407.20001220703125,394.5,405.5,295262,2023-01-16
2023-01-23,375.8389587402344,377.45001220703125,403.0,365.79998779296875,401.0,299883,2023-01-23
2023-01-30,362.09783935546875,363.6499938964844,385.8999938964844,360.70001220703125,372.0,499067,2023-01-30
2023-02-06,370.8603210449219,372.45001220703125,375.5,357.1499938964844,360.75,459525,2023-02-06
2023-02-13,358.76214599609375,360.29998779296875,387.1000061035156,355.5,372.5,518492,2023-02-13
2023-02-20,336.65692138671875,338.1000061035156,364.5,335.20001220703125,360.8500061035156,852806,2023-02-20
2023-02-27,351.39373779296875,352.8999938964844,355.79998779296875,319.6000061035156,335.04998779296875,999258,2023-02-27
2023-03-06,342.03387451171875,343.5,358.20001220703125,340.1499938964844,352.8999938964844,332111,2023-03-06
2023-03-13,329.786376953125,331.20001220703125,344.45001220703125,328.0,339.6000061035156,391057,2023-03-13
2023-03-20,321.4222106933594,322.79998779296875,335.3500061035156,321.0,330.0,442216,2023-03-20
2023-03-27,333.6199035644531,335.04998779296875,337.79998779296875,309.0,322.79998779296875,1022313,2023-03-27
2023-04-03,408.2500305175781,410.0,424.54998779296875,335.95001220703125,335.95001220703125,2746261,2023-04-03
2023-04-10,412.83038330078125,414.6000061035156,435.0,400.5,405.54998779296875,1583007,2023-04-10
2023-04-17,418.50604248046875,420.29998779296875,425.95001220703125,400.29998779296875,410.3500061035156,443567,2023-04-17
2023-04-24,427.66680908203125,429.5,435.0,418.1499938964844,420.0,557894,2023-04-24
2023-05-01,418.0579833984375,419.8500061035156,446.54998779296875,408.70001220703125,429.5,669636,2023-05-01
2023-05-08,455.9455871582031,457.8999938964844,467.5,412.29998779296875,419.75,1867629,2023-05-08
2023-05-15,451.81329345703125,453.75,478.3999938964844,430.75,461.95001220703125,1506940,2023-05-15
2023-05-22,434.5871276855469,436.45001220703125,466.45001220703125,434.5,452.6499938964844,695722,2023-05-22
2023-05-29,431.15185546875,433.0,441.6000061035156,422.25,438.70001220703125,629029,2023-05-29
2023-06-05,432.8446044921875,434.70001220703125,453.25,432.1499938964844,436.70001220703125,661287,2023-06-05
2023-06-12,445.78912353515625,447.70001220703125,464.8999938964844,435.0,435.1499938964844,684616,2023-06-12
2023-06-19,468.4420166015625,470.45001220703125,473.79998779296875,414.75,445.6000061035156,1898908,2023-06-19
2023-06-26,458.683837890625,460.6499938964844,494.0,455.04998779296875,473.3999938964844,2052310,2023-06-26
2023-07-03,455.8459777832031,457.79998779296875,484.54998779296875,455.25,463.79998779296875,941210,2023-07-03
2023-07-10,438.6198425292969,440.5,459.3500061035156,434.0,457.8500061035156,792519,2023-07-10
2023-07-17,439.5160217285156,441.3999938964844,452.1000061035156,438.79998779296875,443.70001220703125,425706,2023-07-17
2023-07-24,439.81475830078125,441.70001220703125,464.45001220703125,440.25,443.6499938964844,362158,2023-07-24
2023-07-31,406.2585754394531,408.0,452.8999938964844,406.1000061035156,441.95001220703125,878163,2023-07-31
2023-08-07,417.21160888671875,419.0,422.6000061035156,395.29998779296875,408.95001220703125,619760,2023-08-07
2023-08-14,417.3111877441406,419.1000061035156,425.20001220703125,406.04998779296875,418.8999938964844,285365,2023-08-14
2023-08-21,433.9399108886719,435.79998779296875,454.8500061035156,410.04998779296875,415.0,940281,2023-08-21
2023-08-28,444.9427490234375,446.8500061035156,472.8999938964844,423.6000061035156,434.79998779296875,917516,2023-08-28
2023-09-04,446.3367614746094,448.25,470.29998779296875,445.29998779296875,453.8999938964844,826047,2023-09-04
2023-09-11,430.1063537597656,431.95001220703125,459.45001220703125,423.04998779296875,448.54998779296875,881328,2023-09-11
2023-09-18,428.0650939941406,429.8999938964844,438.54998779296875,427.0,431.95001220703125,214644,2023-09-18
2023-09-25,418.5868835449219,419.3999938964844,431.8500061035156,411.0,428.8500061035156,321499,2023-09-25
2023-10-02,416.6905822753906,417.5,424.95001220703125,413.5,419.3999938964844,422671,2023-10-02
2023-10-09,412.3489990234375,413.1499938964844,418.6000061035156,404.20001220703125,413.95001220703125,279187,2023-10-09
2023-10-16,403.5161437988281,404.29998779296875,415.70001220703125,400.1000061035156,413.1499938964844,303141,2023-10-16
2023-10-23,388.34564208984375,389.1000061035156,407.45001220703125,370.0,404.45001220703125,304136,2023-10-23
2023-10-30,412.89794921875,413.70001220703125,438.0,379.0,386.0,1523214,2023-10-30
2023-11-06,387.2976379394531,388.04998779296875,416.8500061035156,384.1000061035156,412.0,554679,2023-11-06
