Date,Adj Close_PPLPHARMA.NS,Close_PPLPHARMA.NS,High_PPLPHARMA.NS,Low_PPLPHARMA.NS,Open_PPLPHARMA.NS,Volume_PPLPHARMA.NS,Date
2022-10-17,167.35865783691406,167.4801788330078,195.31216430664062,167.4801788330078,195.31216430664062,7528054,2022-10-17
2022-10-24,154.62379455566406,154.73606872558594,175.34149169921875,151.12278747558594,165.52706909179688,31173198,2022-10-24
2022-10-31,165.50454711914062,165.62472534179688,174.7555694580078,147.460693359375,147.460693359375,99851534,2022-10-31
2022-11-07,137.3024139404297,137.40211486816406,167.9684600830078,132.81227111816406,167.2848663330078,33312501,2022-11-07
2022-11-14,132.7646942138672,132.86109924316406,140.331787109375,122.26541900634766,138.67164611816406,21690270,2022-11-14
2022-11-21,130.3738555908203,130.46852111816406,137.10914611816406,125.24392700195312,133.74000549316406,13443116,2022-11-21
2022-11-28,137.39999389648438,137.49977111816406,142.382568359375,128.56423950195312,131.44508361816406,22283711,2022-11-28
2022-12-05,128.56854248046875,128.66189575195312,140.478271484375,128.02713012695312,138.28102111816406,11741250,2022-12-05
2022-12-12,124.66512298583984,124.75564575195312,132.22633361816406,124.12088012695312,128.85720825195312,9617738,2022-12-12
2022-12-19,111.73507690429688,111.81621551513672,125.73220825195312,110.40019989013672,124.99978637695312,12506641,2022-12-19
2022-12-26,111.88145446777344,111.96269989013672,115.96659851074219,110.54668426513672,112.30449676513672,10654683,2022-12-26
2023-01-02,112.9061050415039,112.98809051513672,123.63259887695312,111.91387176513672,112.74394989013672,15101865,2023-01-02
2023-01-09,114.56505584716797,114.64824676513672,118.06620788574219,112.54863739013672,113.47637176513672,14890024,2023-01-09
2023-01-16,110.17371368408203,110.25371551513672,116.60136413574219,109.57012939453125,114.55059051513672,7249854,2023-01-16
2023-01-23,100.36640167236328,100.43928527832031,111.18144989013672,99.51155090332031,110.79082489013672,7770701,2023-01-23
2023-01-30,98.17073059082031,98.24201965332031,104.98029327392578,95.01937103271484,100.29280090332031,15007602,2023-01-30
2023-02-06,86.26533508300781,86.3279800415039,100.04866027832031,80.66392517089844,98.73030090332031,37636493,2023-02-06
2023-02-13,89.14409637451172,89.20883178710938,92.67562103271484,82.56822204589844,88.03695678710938,20569353,2023-02-13
2023-02-20,80.3614273071289,80.41978454589844,89.55062866210938,79.78501892089844,88.91586303710938,9939374,2023-02-20
