Date,Adj Close_KAJARIACER.NS,Close_KAJARIACER.NS,High_KAJARIACER.NS,Low_KAJARIACER.NS,Open_KAJARIACER.NS,Volume_KAJARIACER.NS,Date
2020-07-13,374.6224060058594,390.70001220703125,394.79998779296875,388.04998779296875,391.0,374983,2020-07-13
2020-07-20,387.3751220703125,404.0,415.0,389.0,392.1000061035156,1306858,2020-07-20
2020-07-27,388.717529296875,405.3999938964844,436.0,400.1000061035156,404.0,2856594,2020-07-27
2020-08-03,390.4913635253906,407.25,419.0,400.04998779296875,404.0,1043004,2020-08-03
2020-08-10,386.17657470703125,402.75,414.95001220703125,397.1000061035156,402.0,1234258,2020-08-10
2020-08-17,438.57763671875,457.3999938964844,467.6499938964844,404.0,408.0,1978064,2020-08-17
2020-08-24,432.2492370605469,450.79998779296875,489.6000061035156,450.0,456.1499938964844,2965678,2020-08-24
2020-08-31,428.1741943359375,446.54998779296875,459.70001220703125,430.25,453.0,1174905,2020-08-31
2020-09-07,453.5836486816406,473.04998779296875,475.5,425.1000061035156,440.25,1211028,2020-09-07
2020-09-14,493.951171875,515.1500244140625,545.0,481.0,481.70001220703125,3107021,2020-09-14
2020-09-21,479.4246826171875,500.0,524.7999877929688,485.20001220703125,515.1500244140625,1711806,2020-09-21
2020-09-28,526.7918090820312,549.4000244140625,569.6500244140625,502.5,502.5,2355069,2020-09-28
2020-10-05,505.50531005859375,527.2000122070312,555.0,523.0,549.5,743866,2020-10-05
2020-10-12,511.2105407714844,533.1500244140625,545.0499877929688,523.0999755859375,533.8499755859375,3157819,2020-10-12
2020-10-19,552.057373046875,575.75,587.9000244140625,535.0499877929688,535.0499877929688,5259145,2020-10-19
2020-10-26,545.9688720703125,569.4000244140625,587.3499755859375,560.5999755859375,573.0,1984811,2020-10-26
2020-11-02,546.1126098632812,569.5499877929688,584.9000244140625,553.5499877929688,567.0,2578678,2020-11-02
2020-11-09,582.0215454101562,607.0,612.0,571.0499877929688,574.0,2115936,2020-11-09
2020-11-16,594.6782836914062,620.2000122070312,624.0,592.0999755859375,605.0,1241784,2020-11-16
2020-11-23,621.2384643554688,647.9000244140625,649.75,600.0,620.2000122070312,1555973,2020-11-23
2020-11-30,643.4837646484375,671.0999755859375,685.0,647.9000244140625,647.9000244140625,1782054,2020-11-30
2020-12-07,639.1688842773438,666.5999755859375,689.0,650.0999755859375,685.0,1531568,2020-12-07
2020-12-14,671.0986328125,699.9000244140625,705.0,660.0,669.9000244140625,1601371,2020-12-14
2020-12-21,660.8389892578125,689.2000122070312,714.5499877929688,670.0999755859375,700.0,2276165,2020-12-21
2020-12-28,680.1597290039062,709.3499755859375,712.0,680.0,697.5,1710645,2020-12-28
2021-01-04,696.8916625976562,726.7999877929688,735.5,691.7000122070312,711.7999877929688,1862959,2021-01-04
2021-01-11,720.431396484375,751.3499755859375,759.5,730.4500122070312,730.4500122070312,1621293,2021-01-11
2021-01-18,802.0294799804688,836.4500122070312,854.9000244140625,738.0999755859375,755.0,5753147,2021-01-18
2021-01-25,790.7630004882812,824.7000122070312,857.8499755859375,808.2000122070312,849.9500122070312,2341145,2021-01-25
2021-02-01,862.4369506835938,899.4500122070312,909.7000122070312,805.5499877929688,833.2000122070312,2826794,2021-02-01
2021-02-08,934.5223388671875,962.9000244140625,974.5499877929688,847.5,910.0,3405861,2021-02-08
2021-02-15,940.442626953125,969.0,997.0,950.0999755859375,963.7999877929688,1249161,2021-02-15
2021-02-22,919.139404296875,947.0499877929688,992.9000244140625,930.0999755859375,967.0,948225,2021-02-22
2021-03-01,962.9104614257812,992.1500244140625,999.0,931.0999755859375,947.0499877929688,1337921,2021-03-01
2021-03-08,970.2379150390625,999.7000122070312,1020.0,965.2000122070312,999.9000244140625,1803575,2021-03-08
2021-03-15,904.9212646484375,932.4000244140625,1010.0,911.0,1010.0,952501,2021-03-15
2021-03-22,872.2144165039062,898.7000122070312,945.0,860.0999755859375,930.0999755859375,1839828,2021-03-22
2021-03-29,914.1898193359375,941.9500122070312,956.0,897.0,898.7000122070312,675186,2021-03-29
2021-04-05,930.97998046875,959.25,990.0,927.0999755859375,943.9500122070312,1859815,2021-04-05
2021-04-12,877.0670776367188,903.7000122070312,950.0,882.0,950.0,755563,2021-04-12
2021-04-19,849.649658203125,875.4500122070312,896.0,851.0499877929688,870.0999755859375,1091468,2021-04-19
2021-04-26,886.0444946289062,912.9500122070312,946.7999877929688,861.0999755859375,875.4500122070312,855810,2021-04-26
2021-05-03,877.2127075195312,903.8499755859375,933.6500244140625,889.0,912.0,523156,2021-05-03
2021-05-10,853.4832763671875,879.4000244140625,912.2000122070312,859.9000244140625,912.2000122070312,877182,2021-05-10
2021-05-17,903.1258544921875,930.5499877929688,934.0,876.5,885.6500244140625,1134191,2021-05-17
2021-05-24,926.9522705078125,955.0999755859375,967.9500122070312,934.5,934.5,1114625,2021-05-24
2021-05-31,960.3869018554688,989.5499877929688,1010.0,957.7999877929688,959.8499755859375,1145186,2021-05-31
2021-06-07,991.735107421875,1021.8499755859375,1031.800048828125,980.25,992.0,1050315,2021-06-07
2021-06-14,934.13427734375,962.5,1054.9000244140625,950.0999755859375,1021.9500122070312,2480351,2021-06-14
2021-06-21,964.6088256835938,993.9000244140625,994.4000244140625,933.0,965.0,881928,2021-06-21
2021-06-28,958.78564453125,987.9000244140625,999.7999877929688,970.0,995.0,588130,2021-06-28
2021-07-05,967.03515625,996.4000244140625,1004.0,967.2999877929688,981.0,697562,2021-07-05
2021-07-12,973.974365234375,1003.5499877929688,1009.9000244140625,980.0,996.4000244140625,1295438,2021-07-12
2021-07-19,961.9398193359375,991.1500244140625,1009.9000244140625,966.0499877929688,1007.7999877929688,592221,2021-07-19
2021-07-26,964.948486328125,994.25,1009.75,960.0,997.7999877929688,504608,2021-07-26
2021-08-02,998.092041015625,1028.4000244140625,1053.9000244140625,960.0,1005.0,1543883,2021-08-02
2021-08-09,983.29150390625,1013.1500244140625,1048.949951171875,994.8499755859375,1033.0,639210,2021-08-09
2021-08-16,1043.512939453125,1075.199951171875,1143.949951171875,1015.5999755859375,1021.2000122070312,3154115,2021-08-16
2021-08-23,1150.1256103515625,1185.050048828125,1219.9000244140625,1048.0,1093.1500244140625,3848607,2021-08-23
2021-08-30,1162.9364013671875,1198.25,1228.9000244140625,1145.550048828125,1189.0,1721963,2021-08-30
2021-09-06,1153.231201171875,1188.25,1210.0,1171.1500244140625,1198.0,652054,2021-09-06
2021-09-13,1120.961181640625,1155.0,1188.0,1142.0999755859375,1188.0,1078516,2021-09-13
2021-09-20,1205.542724609375,1242.1500244140625,1265.800048828125,1116.0999755859375,1155.0,2026288,2021-09-20
2021-09-27,1164.004150390625,1199.3499755859375,1270.0,1169.0,1262.699951171875,2689787,2021-09-27
2021-10-04,1206.076416015625,1242.699951171875,1274.9000244140625,1179.4000244140625,1217.050048828125,1794734,2021-10-04
2021-10-11,1265.278564453125,1303.699951171875,1317.9000244140625,1239.0,1246.0,1447842,2021-10-11
2021-10-18,1190.1597900390625,1226.300048828125,1355.0,1175.1500244140625,1318.0,2887567,2021-10-18
2021-10-25,1185.2586669921875,1221.25,1287.0999755859375,1185.1500244140625,1276.5,2046904,2021-10-25
2021-11-01,1189.5289306640625,1225.6500244140625,1245.0,1190.0,1234.0,576632,2021-11-01
2021-11-08,1166.84130859375,1194.4000244140625,1239.9000244140625,1176.8499755859375,1220.0,1019981,2021-11-08
2021-11-15,1143.39501953125,1170.4000244140625,1207.0,1135.0,1206.0,958326,2021-11-15
2021-11-22,1089.6641845703125,1115.4000244140625,1176.199951171875,1061.3499755859375,1170.4000244140625,1600179,2021-11-22
2021-11-29,1099.7261962890625,1125.699951171875,1151.199951171875,1045.8499755859375,1100.0,1331739,2021-11-29
2021-12-06,1143.98095703125,1171.0,1204.699951171875,1095.5999755859375,1134.699951171875,1037875,2021-12-06
2021-12-13,1210.461181640625,1239.050048828125,1246.9000244140625,1167.0999755859375,1183.0999755859375,1033260,2021-12-13
2021-12-20,1192.534423828125,1220.699951171875,1241.300048828125,1170.0,1225.0,1093619,2021-12-20
2021-12-27,1260.1865234375,1289.949951171875,1299.0,1190.0,1223.699951171875,905471,2021-12-27
2022-01-03,1325.0057373046875,1356.300048828125,1359.9000244140625,1280.1500244140625,1295.0,1482987,2022-01-03
2022-01-10,1329.157470703125,1360.550048828125,1374.9000244140625,1313.5,1365.0,1165245,2022-01-10
2022-01-17,1237.9615478515625,1267.199951171875,1374.550048828125,1227.949951171875,1360.550048828125,1652139,2022-01-17
2022-01-24,1286.4171142578125,1316.800048828125,1319.949951171875,1175.0999755859375,1270.0,1393246,2022-01-24
2022-01-31,1255.302001953125,1284.949951171875,1351.949951171875,1272.0999755859375,1316.800048828125,633688,2022-01-31
2022-02-07,1240.9410400390625,1270.25,1306.0,1245.0999755859375,1270.0,616971,2022-02-07
2022-02-14,1232.001953125,1261.0999755859375,1282.5,1215.050048828125,1259.0,405093,2022-02-14
2022-02-21,1097.5281982421875,1123.449951171875,1260.0,1107.0999755859375,1240.050048828125,1157773,2022-02-21
2022-02-28,931.6949462890625,953.7000122070312,1127.5999755859375,907.0999755859375,1124.9000244140625,2916036,2022-02-28
