Date,Adj Close_CMSINFO.NS,Close_CMSINFO.NS,High_CMSINFO.NS,Low_CMSINFO.NS,Open_CMSINFO.NS,Volume_CMSINFO.NS,Date
2021-12-27,229.17547607421875,238.1999969482422,259.6000061035156,215.10000610351562,220.1999969482422,49060201,2021-12-27
2022-01-03,264.7255554199219,275.1499938964844,283.0,229.5500030517578,243.0,37686195,2022-01-03
2022-01-10,283.96783447265625,295.1499938964844,299.0,273.1499938964844,279.0,18272295,2022-01-10
2022-01-17,265.3990783691406,275.8500061035156,317.45001220703125,261.79998779296875,298.3999938964844,15743186,2022-01-17
2022-01-24,253.4688720703125,263.45001220703125,284.6000061035156,242.64999389648438,280.0,8590237,2022-01-24
2022-01-31,262.8975830078125,273.25,274.75,254.3000030517578,269.75,5664128,2022-01-31
2022-02-07,249.23553466796875,259.04998779296875,284.0,258.1000061035156,283.0,5880854,2022-02-07
2022-02-14,235.57354736328125,244.85000610351562,264.79998779296875,243.4499969482422,246.0,4385609,2022-02-14
2022-02-21,228.55010986328125,237.5500030517578,251.4499969482422,225.10000610351562,242.0500030517578,5362555,2022-02-21
2022-02-28,229.17547607421875,238.1999969482422,244.5500030517578,231.0,236.0,1918857,2022-02-28
2022-03-07,249.09121704101562,258.8999938964844,260.70001220703125,232.3000030517578,234.0,2212038,2022-03-07
2022-03-14,253.18023681640625,263.1499938964844,267.5,253.35000610351562,260.0,1598014,2022-03-14
2022-03-21,245.0022430419922,254.64999389648438,264.95001220703125,252.3000030517578,264.95001220703125,1398067,2022-03-21
2022-03-28,260.7327880859375,271.0,277.0,249.0500030517578,255.6999969482422,2327891,2022-03-28
2022-04-04,256.2108459472656,266.29998779296875,279.29998779296875,261.6499938964844,273.75,2338132,2022-04-04
2022-04-11,248.6101531982422,258.3999938964844,270.0,255.25,265.79998779296875,1004711,2022-04-11
2022-04-18,251.30406188964844,261.20001220703125,265.8999938964844,244.8000030517578,256.8500061035156,1652816,2022-04-18
2022-04-25,253.61317443847656,263.6000061035156,275.3999938964844,254.0,259.0,2094382,2022-04-25
2022-05-02,248.4177703857422,258.20001220703125,265.79998779296875,246.0,261.0,1262647,2022-05-02
2022-05-09,226.04859924316406,234.9499969482422,257.3500061035156,230.10000610351562,255.0,1909471,2022-05-09
2022-05-16,227.53988647460938,236.5,247.0,231.60000610351562,240.0,1573994,2022-05-16
2022-05-23,220.51644897460938,229.1999969482422,239.4499969482422,213.4499969482422,236.64999389648438,1298258,2022-05-23
2022-05-30,220.99749755859375,229.6999969482422,236.3000030517578,225.10000610351562,231.9499969482422,1346705,2022-05-30
2022-06-06,223.45089721679688,232.25,236.39999389648438,223.5,223.5,937931,2022-06-06
2022-06-13,212.77142333984375,221.14999389648438,234.0,216.89999389648438,227.10000610351562,1023576,2022-06-13
2022-06-20,213.73355102539062,222.14999389648438,226.9499969482422,211.0500030517578,222.0,587429,2022-06-20
2022-06-27,221.33425903320312,230.0500030517578,233.0,210.39999389648438,224.9499969482422,576757,2022-06-27
2022-07-04,234.3708953857422,243.60000610351562,246.4499969482422,227.4499969482422,230.4499969482422,641775,2022-07-04
2022-07-11,235.6216278076172,244.89999389648438,249.5500030517578,237.0,244.3000030517578,454449,2022-07-11
2022-07-18,240.5765380859375,250.0500030517578,254.85000610351562,241.64999389648438,250.0,650497,2022-07-18
2022-07-25,263.71533203125,274.1000061035156,275.75,247.0,252.0,1835962,2022-07-25
2022-08-01,252.02566528320312,261.95001220703125,276.0,254.64999389648438,272.0,720851,2022-08-01
2022-08-08,259.6744689941406,269.8999938964844,272.3999938964844,260.1000061035156,264.79998779296875,588811,2022-08-08
2022-08-15,255.72976684570312,265.79998779296875,282.3999938964844,263.1000061035156,269.8999938964844,1011979,2022-08-15
2022-08-22,251.30406188964844,261.20001220703125,270.95001220703125,255.0,265.45001220703125,614670,2022-08-22
2022-08-29,250.39012145996094,260.25,265.70001220703125,253.10000610351562,255.0,334563,2022-08-29
2022-09-05,251.68894958496094,261.6000061035156,271.8999938964844,255.25,260.25,665186,2022-09-05
2022-09-12,261.7911376953125,272.1000061035156,288.0,263.75,263.75,2686765,2022-09-12
2022-09-19,255.7132110595703,264.79998779296875,277.45001220703125,262.0,273.8999938964844,676030,2022-09-19
2022-09-26,262.1832580566406,271.5,275.95001220703125,254.1999969482422,264.6499938964844,771836,2022-09-26
2022-10-03,296.3684997558594,306.8999938964844,309.70001220703125,270.0,271.3999938964844,3816675,2022-10-03
2022-10-10,281.6418151855469,291.6499938964844,314.79998779296875,285.20001220703125,302.75,1681050,2022-10-10
2022-10-17,297.38250732421875,307.95001220703125,315.0,286.5,288.6000061035156,2032894,2022-10-17
2022-10-24,320.172607421875,331.54998779296875,338.79998779296875,306.8999938964844,310.79998779296875,3845387,2022-10-24
2022-10-31,325.1941833496094,336.75,349.5,292.5,333.29998779296875,8805390,2022-10-31
2022-11-07,321.9108581542969,333.3500061035156,343.95001220703125,324.0,339.5,1593664,2022-11-07
2022-11-14,327.6566467285156,339.29998779296875,355.54998779296875,325.45001220703125,335.0,6795724,2022-11-14
2022-11-21,322.2005615234375,333.6499938964844,344.5,330.0,340.0,1448172,2022-11-21
2022-11-28,323.1662902832031,334.6499938964844,339.8999938964844,326.6000061035156,334.04998779296875,2428528,2022-11-28
2022-12-05,320.0760803222656,331.45001220703125,338.8999938964844,322.1000061035156,338.8999938964844,1281811,2022-12-05
2022-12-12,302.6454772949219,313.3999938964844,333.75,312.0,333.75,702610,2022-12-12
2022-12-19,265.3218078613281,274.75,314.8999938964844,271.79998779296875,314.8999938964844,1450974,2022-12-19
2022-12-26,301.8246154785156,312.54998779296875,319.8999938964844,270.1000061035156,272.0,1176688,2022-12-26
2023-01-02,292.6506042480469,303.04998779296875,321.45001220703125,301.79998779296875,312.54998779296875,923865,2023-01-02
2023-01-09,294.48541259765625,304.95001220703125,311.29998779296875,301.79998779296875,305.3999938964844,522165,2023-01-09
2023-01-16,299.45867919921875,310.1000061035156,321.6499938964844,300.25,304.0,1353423,2023-01-16
2023-01-23,293.8576965332031,304.29998779296875,316.79998779296875,302.0,311.70001220703125,951523,2023-01-23
