Date,Adj Close_TITAN.NS,Close_TITAN.NS,High_TITAN.NS,Low_TITAN.NS,Open_TITAN.NS,Volume_TITAN.NS,Date
2020-07-13,978.8001098632812,997.8499755859375,1000.0,941.7999877929688,979.0,9124434,2020-07-13
2020-07-20,1037.409423828125,1057.5999755859375,1083.0,986.0,1000.0,24676559,2020-07-20
2020-07-27,1023.3333740234375,1043.25,1072.5,1028.550048828125,1057.0,12330309,2020-07-27
2020-08-03,1070.220947265625,1091.050048828125,1131.4000244140625,1043.0,1047.0,25522526,2020-08-03
2020-08-10,1087.239501953125,1104.1500244140625,1119.0,1048.550048828125,1093.0,32261224,2020-08-10
2020-08-17,1120.6695556640625,1138.0999755859375,1159.0,1106.0,1113.0,14646433,2020-08-17
2020-08-24,1116.7308349609375,1134.0999755859375,1150.0,1122.9000244140625,1140.0,8686351,2020-08-24
2020-08-31,1141.4954833984375,1159.25,1198.050048828125,1086.0,1131.0,16773376,2020-08-31
2020-09-07,1149.865478515625,1167.75,1194.0,1138.75,1164.0,13492112,2020-09-07
2020-09-14,1145.77880859375,1163.5999755859375,1220.0,1157.3499755859375,1168.5,14281483,2020-09-14
2020-09-21,1092.3597412109375,1109.3499755859375,1171.800048828125,1076.0,1163.5999755859375,11367258,2020-09-21
2020-09-28,1180.292236328125,1198.6500244140625,1211.0,1108.3499755859375,1119.0,12722373,2020-09-28
2020-10-05,1235.97607421875,1255.199951171875,1269.0,1188.699951171875,1201.0,18667596,2020-10-05
2020-10-12,1204.4169921875,1223.1500244140625,1281.9000244140625,1210.0,1260.199951171875,16341308,2020-10-12
2020-10-19,1222.6827392578125,1241.699951171875,1256.550048828125,1213.0999755859375,1225.0999755859375,10636294,2020-10-19
2020-10-26,1147.8958740234375,1165.75,1250.0,1155.550048828125,1250.0,15563922,2020-10-26
2020-11-02,1234.30224609375,1253.5,1265.8499755859375,1154.0,1167.5,11387706,2020-11-02
2020-11-09,1267.0921630859375,1286.800048828125,1318.699951171875,1252.449951171875,1265.4000244140625,14658221,2020-11-09
2020-11-16,1344.2421875,1365.1500244140625,1371.300048828125,1267.0,1288.449951171875,22484954,2020-11-16
2020-11-23,1340.3526611328125,1361.199951171875,1375.0,1300.3499755859375,1375.0,17607096,2020-11-23
2020-11-30,1415.1395263671875,1437.1500244140625,1440.550048828125,1335.0,1361.199951171875,12019521,2020-11-30
2020-12-07,1420.3089599609375,1442.4000244140625,1449.8499755859375,1412.3499755859375,1436.0,8662299,2020-12-07
2020-12-14,1496.0804443359375,1519.3499755859375,1525.0,1445.0,1451.0,12379371,2020-12-14
2020-12-21,1472.98974609375,1495.9000244140625,1528.550048828125,1451.0,1514.199951171875,10399149,2020-12-21
2020-12-28,1534.7291259765625,1558.5999755859375,1573.0,1496.1500244140625,1503.300048828125,8764537,2020-12-28
2021-01-04,1524.8824462890625,1548.5999755859375,1621.3499755859375,1521.5,1566.0,12346808,2021-01-04
2021-01-11,1454.625244140625,1477.25,1572.0,1471.300048828125,1560.0,12043301,2021-01-11
2021-01-18,1468.361572265625,1491.199951171875,1549.8499755859375,1460.0,1467.0,9342081,2021-01-18
2021-01-25,1398.547607421875,1420.300048828125,1512.800048828125,1415.25,1505.050048828125,7912467,2021-01-25
2021-02-01,1486.3321533203125,1509.449951171875,1540.0,1423.6500244140625,1437.800048828125,10116179,2021-02-01
2021-02-08,1471.3155517578125,1494.199951171875,1588.0,1491.0,1514.0,16427779,2021-02-08
2021-02-15,1403.717041015625,1425.550048828125,1518.5,1412.800048828125,1506.0,13573786,2021-02-15
2021-02-22,1385.352783203125,1406.9000244140625,1474.0,1396.0,1425.0,9628511,2021-02-22
2021-03-01,1451.6219482421875,1474.199951171875,1493.0,1416.5999755859375,1421.5,8259709,2021-03-01
