Date,Adj Close_ORIENTBELL.NS,Close_ORIENTBELL.NS,High_ORIENTBELL.NS,Low_ORIENTBELL.NS,Open_ORIENTBELL.NS,Volume_ORIENTBELL.NS,Date
2020-07-13,73.25932312011719,73.69999694824219,80.75,73.0,77.0999984741211,91091,2020-07-13
2020-07-20,81.360595703125,81.8499984741211,86.0,72.19999694824219,74.69999694824219,818233,2020-07-20
2020-07-27,73.40843200683594,73.8499984741211,81.80000305175781,73.5,81.0,177935,2020-07-27
2020-08-03,77.7821273803711,78.25,80.0,72.75,72.75,149101,2020-08-03
2020-08-10,80.26718139648438,80.75,85.5,75.4000015258789,79.5999984741211,274577,2020-08-10
2020-08-17,92.04631805419922,92.5999984741211,97.0,81.75,85.9000015258789,546473,2020-08-17
2020-08-24,101.34040832519531,101.94999694824219,105.0,95.0999984741211,98.0999984741211,731013,2020-08-24
2020-08-31,98.70626068115234,99.30000305175781,103.8499984741211,96.0,103.8499984741211,215156,2020-08-31
2020-09-07,98.55716705322266,99.1500015258789,102.05000305175781,90.30000305175781,100.0999984741211,183754,2020-09-07
2020-09-14,107.30453491210938,107.94999694824219,113.55000305175781,99.30000305175781,101.9000015258789,217502,2020-09-14
2020-09-21,96.17150115966797,96.75,109.0,94.0999984741211,107.94999694824219,133990,2020-09-21
2020-09-28,106.16142272949219,106.80000305175781,108.4000015258789,97.1500015258789,97.1500015258789,140219,2020-09-28
2020-10-05,111.18122100830078,111.8499984741211,114.4000015258789,100.69999694824219,107.0,197445,2020-10-05
2020-10-12,110.53511047363281,111.19999694824219,117.6500015258789,107.19999694824219,114.0,184119,2020-10-12
2020-10-19,127.33407592773438,128.10000610351562,137.0,109.05000305175781,109.05000305175781,873971,2020-10-19
2020-10-26,126.19093322753906,126.94999694824219,140.8000030517578,124.3499984741211,132.75,410708,2020-10-26
2020-11-02,122.31425476074219,123.05000305175781,131.89999389648438,121.6500015258789,127.30000305175781,105516,2020-11-02
2020-11-09,142.4928741455078,143.35000610351562,152.10000610351562,116.0,125.0,253164,2020-11-09
2020-11-16,132.80116271972656,133.60000610351562,150.0,132.35000610351562,144.25,123585,2020-11-16
2020-11-23,137.8209686279297,138.64999389648438,143.0,133.0,134.9499969482422,100550,2020-11-23
2020-11-30,141.79705810546875,142.64999389648438,146.89999389648438,137.0,138.64999389648438,103039,2020-11-30
2020-12-07,151.04144287109375,151.9499969482422,154.5500030517578,138.1999969482422,142.64999389648438,195172,2020-12-07
2020-12-14,150.6935577392578,151.60000610351562,158.25,143.25,154.89999389648438,150777,2020-12-14
2020-12-21,184.68905639648438,185.8000030517578,199.0,132.6999969482422,153.5,500192,2020-12-21
2020-12-28,193.6849365234375,194.85000610351562,219.6999969482422,179.4499969482422,189.0,504387,2020-12-28
2021-01-04,199.49996948242188,200.6999969482422,217.8000030517578,195.35000610351562,195.35000610351562,289496,2021-01-04
2021-01-11,198.1580352783203,199.35000610351562,205.0,188.10000610351562,205.0,129388,2021-01-11
2021-01-18,214.85757446289062,216.14999389648438,229.25,190.5500030517578,199.1999969482422,388472,2021-01-18
2021-01-25,231.10983276367188,232.5,248.0,214.0,217.1999969482422,550972,2021-01-25
2021-02-01,224.89718627929688,226.25,236.89999389648438,218.5500030517578,235.5,303724,2021-02-01
2021-02-08,221.8157196044922,223.14999389648438,234.0,216.35000610351562,229.5500030517578,171111,2021-02-08
2021-02-15,221.76602172851562,223.10000610351562,237.0,220.0,220.0,244822,2021-02-15
2021-02-22,222.06422424316406,223.39999389648438,231.8000030517578,215.25,220.0500030517578,214166,2021-02-22
