Date,Adj Close_SHREECEM.NS,Close_SHREECEM.NS,High_SHREECEM.NS,Low_SHREECEM.NS,Open_SHREECEM.NS,Volume_SHREECEM.NS,Date
2021-02-08,27530.07421875,27965.849609375,28599.099609375,26750.05078125,26907.150390625,519606,2021-02-08
2021-02-15,27113.26953125,27542.44921875,29090.0,26753.349609375,28184.94921875,286950,2021-02-15
2021-02-22,26088.740234375,26501.69921875,27879.900390625,26169.900390625,27615.0,221128,2021-02-22
2021-03-01,27414.650390625,27848.599609375,28894.849609375,26600.5,26600.5,287528,2021-03-01
2021-03-08,27269.84375,27701.5,28486.94921875,27093.19921875,27900.0,190036,2021-03-08
2021-03-15,26516.95703125,26936.69921875,27948.25,26100.0,27811.5,221788,2021-03-15
2021-03-22,27678.07421875,28116.19921875,28500.0,26618.0,26900.0,370094,2021-03-22
2021-03-29,29485.224609375,29951.94921875,30279.5,28116.19921875,28116.19921875,230105,2021-03-29
2021-04-05,31254.02734375,31748.75,32048.0,29650.0,29900.0,512624,2021-04-05
2021-04-12,30340.833984375,30821.099609375,31497.400390625,29514.0,31200.0,337122,2021-04-12
2021-04-19,27668.333984375,28106.30078125,30655.80078125,27926.0,30001.05078125,279574,2021-04-19
2021-04-26,27475.5859375,27910.5,29050.0,27808.150390625,28249.0,185412,2021-04-26
2021-05-03,27406.185546875,27840.0,28111.5,27327.599609375,27500.0,159733,2021-05-03
2021-05-10,26297.33984375,26713.599609375,28035.150390625,26510.0,27979.0,207348,2021-05-10
2021-05-17,27192.22265625,27622.650390625,28244.44921875,26600.44921875,26749.0,233556,2021-05-17
2021-05-24,27224.166015625,27655.099609375,28240.0,26751.0,27611.0,334946,2021-05-24
2021-05-31,27714.947265625,28153.650390625,28515.0,27250.0,27920.0,288245,2021-05-31
2021-06-07,27618.822265625,28056.0,29344.849609375,27980.0,28209.94921875,278836,2021-06-07
2021-06-14,27608.779296875,28045.80078125,28800.0,27752.19921875,28000.0,174254,2021-06-14
2021-06-21,28281.431640625,28729.099609375,29506.849609375,27718.19921875,27878.05078125,160430,2021-06-21
2021-06-28,26593.9453125,27014.900390625,28943.349609375,26840.05078125,28740.0,220729,2021-06-28
2021-07-05,27074.19140625,27502.75,28114.099609375,26950.0,27190.0,297009,2021-07-05
2021-07-12,27658.34375,28096.150390625,28580.0,27584.05078125,27698.5,199289,2021-07-12
2021-07-19,27550.3046875,27986.400390625,28555.0,27817.099609375,28050.0,147917,2021-07-19
2021-07-26,27884.87890625,28265.75,28473.0,27162.80078125,27900.0,179283,2021-07-26
2021-08-02,28004.099609375,28386.599609375,30100.0,28280.19921875,28280.19921875,273642,2021-08-02
2021-08-09,26241.966796875,26600.400390625,28999.0,26385.05078125,28599.0,370024,2021-08-09
2021-08-16,25936.884765625,26291.150390625,26735.0,25725.05078125,26735.0,199980,2021-08-16
2021-08-23,26535.30859375,26897.75,27031.599609375,25749.650390625,26400.0,206352,2021-08-23
2021-08-30,30030.619140625,30440.80078125,30590.80078125,26830.80078125,26900.099609375,457960,2021-08-30
2021-09-06,30258.0625,30671.349609375,31256.94921875,30260.150390625,30499.0,240599,2021-09-06
2021-09-13,30147.671875,30559.44921875,31469.94921875,30128.0,30672.0,316687,2021-09-13
2021-09-20,29015.484375,29411.80078125,30700.0,29120.05078125,30450.0,244735,2021-09-20
2021-09-27,28707.44140625,29099.55078125,29820.0,28581.849609375,29632.150390625,143242,2021-09-27
2021-10-04,27383.130859375,27757.150390625,29425.25,27721.94921875,29219.55078125,173203,2021-10-04
2021-10-11,27579.74609375,27956.44921875,28300.0,27627.0,27755.0,155387,2021-10-11
2021-10-18,27364.43359375,27738.19921875,28393.349609375,27199.650390625,28177.69921875,145539,2021-10-18
2021-10-25,28249.40234375,28635.25,29000.0,26811.19921875,27625.0,174655,2021-10-25
2021-11-01,28655.798828125,29047.19921875,29600.0,28600.0,28800.0,112129,2021-11-01
2021-11-08,28992.890625,29388.900390625,29818.900390625,28850.0,29050.0,121884,2021-11-08
2021-11-15,26801.228515625,27167.30078125,29748.0,26935.05078125,29450.0,129172,2021-11-15
2021-11-22,25596.189453125,25945.80078125,27290.0,25812.0,27290.0,146335,2021-11-22
2021-11-29,25564.865234375,25914.05078125,26749.0,25198.25,25900.0,258784,2021-11-29
2021-12-06,26050.630859375,26406.44921875,26527.599609375,25529.94921875,25933.5,104204,2021-12-06
2021-12-13,25871.478515625,26224.849609375,26636.099609375,25857.05078125,26500.0,129165,2021-12-13
2021-12-20,25956.41796875,26310.94921875,26510.0,25000.05078125,26140.0,133683,2021-12-20
2021-12-27,26623.802734375,26987.44921875,27323.849609375,25910.25,26160.19921875,107562,2021-12-27
2022-01-03,26681.810546875,27046.25,27349.849609375,26250.650390625,27000.0,121083,2022-01-03
2022-01-10,26713.57421875,27078.44921875,27283.69921875,26360.0,27000.0,146110,2022-01-10
2022-01-17,24699.833984375,25037.19921875,27936.75,24811.55078125,27005.0,313681,2022-01-17
2022-01-24,23799.626953125,24124.69921875,25289.94921875,23500.05078125,25182.599609375,156618,2022-01-24
2022-01-31,24390.8984375,24724.05078125,25884.599609375,24210.599609375,24550.0,178740,2022-01-31
2022-02-07,24564.77734375,24900.30078125,25599.0,24300.0,24489.0,139147,2022-02-07
2022-02-14,24063.966796875,24349.55078125,25189.75,23511.0,24550.0,191786,2022-02-14
2022-02-21,23702.1640625,23983.44921875,24993.0,22832.0,24340.0,315606,2022-02-21
2022-02-28,22285.873046875,22550.349609375,24496.0,22116.650390625,23870.0,257558,2022-02-28
2022-03-07,22131.9453125,22394.599609375,22749.900390625,21650.0,22149.849609375,741261,2022-03-07
2022-03-14,23807.662109375,24090.19921875,24385.0,21960.0,22394.599609375,238167,2022-03-14
2022-03-21,22986.5546875,23259.349609375,24188.05078125,23032.0,24188.05078125,193941,2022-03-21
2022-03-28,24324.181640625,24612.849609375,24651.0,22905.0,23411.55078125,150883,2022-03-28
2022-04-04,24964.384765625,25260.650390625,25290.0,24328.94921875,24590.0,149846,2022-04-04
2022-04-11,25066.078125,25363.55078125,25515.349609375,24850.0,25260.650390625,119535,2022-04-11
2022-04-18,25552.0078125,25855.25,26100.0,24649.400390625,25170.0,156966,2022-04-18
2022-04-25,25617.482421875,25921.5,26340.0,25441.94921875,25700.5,141278,2022-04-25
2022-05-02,23692.48046875,23973.650390625,26284.75,23850.0,25812.849609375,140231,2022-05-02
2022-05-09,22300.6953125,22565.349609375,24740.0,22400.0,23880.0,200772,2022-05-09
2022-05-16,21743.16015625,22001.19921875,23975.0,21690.0,22845.0,230756,2022-05-16
2022-05-23,21669.8828125,21927.05078125,22174.900390625,20676.0,21805.05078125,214471,2022-05-23
2022-05-30,20395.94921875,20638.0,22639.650390625,20550.0,21900.19921875,264004,2022-05-30
2022-06-06,18953.9140625,19178.849609375,20599.94921875,18760.849609375,20599.94921875,340126,2022-06-06
2022-06-13,17834.1015625,18045.75,19489.94921875,17980.19921875,18603.44921875,237940,2022-06-13
2022-06-20,18573.232421875,18793.650390625,18937.400390625,17865.19921875,17949.0,142851,2022-06-20
2022-06-27,18988.453125,19213.80078125,19591.0,18815.0,18900.0,263289,2022-06-27
2022-07-04,19699.0234375,19932.80078125,20348.0,19051.0,19265.94921875,120409,2022-07-04
2022-07-11,19470.732421875,19701.80078125,20500.0,19375.0,19919.94921875,107743,2022-07-11
