Date,Adj Close_JBCHEPHARM.NS,Close_JBCHEPHARM.NS,High_JBCHEPHARM.NS,Low_JBCHEPHARM.NS,Open_JBCHEPHARM.NS,Volume_JBCHEPHARM.NS,Date
2020-07-13,342.00714111328125,356.75,360.0,355.0249938964844,359.875,444710,2020-07-13
2020-07-20,349.6765441894531,364.75,375.0,356.0249938964844,357.92498779296875,2108430,2020-07-20
2020-07-27,351.92938232421875,367.1000061035156,372.5,359.5249938964844,366.95001220703125,3045646,2020-07-27
2020-08-03,351.33026123046875,366.4750061035156,371.875,363.04998779296875,371.0,3188710,2020-08-03
2020-08-10,368.15496826171875,384.0249938964844,394.7250061035156,365.54998779296875,366.875,8272202,2020-08-10
2020-08-17,375.84832763671875,392.04998779296875,407.0,380.5,389.0,3096972,2020-08-17
2020-08-24,381.48052978515625,397.92498779296875,414.42498779296875,392.20001220703125,395.0,2432132,2020-08-24
2020-08-31,376.01611328125,392.2250061035156,400.0,376.5,395.0,3515012,2020-08-31
2020-09-07,383.302001953125,399.82501220703125,402.25,382.1499938964844,390.7250061035156,2630078,2020-09-07
2020-09-14,539.6617431640625,562.9249877929688,574.9500122070312,402.75,403.5,27567880,2020-09-14
2020-09-21,459.08526611328125,478.875,574.5,436.6000061035156,569.5,6347276,2020-09-21
2020-09-28,475.4877624511719,495.5249938964844,517.5,478.9750061035156,488.5,2436428,2020-09-28
2020-10-05,470.1622314453125,489.9750061035156,510.0,483.67498779296875,499.8999938964844,2270896,2020-10-05
2020-10-12,502.8593444824219,524.0499877929688,536.9500122070312,471.125,494.3999938964844,2515694,2020-10-12
2020-10-19,479.469970703125,499.67498779296875,538.0,496.54998779296875,524.0499877929688,1125430,2020-10-19
2020-10-26,483.9559326171875,504.3500061035156,530.5,486.0,500.0,1188136,2020-10-26
2020-11-02,489.7373352050781,510.375,518.0,466.625,466.625,676878,2020-11-02
2020-11-09,464.45281982421875,484.0249938964844,526.5,441.6499938964844,511.0,1781282,2020-11-09
2020-11-16,449.91546630859375,468.875,484.25,459.79998779296875,477.25,881784,2020-11-16
2020-11-23,477.2390441894531,497.3500061035156,506.95001220703125,469.92498779296875,475.70001220703125,1898040,2020-11-23
2020-11-30,477.0230712890625,497.125,505.625,490.5,497.3500061035156,1181180,2020-11-30
2020-12-07,479.39801025390625,499.6000061035156,505.0,493.9750061035156,504.3999938964844,783974,2020-12-07
2020-12-14,511.0156555175781,532.5499877929688,547.5,497.6499938964844,503.8999938964844,1536314,2020-12-14
2020-12-21,495.11083984375,515.9749755859375,538.8250122070312,493.9750061035156,527.5,898358,2020-12-21
2020-12-28,496.2383728027344,517.1500244140625,524.4500122070312,500.0249938964844,524.0,1060658,2020-12-28
2021-01-04,501.6119079589844,522.75,539.4000244140625,512.25,519.5,2710942,2021-01-04
2021-01-11,500.9162292480469,522.0250244140625,532.5,515.0,527.6749877929688,899336,2021-01-11
2021-01-18,476.51934814453125,496.6000061035156,524.5999755859375,495.5,522.0499877929688,614536,2021-01-18
2021-01-25,480.3336181640625,500.57501220703125,535.5750122070312,489.1499938964844,499.07501220703125,954148,2021-01-25
2021-02-01,484.00390625,504.3999938964844,523.5,478.0249938964844,501.0,1901298,2021-02-01
2021-02-08,576.2659912109375,600.5499877929688,629.0,496.5,505.04998779296875,11309140,2021-02-08
2021-02-15,532.7977294921875,555.25,631.5,550.9749755859375,610.8499755859375,2803806,2021-02-15
2021-02-22,540.6041870117188,559.2999877929688,603.1500244140625,540.5499877929688,559.5,1386466,2021-02-22
2021-03-01,579.3396606445312,599.375,624.0,558.0250244140625,559.2999877929688,2488852,2021-03-01
2021-03-08,589.7061157226562,610.0999755859375,621.0,595.25,605.0,926168,2021-03-08
2021-03-15,572.6943969726562,592.5,616.0,554.0499877929688,616.0,1131788,2021-03-15
2021-03-22,593.8382568359375,614.375,659.0,582.5,599.9500122070312,3100446,2021-03-22
2021-03-29,605.1229248046875,626.0499877929688,637.5,608.4249877929688,614.375,731952,2021-03-29
2021-04-05,605.92041015625,626.875,644.5,607.0,626.0499877929688,1263334,2021-04-05
2021-04-12,590.1412353515625,610.5499877929688,652.5,605.0999755859375,629.0,1234044,2021-04-12
2021-04-19,630.181396484375,651.9749755859375,678.5,604.0,605.5,2161108,2021-04-19
2021-04-26,674.353759765625,697.6749877929688,705.0,646.4749755859375,659.7249755859375,1432856,2021-04-26
2021-05-03,703.4717407226562,727.7999877929688,747.0,691.5,707.3499755859375,1607298,2021-05-03
2021-05-10,669.4242553710938,692.5750122070312,756.7750244140625,682.0,735.0,1248658,2021-05-10
2021-05-17,697.38232421875,721.5,729.0,682.7750244140625,700.0250244140625,1214672,2021-05-17
2021-05-24,691.5104370117188,715.4249877929688,745.0,698.75,725.0,1237596,2021-05-24
2021-05-31,730.8499145507812,756.125,765.0,715.0,722.9500122070312,1334914,2021-05-31
2021-06-07,744.2853393554688,770.0250244140625,800.0,753.5,766.3499755859375,1019346,2021-06-07
2021-06-14,739.8632202148438,765.4500122070312,799.0,746.0499877929688,776.0,2511260,2021-06-14
2021-06-21,766.5406494140625,793.0499877929688,795.0,749.25,756.0,1452396,2021-06-21
2021-06-28,899.9519653320312,931.0750122070312,948.5,795.0,801.5,3384536,2021-06-28
2021-07-05,876.0775146484375,906.375,968.8499755859375,871.0250244140625,941.0,2718256,2021-07-05
2021-07-12,914.4746704101562,946.0999755859375,959.0,890.8250122070312,913.5,1290056,2021-07-12
2021-07-19,876.53662109375,906.8499755859375,964.5,900.9500122070312,948.9000244140625,1231168,2021-07-19
2021-07-26,876.319091796875,906.625,921.7249755859375,870.0,909.2750244140625,1353078,2021-07-26
2021-08-02,871.9696655273438,902.125,915.8499755859375,876.0,910.0,991534,2021-08-02
2021-08-09,858.7516479492188,888.4500122070312,937.1500244140625,845.7750244140625,909.5999755859375,1342724,2021-08-09
2021-08-16,841.0150146484375,870.0999755859375,887.375,837.2750244140625,880.0,750582,2021-08-16
2021-08-23,811.0272216796875,839.0750122070312,890.0,816.6500244140625,876.0,887834,2021-08-23
2021-08-30,814.9176025390625,843.0999755859375,860.0,835.0,849.5,1058152,2021-08-30
2021-09-06,855.0608520507812,880.4749755859375,901.4749755859375,835.5999755859375,851.1749877929688,1689080,2021-09-06
2021-09-13,845.2280883789062,870.3499755859375,889.75,855.5,880.9749755859375,1318644,2021-09-13
2021-09-20,891.4056396484375,917.9000244140625,927.5,852.5,870.0,2276296,2021-09-20
2021-09-27,915.8782348632812,943.0999755859375,992.5,905.0,932.5,2636006,2021-09-27
2021-10-04,867.4671020507812,893.25,943.5,889.7750244140625,943.0999755859375,841160,2021-10-04
2021-10-11,873.9493408203125,899.9249877929688,925.0,884.8250122070312,897.5,894220,2021-10-11
2021-10-18,824.0331420898438,848.5250244140625,905.0,833.2750244140625,899.9249877929688,2238290,2021-10-18
2021-10-25,814.8558959960938,839.0750122070312,859.0,804.9749755859375,842.5,824386,2021-10-25
2021-11-01,804.658935546875,828.5750122070312,845.0,813.5250244140625,823.5,550278,2021-11-01
2021-11-08,806.746826171875,830.7249755859375,884.9500122070312,807.9749755859375,826.0,1215274,2021-11-08
2021-11-15,805.4601440429688,829.4000244140625,845.7999877929688,823.5,835.0,595130,2021-11-15
2021-11-22,806.26123046875,830.2249755859375,833.1749877929688,769.0,827.5,989358,2021-11-22
2021-11-29,784.1679077148438,807.4749755859375,835.0,778.8499755859375,834.2750244140625,639488,2021-11-29
2021-12-06,791.5,815.0250244140625,823.0,784.4749755859375,796.0,427974,2021-12-06
2021-12-13,773.631103515625,796.625,820.9749755859375,783.0,812.5,913724,2021-12-13
2021-12-20,816.5067138671875,840.7750244140625,862.5499877929688,775.0,802.0,2127066,2021-12-20
2021-12-27,864.1651000976562,889.8499755859375,903.1500244140625,817.5250244140625,831.0,986626,2021-12-27
2022-01-03,801.5027465820312,825.3250122070312,902.25,820.5250244140625,896.9000244140625,670698,2022-01-03
2022-01-10,838.5272216796875,863.4500122070312,875.0499877929688,826.375,827.5,742488,2022-01-10
2022-01-17,854.7938232421875,880.2000122070312,883.0,858.4500122070312,863.4500122070312,476368,2022-01-17
2022-01-24,854.1625366210938,879.5499877929688,914.0,837.3499755859375,880.0999755859375,1172652,2022-01-24
2022-01-31,854.7452392578125,880.1500244140625,937.5,860.0,892.75,1526344,2022-01-31
2022-02-07,828.2575073242188,852.875,895.6749877929688,847.5,893.25,582816,2022-02-07
2022-02-14,786.474365234375,809.8499755859375,898.875,781.0250244140625,837.5,1467984,2022-02-14
2022-02-21,776.957275390625,800.0499877929688,835.0,790.5,810.0,1047128,2022-02-21
2022-02-28,769.2910766601562,788.0,820.25,772.5250244140625,802.75,609174,2022-02-28
2022-03-07,772.2443237304688,791.0250244140625,805.0,742.5,761.5,838128,2022-03-07
2022-03-14,783.39794921875,802.4500122070312,821.5750122070312,762.5,817.5,976034,2022-03-14
2022-03-21,761.2614135742188,779.7750244140625,807.5,771.8250122070312,806.1749877929688,1430378,2022-03-21
2022-03-28,759.8946533203125,778.375,799.0,760.0499877929688,776.0,673186,2022-03-28
2022-04-04,801.6784057617188,821.1749877929688,841.5,785.8499755859375,799.0,1523752,2022-04-04
2022-04-11,784.325439453125,803.4000244140625,839.5,795.0250244140625,825.2999877929688,1089284,2022-04-11
2022-04-18,831.2833862304688,851.5,859.0,789.2750244140625,807.4249877929688,898100,2022-04-18
2022-04-25,839.0447387695312,859.4500122070312,893.0,829.9249877929688,830.5,744166,2022-04-25
2022-05-02,787.4251098632812,806.5750122070312,872.5,801.5750122070312,859.3250122070312,470860,2022-05-02
2022-05-09,777.19873046875,796.0999755859375,832.7000122070312,774.0499877929688,805.5750122070312,528988,2022-05-09
2022-05-16,776.3933715820312,795.2750244140625,817.5,775.0,796.0,579764,2022-05-16
2022-05-23,790.646728515625,809.875,819.9500122070312,774.0750122070312,795.5250244140625,343464,2022-05-23
2022-05-30,771.19482421875,789.9500122070312,832.0,785.0250244140625,815.9500122070312,511466,2022-05-30
2022-06-06,770.096435546875,788.8250122070312,801.3499755859375,760.2000122070312,775.125,373890,2022-06-06
2022-06-13,702.2466430664062,719.3250122070312,787.5,671.0999755859375,777.625,811184,2022-06-13
2022-06-20,760.1874389648438,778.6749877929688,780.0,701.3499755859375,710.9500122070312,338338,2022-06-20
2022-06-27,764.8978881835938,783.5,798.0250244140625,764.2249755859375,778.6749877929688,762830,2022-06-27
2022-07-04,768.7785034179688,787.4749755859375,806.7000122070312,781.5250244140625,790.0,332640,2022-07-04
2022-07-11,799.1644897460938,818.5999755859375,824.4749755859375,773.5,786.5999755859375,345520,2022-07-11
2022-07-18,842.4371948242188,862.9249877929688,869.0,813.0,825.2750244140625,591814,2022-07-18
2022-07-25,864.0369873046875,885.0499877929688,887.4249877929688,830.7000122070312,867.4500122070312,559744,2022-07-25
2022-08-01,904.4051513671875,926.4000244140625,937.0,872.4749755859375,890.0,616776,2022-08-01
2022-08-08,900.5490112304688,922.4500122070312,938.5,892.5,924.0,375516,2022-08-08
2022-08-15,878.8182983398438,896.2249755859375,940.0,884.2750244140625,922.4500122070312,487332,2022-08-15
2022-08-22,890.85498046875,908.5,919.0,852.7750244140625,888.0999755859375,721912,2022-08-22
2022-08-29,879.7008666992188,897.125,922.2249755859375,880.0250244140625,902.5,674022,2022-08-29
2022-09-05,905.6126708984375,923.5499877929688,958.5750122070312,886.9500122070312,892.5,604736,2022-09-05
2022-09-12,931.3773193359375,949.8250122070312,1024.0,919.2750244140625,931.5,1507102,2022-09-12
2022-09-19,907.7698974609375,925.75,977.0,924.25,941.2000122070312,583132,2022-09-19
2022-09-26,941.2567138671875,959.9000244140625,980.5999755859375,915.6749877929688,940.0,992430,2022-09-26
2022-10-03,980.5778198242188,1000.0,1015.0,965.5250244140625,967.5,989600,2022-10-03
2022-10-10,947.5079345703125,966.2750244140625,1034.0,961.5,1000.0,763860,2022-10-10
2022-10-17,972.3655395507812,991.625,1000.0,937.5499877929688,957.5,683924,2022-10-17
2022-10-24,929.0239868164062,947.4249877929688,1006.0,943.0250244140625,1006.0,335308,2022-10-24
2022-10-31,978.6656494140625,998.0499877929688,1032.699951171875,950.0,950.5499877929688,759868,2022-10-31
2022-11-07,975.7730102539062,995.0999755859375,1006.125,985.0,1000.5,425186,2022-11-07
2022-11-14,1038.3828125,1058.949951171875,1075.0,977.6500244140625,1012.5,1143532,2022-11-14
2022-11-21,1008.7940063476562,1028.7750244140625,1070.0,1007.75,1070.0,563734,2022-11-21
2022-11-28,980.945556640625,1000.375,1035.824951171875,997.75,1030.0,364958,2022-11-28
2022-12-05,1004.5039672851562,1024.4000244140625,1040.0,994.75,1006.3250122070312,670108,2022-12-05
2022-12-12,1036.1275634765625,1056.6500244140625,1062.5,998.0250244140625,1032.5,891516,2022-12-12
2022-12-19,958.9805297851562,977.9749755859375,1068.925048828125,970.0,1062.5,632400,2022-12-19
2022-12-26,953.3667602539062,972.25,987.4500122070312,960.25,970.5,424998,2022-12-26
2023-01-02,957.2891235351562,976.25,1008.5250244140625,967.4749755859375,977.0,230570,2023-01-02
2023-01-09,959.5689086914062,978.5750122070312,990.5499877929688,949.8499755859375,981.1500244140625,488110,2023-01-09
2023-01-16,948.7091064453125,967.5,1004.0,963.5,978.5750122070312,222212,2023-01-16
