Date,Adj Close_MOREPENLAB.NS,Close_MOREPENLAB.NS,High_MOREPENLAB.NS,Low_MOREPENLAB.NS,Open_MOREPENLAB.NS,Volume_MOREPENLAB.NS,Date
2020-07-13,22.700000762939453,22.700000762939453,23.350000381469727,21.25,23.149999618530273,4830190,2020-07-13
2020-07-20,21.149999618530273,21.149999618530273,23.600000381469727,21.049999237060547,22.799999237060547,6399970,2020-07-20
2020-07-27,22.950000762939453,22.950000762939453,22.950000762939453,19.25,21.200000762939453,10629834,2020-07-27
2020-08-03,23.0,23.0,26.0,22.850000381469727,23.350000381469727,15851401,2020-08-03
2020-08-10,23.649999618530273,23.649999618530273,24.799999237060547,22.899999618530273,22.899999618530273,8464290,2020-08-10
2020-08-17,24.299999237060547,24.299999237060547,25.600000381469727,23.299999237060547,24.200000762939453,8533917,2020-08-17
2020-08-24,27.149999618530273,27.149999618530273,28.350000381469727,24.399999618530273,24.799999237060547,21824588,2020-08-24
2020-08-31,25.799999237060547,25.799999237060547,28.799999237060547,25.700000762939453,27.399999618530273,17553297,2020-08-31
2020-09-07,24.350000381469727,24.350000381469727,26.600000381469727,24.0,26.0,6919305,2020-09-07
2020-09-14,24.649999618530273,24.649999618530273,25.399999618530273,24.299999237060547,24.350000381469727,5098913,2020-09-14
2020-09-21,23.200000762939453,23.200000762939453,25.200000762939453,22.350000381469727,24.850000381469727,4764383,2020-09-21
2020-09-28,23.899999618530273,23.899999618530273,24.899999618530273,23.049999237060547,23.25,4544534,2020-09-28
2020-10-05,29.0,29.0,31.899999618530273,23.899999618530273,23.950000762939453,39683834,2020-10-05
2020-10-12,27.600000381469727,27.600000381469727,29.850000381469727,26.399999618530273,29.75,15253082,2020-10-12
2020-10-19,26.350000381469727,26.350000381469727,28.5,25.399999618530273,27.75,6704337,2020-10-19
2020-10-26,25.350000381469727,25.350000381469727,26.899999618530273,24.450000762939453,26.299999237060547,4889044,2020-10-26
2020-11-02,27.5,27.5,27.850000381469727,25.0,25.350000381469727,6024116,2020-11-02
2020-11-09,27.950000762939453,27.950000762939453,30.75,26.75,28.299999237060547,21201001,2020-11-09
2020-11-16,27.799999237060547,27.799999237060547,28.75,27.299999237060547,28.049999237060547,9059581,2020-11-16
2020-11-23,29.350000381469727,29.350000381469727,30.450000762939453,27.649999618530273,28.100000381469727,19026912,2020-11-23
2020-11-30,33.20000076293945,33.20000076293945,33.75,28.200000762939453,29.350000381469727,26404354,2020-11-30
2020-12-07,30.899999618530273,30.899999618530273,35.099998474121094,30.200000762939453,33.45000076293945,22779378,2020-12-07
2020-12-14,30.0,30.0,33.04999923706055,29.0,31.200000762939453,13278876,2020-12-14
2020-12-21,29.700000762939453,29.700000762939453,31.350000381469727,26.200000762939453,30.149999618530273,9588418,2020-12-21
2020-12-28,30.450000762939453,30.450000762939453,32.29999923706055,29.25,29.899999618530273,11513682,2020-12-28
2021-01-04,30.850000381469727,30.850000381469727,32.400001525878906,29.75,30.700000762939453,16903493,2021-01-04
2021-01-11,30.100000381469727,30.100000381469727,32.900001525878906,29.850000381469727,31.149999618530273,16331754,2021-01-11
2021-01-18,28.200000762939453,28.200000762939453,30.450000762939453,28.049999237060547,30.200000762939453,8601063,2021-01-18
2021-01-25,27.649999618530273,27.649999618530273,28.850000381469727,27.200000762939453,28.549999237060547,5408168,2021-01-25
2021-02-01,29.399999618530273,29.399999618530273,30.899999618530273,27.299999237060547,28.049999237060547,10063188,2021-02-01
2021-02-08,30.0,30.0,31.700000762939453,28.700000762939453,29.799999237060547,16253886,2021-02-08
2021-02-15,29.450000762939453,29.450000762939453,30.799999237060547,28.600000381469727,30.600000381469727,8539640,2021-02-15
2021-02-22,29.100000381469727,29.100000381469727,30.149999618530273,28.5,29.649999618530273,6657434,2021-02-22
2021-03-01,29.299999237060547,29.299999237060547,30.700000762939453,28.850000381469727,29.25,10302840,2021-03-01
2021-03-08,35.650001525878906,35.650001525878906,38.79999923706055,29.5,29.5,103112567,2021-03-08
2021-03-15,31.600000381469727,31.600000381469727,37.400001525878906,30.5,35.849998474121094,25884274,2021-03-15
2021-03-22,31.649999618530273,31.649999618530273,34.849998474121094,30.799999237060547,31.850000381469727,17046253,2021-03-22
2021-03-29,34.099998474121094,34.099998474121094,34.349998474121094,31.5,31.649999618530273,7705048,2021-03-29
