Date,Adj Close_ASKAUTOLTD.NS,Close_ASKAUTOLTD.NS,High_ASKAUTOLTD.NS,Low_ASKAUTOLTD.NS,Open_ASKAUTOLTD.NS,Volume_ASKAUTOLTD.NS,Date
2023-11-13,309.3759765625,310.1499938964844,319.70001220703125,303.29998779296875,303.29998779296875,28998341,2023-11-13
2023-11-20,293.7650451660156,294.5,311.45001220703125,290.0,310.1499938964844,6987153,2023-11-20
2023-11-27,295.1615295410156,295.8999938964844,302.1499938964844,290.20001220703125,297.25,2381927,2023-11-27
2023-12-04,276.5082092285156,277.20001220703125,294.45001220703125,275.5,292.29998779296875,3256310,2023-12-04
2023-12-11,286.4333801269531,287.1499938964844,297.8500061035156,277.1499938964844,279.0,2948437,2023-12-11
2023-12-18,279.151611328125,279.8500061035156,289.25,271.3999938964844,287.1499938964844,1901315,2023-12-18
2023-12-25,289.7750244140625,290.5,292.79998779296875,276.1000061035156,279.95001220703125,1542707,2023-12-25
2024-01-01,287.6304016113281,288.3500061035156,294.8999938964844,281.04998779296875,290.3500061035156,1336158,2024-01-01
2024-01-08,286.63287353515625,287.3500061035156,291.29998779296875,283.0,289.8999938964844,901248,2024-01-08
2024-01-15,299.7001953125,300.45001220703125,308.79998779296875,282.6000061035156,288.8999938964844,2430212,2024-01-15
2024-01-22,289.12664794921875,289.8500061035156,303.0,284.0,303.0,861987,2024-01-22
2024-01-29,314.5630187988281,315.3500061035156,331.0,287.54998779296875,292.3500061035156,5308798,2024-01-29
2024-02-05,313.9146423339844,314.70001220703125,334.54998779296875,303.0,315.3500061035156,5079789,2024-02-05
2024-02-12,300.9969482421875,301.75,316.8500061035156,286.20001220703125,316.8500061035156,2058604,2024-02-12
2024-02-19,308.9769592285156,309.75,312.0,292.20001220703125,301.75,1194358,2024-02-19
2024-02-26,295.01190185546875,295.75,313.0,290.1000061035156,311.0,1479844,2024-02-26
2024-03-04,279.500732421875,280.20001220703125,299.70001220703125,275.0,295.6499938964844,922354,2024-03-04
2024-03-11,253.71524047851562,254.35000610351562,281.0,240.10000610351562,280.70001220703125,2322849,2024-03-11
2024-03-18,273.5655822753906,274.25,277.5,249.0,254.35000610351562,1493639,2024-03-18
2024-03-25,283.8897399902344,284.6000061035156,287.6000061035156,266.8999938964844,274.8500061035156,855626,2024-03-25
2024-04-01,298.154052734375,298.8999938964844,300.8500061035156,276.0,284.6499938964844,1066236,2024-04-01
2024-04-08,312.1191101074219,312.8999938964844,314.0,293.29998779296875,299.95001220703125,1532068,2024-04-08
2024-04-15,319.60040283203125,320.3999938964844,324.0,295.5,300.70001220703125,1674163,2024-04-15
2024-04-22,306.9819641113281,307.75,327.8999938964844,306.0,323.75,1685584,2024-04-22
2024-04-29,310.3236083984375,311.1000061035156,318.95001220703125,304.95001220703125,312.5,588997,2024-04-29
2024-05-06,295.5106506347656,296.25,315.0,292.1000061035156,315.0,466715,2024-05-06
2024-05-13,318.4532775878906,319.25,322.95001220703125,289.8500061035156,296.0,977528,2024-05-13
2024-05-20,307.53057861328125,308.29998779296875,334.6000061035156,295.95001220703125,327.70001220703125,3388370,2024-05-20
2024-05-27,299.550537109375,300.29998779296875,311.0,297.0,309.0,808181,2024-05-27
2024-06-03,313.3659973144531,314.1499938964844,318.0,284.3500061035156,308.0,1443430,2024-06-03
2024-06-10,348.3285217285156,349.20001220703125,358.3999938964844,311.20001220703125,314.0,4540237,2024-06-10
2024-06-17,357.4057922363281,358.29998779296875,371.79998779296875,343.0,351.0,2547469,2024-06-17
2024-06-24,361.74493408203125,362.6499938964844,369.25,350.70001220703125,355.0,1543524,2024-06-24
2024-07-01,391.3209533691406,392.29998779296875,400.1000061035156,363.95001220703125,363.95001220703125,2830890,2024-07-01
2024-07-08,386.3833312988281,387.3500061035156,406.5,380.20001220703125,392.0,1268994,2024-07-08
2024-07-15,371.17138671875,372.1000061035156,392.0,363.8999938964844,387.29998779296875,771815,2024-07-15
2024-07-22,398.4032287597656,399.3999938964844,403.95001220703125,354.6000061035156,366.0,899244,2024-07-22
2024-07-29,395.7598571777344,396.75,433.79998779296875,392.95001220703125,400.1000061035156,3621687,2024-07-29
