Date,Adj Close_BHARTIHEXA.NS,Close_BHARTIHEXA.NS,High_BHARTIHEXA.NS,Low_BHARTIHEXA.NS,Open_BHARTIHEXA.NS,Volume_BHARTIHEXA.NS,Date
2024-04-08,810.4146728515625,813.2999877929688,880.0,755.0,755.0,53465498,2024-04-08
2024-04-15,943.7898559570312,947.1500244140625,1015.5499877929688,783.0,785.5,36845787,2024-04-15
2024-04-22,891.47607421875,894.6500244140625,993.5499877929688,875.4000244140625,954.9000244140625,9350953,2024-04-22
2024-04-29,868.2587280273438,871.3499755859375,898.3499755859375,854.1500244140625,895.5499877929688,2750305,2024-04-29
2024-05-06,899.3978271484375,902.5999755859375,930.0,858.25,876.5999755859375,5185613,2024-05-06
2024-05-13,957.6903076171875,961.0999755859375,979.9500122070312,878.6500244140625,908.9000244140625,5101444,2024-05-13
2024-05-20,1018.424072265625,1022.0499877929688,1037.550048828125,933.9500122070312,966.5999755859375,3939722,2024-05-20
2024-05-27,1019.7693481445312,1023.4000244140625,1055.0,981.2000122070312,1030.6500244140625,2489303,2024-05-27
2024-06-03,1067.399658203125,1071.199951171875,1089.949951171875,909.4500122070312,1075.0,4679782,2024-06-03
2024-06-10,1073.4781494140625,1077.300048828125,1119.0,1058.0,1080.0,2498851,2024-06-10
2024-06-17,1114.3326416015625,1118.300048828125,1174.5,1077.300048828125,1077.300048828125,2801400,2024-06-17
2024-06-24,1112.8878173828125,1116.8499755859375,1368.5999755859375,1091.0,1113.0,10151029,2024-06-24
2024-07-01,1091.3145751953125,1095.199951171875,1133.800048828125,1060.25,1126.0,3986952,2024-07-01
2024-07-08,1086.78076171875,1090.6500244140625,1102.949951171875,1030.0,1100.0,4034783,2024-07-08
2024-07-15,1134.6104736328125,1138.6500244140625,1180.0,1062.050048828125,1091.0,6678517,2024-07-15
2024-07-22,1165.3509521484375,1169.5,1176.949951171875,1083.3499755859375,1121.050048828125,2518029,2024-07-22
2024-07-29,1144.2760009765625,1148.3499755859375,1203.699951171875,1130.0999755859375,1173.949951171875,1835589,2024-07-29
2024-08-05,1127.63525390625,1131.6500244140625,1150.0,1057.949951171875,1133.050048828125,2329947,2024-08-05
2024-08-12,1143.92724609375,1148.0,1175.0,1101.0,1128.25,1039262,2024-08-12
2024-08-19,1142.75,1142.75,1159.800048828125,1114.0,1150.0,1727264,2024-08-19
2024-08-26,1252.050048828125,1252.050048828125,1259.8499755859375,1144.050048828125,1144.050048828125,2033570,2024-08-26
2024-09-02,1199.1500244140625,1199.1500244140625,1268.6500244140625,1175.4000244140625,1267.949951171875,978283,2024-09-02
2024-09-09,1360.6500244140625,1360.6500244140625,1453.949951171875,1170.0,1182.0999755859375,4362328,2024-09-09
2024-09-16,1446.949951171875,1446.949951171875,1470.0,1324.800048828125,1380.0,2163500,2024-09-16
2024-09-23,1504.0999755859375,1504.0999755859375,1568.0,1359.6500244140625,1439.050048828125,2800667,2024-09-23
2024-09-30,1407.0,1407.0,1482.6500244140625,1348.25,1477.699951171875,2468769,2024-09-30
2024-10-07,1445.4000244140625,1445.4000244140625,1496.0,1360.0999755859375,1418.0,2452787,2024-10-07
