Date,Adj Close_LAURUSLABS.NS,Close_LAURUSLABS.NS,High_LAURUSLABS.NS,Low_LAURUSLABS.NS,Open_LAURUSLABS.NS,Volume_LAURUSLABS.NS,Date
2020-07-13,125.86231994628906,128.3000030517578,130.8000030517578,121.0999984741211,124.48999786376953,16778045,2020-07-13
2020-07-20,143.078857421875,145.85000610351562,148.35000610351562,127.0,129.16000366210938,36518370,2020-07-20
2020-07-27,183.10366821289062,186.64999389648438,189.0,142.44000244140625,146.7899932861328,103223520,2020-07-27
2020-08-03,200.65377807617188,204.5399932861328,215.02999877929688,190.39999389648438,191.0500030517578,128163855,2020-08-03
2020-08-10,198.15220642089844,201.99000549316406,231.17999267578125,198.60000610351562,206.8000030517578,56294790,2020-08-10
2020-08-17,223.83482360839844,228.1699981689453,234.9600067138672,203.41000366210938,204.89999389648438,30699390,2020-08-17
2020-08-24,228.28854370117188,232.7100067138672,249.1999969482422,221.22000122070312,232.0,37806675,2020-08-24
2020-08-31,231.9967041015625,236.49000549316406,247.52000427246094,210.66000366210938,234.80999755859375,29774905,2020-08-31
2020-09-07,246.7705841064453,251.5500030517578,253.8000030517578,235.16000366210938,237.39999389648438,26386295,2020-09-07
2020-09-14,293.0247497558594,298.70001220703125,304.0,256.20001220703125,256.3999938964844,43585095,2020-09-14
2020-09-21,260.5634460449219,265.6099853515625,310.0,251.27999877929688,300.79998779296875,51466380,2020-09-21
2020-09-28,275.0234375,280.3500061035156,306.95001220703125,271.0,271.0,65489478,2020-09-28
2020-10-05,320.3455505371094,326.54998779296875,343.29998779296875,268.3999938964844,277.0,38184827,2020-10-05
2020-10-12,319.90411376953125,326.1000061035156,337.0,308.0,328.0,19778745,2020-10-12
2020-10-19,329.1745300292969,335.54998779296875,341.8999938964844,325.04998779296875,331.0,15029700,2020-10-19
2020-10-26,313.3314514160156,319.3999938964844,344.8999938964844,305.0,339.0,39745393,2020-10-26
2020-11-02,271.540771484375,276.79998779296875,319.70001220703125,270.04998779296875,319.5,37841240,2020-11-02
2020-11-09,284.1466979980469,289.6499938964844,294.8999938964844,252.0,280.0,37567050,2020-11-09
2020-11-16,278.31866455078125,282.8500061035156,291.8500061035156,267.54998779296875,284.0,15221309,2020-11-16
2020-11-23,311.7739562988281,316.8500061035156,321.0,282.54998779296875,284.8999938964844,24706147,2020-11-23
2020-11-30,326.33685302734375,331.6499938964844,334.5,311.0,316.8500061035156,15504370,2020-11-30
