Date,Adj Close_SAGARDEEP.NS,Close_SAGARDEEP.NS,High_SAGARDEEP.NS,Low_SAGARDEEP.NS,Open_SAGARDEEP.NS,Volume_SAGARDEEP.NS,Date
2021-10-18,30.149999618530273,30.149999618530273,33.95000076293945,28.899999618530273,32.650001525878906,163062,2021-10-18
2021-10-25,28.899999618530273,28.899999618530273,31.299999237060547,28.549999237060547,30.0,185860,2021-10-25
2021-11-01,29.899999618530273,29.899999618530273,30.5,27.600000381469727,27.600000381469727,329908,2021-11-01
2021-11-08,29.649999618530273,29.649999618530273,30.799999237060547,28.850000381469727,30.5,52192,2021-11-08
2021-11-15,27.5,27.5,30.149999618530273,27.049999237060547,29.200000762939453,52720,2021-11-15
2021-11-22,27.450000762939453,27.450000762939453,28.799999237060547,27.200000762939453,27.549999237060547,49454,2021-11-22
2021-11-29,32.349998474121094,32.349998474121094,32.349998474121094,26.0,27.049999237060547,148841,2021-11-29
2021-12-06,46.5,46.5,46.79999923706055,31.149999618530273,33.849998474121094,514251,2021-12-06
2021-12-13,41.20000076293945,41.20000076293945,47.349998474121094,37.95000076293945,47.0,167132,2021-12-13
2021-12-20,47.150001525878906,47.150001525878906,47.150001525878906,39.150001525878906,41.25,174124,2021-12-20
2021-12-27,48.75,48.75,52.400001525878906,45.04999923706055,49.5,288932,2021-12-27
2022-01-03,52.849998474121094,52.849998474121094,53.20000076293945,46.0,48.5,170795,2022-01-03
2022-01-10,52.099998474121094,52.099998474121094,54.5,49.29999923706055,52.849998474121094,130931,2022-01-10
2022-01-17,53.400001525878906,53.400001525878906,53.45000076293945,48.70000076293945,52.099998474121094,246283,2022-01-17
2022-01-24,57.900001525878906,57.900001525878906,59.20000076293945,52.79999923706055,52.79999923706055,450543,2022-01-24
2022-01-31,62.04999923706055,62.04999923706055,62.150001525878906,57.900001525878906,60.0,802013,2022-01-31
2022-02-07,68.05000305175781,68.05000305175781,68.0999984741211,62.150001525878906,62.95000076293945,1346323,2022-02-07
2022-02-14,76.1500015258789,76.1500015258789,76.4000015258789,68.80000305175781,69.0,1823757,2022-02-14
2022-02-21,59.0,59.0,77.75,59.0,77.0,178712,2022-02-21
2022-02-28,48.099998474121094,48.099998474121094,56.04999923706055,48.099998474121094,56.04999923706055,37175,2022-02-28
2022-03-07,37.29999923706055,37.29999923706055,45.70000076293945,37.29999923706055,45.70000076293945,70645,2022-03-07
2022-03-14,33.650001525878906,33.650001525878906,35.45000076293945,30.5,35.45000076293945,259302,2022-03-14
2022-03-21,42.79999923706055,42.79999923706055,42.79999923706055,35.29999923706055,35.29999923706055,87624,2022-03-21
2022-03-28,39.400001525878906,39.400001525878906,44.0,35.0,44.0,585248,2022-03-28
2022-04-04,36.75,36.75,40.95000076293945,36.20000076293945,40.95000076293945,455961,2022-04-04
2022-04-11,35.599998474121094,35.599998474121094,37.5,34.0,36.5,224588,2022-04-11
2022-04-18,34.650001525878906,34.650001525878906,36.599998474121094,32.25,36.45000076293945,268246,2022-04-18
2022-04-25,34.650001525878906,34.650001525878906,37.5,34.04999923706055,34.70000076293945,230989,2022-04-25
2022-05-02,32.150001525878906,32.150001525878906,35.849998474121094,31.5,34.0,178430,2022-05-02
2022-05-09,30.700000762939453,30.700000762939453,34.0,28.75,32.150001525878906,168723,2022-05-09
2022-05-16,31.100000381469727,31.100000381469727,33.75,28.149999618530273,33.75,137555,2022-05-16
2022-05-23,29.5,29.5,32.04999923706055,28.899999618530273,31.0,103626,2022-05-23
