Date,Adj Close_ROSSARI.NS,Close_ROSSARI.NS,High_ROSSARI.NS,Low_ROSSARI.NS,Open_ROSSARI.NS,Volume_ROSSARI.NS,Date
2020-07-20,729.0460205078125,731.2000122070312,803.0999755859375,664.0,669.25,43524297,2020-07-20
2020-07-27,712.943603515625,715.0499877929688,748.7999877929688,666.0,737.25,10439842,2020-07-27
2020-08-03,751.4298706054688,753.6500244140625,772.75,697.0,714.7999877929688,5858450,2020-08-03
2020-08-10,738.4682006835938,740.6500244140625,818.7999877929688,675.1500244140625,757.9000244140625,9495771,2020-08-10
2020-08-17,793.4556884765625,795.7999877929688,805.9000244140625,734.0999755859375,750.75,6258868,2020-08-17
2020-08-24,772.9163818359375,775.2000122070312,816.0,770.0,800.0,3937735,2020-08-24
2020-08-31,790.7138061523438,793.0499877929688,859.0,719.0,776.0,8034112,2020-08-31
2020-09-07,778.6494750976562,780.9500122070312,808.0,767.0,794.5,1818951,2020-09-07
2020-09-14,825.1619873046875,827.5999755859375,853.7000122070312,782.3499755859375,788.5,2353639,2020-09-14
2020-09-21,766.684814453125,768.9500122070312,829.9000244140625,740.9500122070312,827.5999755859375,1032260,2020-09-21
2020-09-28,793.2562866210938,795.5999755859375,815.0,770.0,770.0,1202567,2020-09-28
2020-10-05,762.7962646484375,765.0499877929688,805.0,762.25,797.2000122070312,752528,2020-10-05
2020-10-12,771.769775390625,774.0499877929688,797.7000122070312,748.6500244140625,769.7999877929688,609157,2020-10-12
2020-10-19,804.5230102539062,806.9000244140625,824.0,768.0,772.0,855087,2020-10-19
2020-10-26,792.9570922851562,795.2999877929688,831.0,772.0,810.5,955416,2020-10-26
2020-11-02,778.4500122070312,780.75,795.9000244140625,773.0499877929688,794.0,445453,2020-11-02
2020-11-09,775.2095947265625,777.5,789.0,764.0,788.0,373690,2020-11-09
2020-11-16,787.22412109375,789.5499877929688,813.7999877929688,767.3499755859375,767.3499755859375,423189,2020-11-16
2020-11-23,799.4380493164062,801.7999877929688,810.0,782.4000244140625,782.4000244140625,399337,2020-11-23
2020-11-30,831.4434814453125,833.9000244140625,867.0,780.0499877929688,801.7999877929688,1036422,2020-11-30
2020-12-07,812.898193359375,815.2999877929688,877.0,805.0499877929688,839.7000122070312,657995,2020-12-07
2020-12-14,828.601806640625,831.0499877929688,849.0,805.0,829.7000122070312,1148975,2020-12-14
2020-12-21,930.899658203125,933.6500244140625,980.0,820.0,822.5,2061481,2020-12-21
2020-12-28,933.29248046875,936.0499877929688,1019.0,908.4000244140625,943.0,1427956,2020-12-28
2021-01-04,878.0057983398438,880.5999755859375,945.5,868.0,945.0,905935,2021-01-04
2021-01-11,837.5255126953125,840.0,889.75,838.8499755859375,888.0,411697,2021-01-11
2021-01-18,877.9061279296875,880.5,909.9500122070312,818.0499877929688,831.0,691281,2021-01-18
2021-01-25,882.4925537109375,885.0999755859375,915.0,862.0,883.2000122070312,465272,2021-01-25
2021-02-01,885.63330078125,888.25,915.0,863.4000244140625,878.0,332229,2021-02-01
2021-02-08,910.7591552734375,913.4500122070312,928.6500244140625,879.7000122070312,897.0,664116,2021-02-08
2021-02-15,1035.390869140625,1038.449951171875,1147.0,906.6500244140625,913.0,3433983,2021-02-15
2021-02-22,1015.5993041992188,1018.5999755859375,1094.8499755859375,951.5999755859375,1040.0,1573204,2021-02-22
2021-03-01,1007.3237915039062,1010.2999877929688,1068.800048828125,990.0,1028.6500244140625,477276,2021-03-01
2021-03-08,986.236083984375,989.1500244140625,1021.9500122070312,976.0,1019.4000244140625,229034,2021-03-08
2021-03-15,1040.924560546875,1044.0,1049.800048828125,970.0,990.0499877929688,868528,2021-03-15
