Date,Adj Close_HINDCON.NS,Close_HINDCON.NS,High_HINDCON.NS,Low_HINDCON.NS,Open_HINDCON.NS,Volume_HINDCON.NS,Date
2020-07-13,2.594597578048706,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0,2020-07-13
2020-07-20,3.104250431060791,3.3499999046325684,3.3499999046325684,3.3499999046325684,3.3499999046325684,40000,2020-07-20
2020-07-27,3.104250431060791,3.3499999046325684,3.3499999046325684,3.3499999046325684,3.3499999046325684,0,2020-07-27
2020-08-03,3.104250431060791,3.3499999046325684,3.3499999046325684,3.3499999046325684,3.3499999046325684,0,2020-08-03
2020-08-10,3.8270316123962402,4.130000114440918,4.130000114440918,3.3499999046325684,3.3499999046325684,860000,2020-08-10
2020-08-17,3.363710880279541,3.630000114440918,3.8399999141693115,3.509999990463257,3.7100000381469727,540000,2020-08-17
2020-08-24,3.4685497283935547,3.5799999237060547,3.630000114440918,3.559999942779541,3.630000114440918,160000,2020-08-24
2020-08-31,3.2553985118865967,3.359999895095825,3.490000009536743,3.359999895095825,3.490000009536743,60000,2020-08-31
2020-09-07,3.2553985118865967,3.359999895095825,3.359999895095825,3.359999895095825,3.359999895095825,0,2020-09-07
2020-09-14,3.2844650745391846,3.390000104904175,3.4000000953674316,3.359999895095825,3.359999895095825,40000,2020-09-14
2020-09-21,3.2941536903381348,3.4000000953674316,3.4000000953674316,3.390000104904175,3.390000104904175,20000,2020-09-21
2020-09-28,3.1100685596466064,3.2100000381469727,3.809999942779541,2.869999885559082,3.4000000953674316,480000,2020-09-28
2020-10-05,3.2941536903381348,3.4000000953674316,3.5,3.299999952316284,3.299999952316284,360000,2020-10-05
2020-10-12,3.4685497283935547,3.5799999237060547,3.5999999046325684,3.4800000190734863,3.4800000190734863,120000,2020-10-12
2020-10-19,3.487927198410034,3.5999999046325684,3.609999895095825,3.4000000953674316,3.5799999237060547,380000,2020-10-19
2020-10-26,3.681701183319092,3.799999952316284,3.9800000190734863,3.5999999046325684,3.5999999046325684,160000,2020-10-26
2020-11-02,3.5460596084594727,3.6600000858306885,3.799999952316284,3.5999999046325684,3.799999952316284,120000,2020-11-02
2020-11-09,3.9723618030548096,4.099999904632568,4.099999904632568,3.700000047683716,3.700000047683716,300000,2020-11-09
2020-11-16,4.844343185424805,5.0,5.070000171661377,3.940000057220459,3.940000057220459,560000,2020-11-16
2020-11-23,5.038117408752441,5.199999809265137,5.199999809265137,4.849999904632568,5.010000228881836,240000,2020-11-23
2020-11-30,5.067183494567871,5.230000019073486,5.400000095367432,5.199999809265137,5.199999809265137,240000,2020-11-30
2020-12-07,5.057494163513184,5.21999979019165,5.400000095367432,5.03000020980835,5.25,700000,2020-12-07
2020-12-14,5.2125139236450195,5.380000114440918,5.380000114440918,5.039999961853027,5.130000114440918,420000,2020-12-14
2020-12-21,4.85403299331665,5.010000228881836,5.070000171661377,5.0,5.070000171661377,120000,2020-12-21
2020-12-28,4.941230297088623,5.099999904632568,5.340000152587891,5.050000190734863,5.099999904632568,220000,2020-12-28
2021-01-04,5.038117408752441,5.199999809265137,5.199999809265137,4.800000190734863,5.099999904632568,140000,2021-01-04
2021-01-11,4.85403299331665,5.010000228881836,5.199999809265137,5.010000228881836,5.199999809265137,60000,2021-01-11
2021-01-18,4.85403299331665,5.010000228881836,5.010000228881836,5.010000228881836,5.010000228881836,0,2021-01-18
2021-01-25,4.85403299331665,5.010000228881836,5.019999980926514,5.010000228881836,5.010000228881836,40000,2021-01-25
2021-02-01,5.018739700317383,5.179999828338623,5.179999828338623,4.800000190734863,4.800000190734863,100000,2021-02-01
