Date,Adj Close_TOKYOPLAST.NS,Close_TOKYOPLAST.NS,High_TOKYOPLAST.NS,Low_TOKYOPLAST.NS,Open_TOKYOPLAST.NS,Volume_TOKYOPLAST.NS,Date
2020-07-13,60.79999923706055,60.79999923706055,63.0,59.400001525878906,61.04999923706055,11636,2020-07-13
2020-07-20,59.650001525878906,59.650001525878906,63.900001525878906,58.75,62.150001525878906,13842,2020-07-20
2020-07-27,58.20000076293945,58.20000076293945,61.0,57.099998474121094,59.04999923706055,11395,2020-07-27
2020-08-03,59.650001525878906,59.650001525878906,61.099998474121094,57.400001525878906,58.400001525878906,13678,2020-08-03
2020-08-10,58.70000076293945,58.70000076293945,62.29999923706055,58.099998474121094,58.099998474121094,16396,2020-08-10
2020-08-17,64.5999984741211,64.5999984741211,68.19999694824219,58.099998474121094,61.70000076293945,72686,2020-08-17
2020-08-24,61.849998474121094,61.849998474121094,66.25,60.099998474121094,66.05000305175781,25961,2020-08-24
2020-08-31,59.599998474121094,59.599998474121094,63.54999923706055,57.95000076293945,61.150001525878906,16529,2020-08-31
2020-09-07,58.20000076293945,58.20000076293945,60.400001525878906,55.70000076293945,58.650001525878906,10806,2020-09-07
2020-09-14,63.25,63.25,64.4000015258789,57.95000076293945,58.400001525878906,61122,2020-09-14
2020-09-21,60.0,60.0,66.3499984741211,57.400001525878906,63.04999923706055,62005,2020-09-21
2020-09-28,59.95000076293945,59.95000076293945,65.0,59.349998474121094,60.04999923706055,101562,2020-09-28
2020-10-05,59.0,59.0,63.45000076293945,57.349998474121094,60.900001525878906,43098,2020-10-05
2020-10-12,60.0,60.0,61.29999923706055,58.29999923706055,58.599998474121094,24947,2020-10-12
2020-10-19,60.900001525878906,60.900001525878906,66.0,59.54999923706055,60.54999923706055,50685,2020-10-19
2020-10-26,60.04999923706055,60.04999923706055,62.599998474121094,58.0,62.599998474121094,13341,2020-10-26
2020-11-02,60.599998474121094,60.599998474121094,62.900001525878906,58.5,60.0,76762,2020-11-02
2020-11-09,65.25,65.25,68.19999694824219,60.349998474121094,61.599998474121094,131636,2020-11-09
2020-11-16,67.19999694824219,67.19999694824219,69.5,64.05000305175781,64.5999984741211,117370,2020-11-16
2020-11-23,68.25,68.25,70.0,64.75,68.05000305175781,60733,2020-11-23
