Date,Adj Close_KOKUYOCMLN.NS,Close_KOKUYOCMLN.NS,High_KOKUYOCMLN.NS,Low_KOKUYOCMLN.NS,Open_KOKUYOCMLN.NS,Volume_KOKUYOCMLN.NS,Date
2020-07-13,51.691715240478516,52.04999923706055,53.45000076293945,50.5,51.29999923706055,179479,2020-07-13
2020-07-20,53.42966842651367,53.79999923706055,57.900001525878906,51.54999923706055,52.900001525878906,755530,2020-07-20
2020-07-27,52.08896255493164,52.45000076293945,56.0,51.95000076293945,54.099998474121094,619711,2020-07-27
2020-08-03,56.061431884765625,56.45000076293945,57.70000076293945,51.0,52.900001525878906,676573,2020-08-03
2020-08-10,56.16073989868164,56.54999923706055,64.30000305175781,55.20000076293945,59.900001525878906,3321468,2020-08-10
2020-08-17,62.16909408569336,62.599998474121094,65.5,55.29999923706055,57.29999923706055,1599920,2020-08-17
2020-08-24,60.530452728271484,60.95000076293945,64.25,58.900001525878906,63.79999923706055,1991528,2020-08-24
2020-08-31,58.14697265625,58.54999923706055,61.95000076293945,55.099998474121094,60.95000076293945,898080,2020-08-31
2020-09-07,56.607643127441406,57.0,58.79999923706055,55.0,58.79999923706055,413953,2020-09-07
2020-09-14,61.72219467163086,62.150001525878906,73.94999694824219,56.099998474121094,57.0,5868522,2020-09-14
2020-09-21,57.05454635620117,57.45000076293945,62.79999923706055,55.099998474121094,62.400001525878906,688312,2020-09-21
2020-09-28,57.89869689941406,58.29999923706055,60.0,57.5,58.400001525878906,277719,2020-09-28
2020-10-05,62.516685485839844,62.95000076293945,67.4000015258789,57.54999923706055,58.599998474121094,3124122,2020-10-05
2020-10-12,61.97047424316406,62.400001525878906,66.0,60.400001525878906,64.3499984741211,1221466,2020-10-12
2020-10-19,61.5235710144043,61.95000076293945,64.0,61.45000076293945,62.0,397618,2020-10-19
2020-10-26,58.74284744262695,59.150001525878906,63.25,57.599998474121094,61.75,531961,2020-10-26
2020-11-02,59.239402770996094,59.650001525878906,62.0,57.0,59.95000076293945,286579,2020-11-02
2020-11-09,64.40361022949219,64.8499984741211,67.0,58.099998474121094,59.099998474121094,3271862,2020-11-09
2020-11-16,61.275291442871094,61.70000076293945,67.44999694824219,61.5,64.5,422737,2020-11-16
2020-11-23,62.41737365722656,62.849998474121094,64.0999984741211,61.0,62.0,492974,2020-11-23
2020-11-30,65.8932876586914,66.3499984741211,68.19999694824219,61.599998474121094,62.849998474121094,2183866,2020-11-30
2020-12-07,66.58846282958984,67.05000305175781,73.5,64.8499984741211,66.80000305175781,3107315,2020-12-07
2020-12-14,65.8932876586914,66.3499984741211,70.80000305175781,64.9000015258789,67.94999694824219,928651,2020-12-14
2020-12-21,65.19810485839844,65.6500015258789,68.69999694824219,60.0,68.5,1093917,2020-12-21
2020-12-28,65.49603271484375,65.94999694824219,67.44999694824219,64.94999694824219,65.1500015258789,523092,2020-12-28
2021-01-04,71.10714721679688,71.5999984741211,75.4000015258789,66.0999984741211,66.8499984741211,4809043,2021-01-04
2021-01-11,66.14156341552734,66.5999984741211,71.9000015258789,65.25,71.9000015258789,1080786,2021-01-11
2021-01-18,63.06290054321289,63.5,69.5999984741211,63.099998474121094,67.55000305175781,976335,2021-01-18
2021-01-25,62.963592529296875,63.400001525878906,66.1500015258789,62.0,64.5,645121,2021-01-25
2021-02-01,62.71531295776367,63.150001525878906,64.94999694824219,62.099998474121094,64.44999694824219,901396,2021-02-01
2021-02-08,62.516685485839844,62.95000076293945,64.6500015258789,62.20000076293945,63.150001525878906,566107,2021-02-08
2021-02-15,62.0201301574707,62.45000076293945,64.0,60.5,63.45000076293945,1002419,2021-02-15
2021-02-22,64.05601501464844,64.5,69.30000305175781,60.29999923706055,63.400001525878906,2989285,2021-02-22
2021-03-01,63.509803771972656,63.95000076293945,68.80000305175781,63.599998474121094,64.75,2033189,2021-03-01
2021-03-08,62.31806182861328,62.75,66.4000015258789,62.099998474121094,66.0,976343,2021-03-08
2021-03-15,58.89181137084961,59.29999923706055,63.79999923706055,57.099998474121094,63.79999923706055,875060,2021-03-15
2021-03-22,54.52210235595703,54.900001525878906,59.95000076293945,52.70000076293945,59.29999923706055,673434,2021-03-22
2021-03-29,58.74284744262695,59.150001525878906,60.29999923706055,54.400001525878906,54.900001525878906,601803,2021-03-29
2021-04-05,56.70695495605469,57.099998474121094,59.599998474121094,56.0,59.599998474121094,506964,2021-04-05
2021-04-12,53.628292083740234,54.0,56.75,53.0,56.0,454574,2021-04-12
2021-04-19,53.52898406982422,53.900001525878906,54.900001525878906,52.0,52.0,276137,2021-04-19
2021-04-26,54.62141036987305,55.0,56.95000076293945,52.599998474121094,53.29999923706055,425929,2021-04-26
2021-05-03,55.11796569824219,55.5,56.900001525878906,54.5,55.0,454445,2021-05-03
2021-05-10,56.21039581298828,56.599998474121094,59.400001525878906,55.45000076293945,55.5,754552,2021-05-10
2021-05-17,57.302825927734375,57.70000076293945,60.099998474121094,55.650001525878906,57.0,1140738,2021-05-17
2021-05-24,60.480796813964844,60.900001525878906,64.9000015258789,57.20000076293945,58.0,4668384,2021-05-24
2021-05-31,64.25463104248047,64.69999694824219,68.4000015258789,58.75,60.5,6752753,2021-05-31
2021-06-07,67.78020477294922,68.25,70.0,64.4000015258789,65.25,4080800,2021-06-07
2021-06-14,66.29052734375,66.75,69.69999694824219,62.70000076293945,68.4000015258789,3193282,2021-06-14
2021-06-21,66.48915100097656,66.94999694824219,69.5,64.0999984741211,64.0999984741211,2128059,2021-06-21
2021-06-28,75.27824401855469,75.80000305175781,77.30000305175781,65.30000305175781,67.0,6485176,2021-06-28
2021-07-05,74.28512573242188,74.80000305175781,79.9000015258789,72.8499984741211,76.94999694824219,4983849,2021-07-05
2021-07-12,73.14303588867188,73.6500015258789,76.30000305175781,72.55000305175781,75.19999694824219,1707232,2021-07-12
