Date,Adj Close_BERGEPAINT.NS,Close_BERGEPAINT.NS,High_BERGEPAINT.NS,Low_BERGEPAINT.NS,Open_BERGEPAINT.NS,Volume_BERGEPAINT.NS,Date
2020-07-13,423.8093566894531,432.0833435058594,434.1666564941406,413.3333435058594,421.7083435058594,6319959,2020-07-13
2020-07-20,428.38665771484375,436.75,443.3333435058594,424.4166564941406,433.3333435058594,11510666,2020-07-20
2020-07-27,430.3483581542969,438.75,447.5,427.6666564941406,438.3333435058594,9836848,2020-07-27
2020-08-03,453.7662048339844,462.625,465.0,432.0833435058594,441.6666564941406,9026444,2020-08-03
2020-08-10,449.8427429199219,458.625,470.625,447.25,466.6666564941406,9081218,2020-08-10
2020-08-17,463.28863525390625,472.3333435058594,475.75,439.4166564941406,458.3333435058594,13665983,2020-08-17
2020-08-24,461.2451171875,470.25,484.9583435058594,463.4166564941406,477.75,9045969,2020-08-24
2020-08-31,450.9870910644531,459.7916564941406,474.4166564941406,445.8333435058594,470.0,9199932,2020-08-31
2020-09-07,468.07025146484375,477.2083435058594,482.0833435058594,456.75,459.1666564941406,9943808,2020-09-07
2020-09-14,472.8519287109375,482.0833435058594,489.9583435058594,471.6666564941406,480.8333435058594,7947150,2020-09-14
2020-09-21,476.16143798828125,485.2083435058594,488.1666564941406,458.75,483.4583435058594,9206188,2020-09-21
2020-09-28,482.9491271972656,492.125,499.875,477.5,488.25,6662407,2020-09-28
2020-10-05,492.8035583496094,502.1666564941406,514.5,486.9166564941406,492.5,9318644,2020-10-05
2020-10-12,493.457763671875,502.8333435058594,515.4166870117188,494.1666564941406,502.5833435058594,6814494,2020-10-12
2020-10-19,498.40545654296875,507.875,519.1666870117188,500.3333435058594,501.6666564941406,5737812,2020-10-19
2020-10-26,509.5274658203125,519.2083129882812,531.6666870117188,490.125,507.5,12169385,2020-10-26
2020-11-02,531.2399291992188,541.3333129882812,558.3333129882812,515.0,521.1666870117188,11990901,2020-11-02
2020-11-09,533.120849609375,543.25,546.75,531.6666870117188,540.8333129882812,6188682,2020-11-09
2020-11-16,525.92431640625,535.9166870117188,545.8333129882812,529.1666870117188,540.8333129882812,4731388,2020-11-16
2020-11-23,529.72705078125,539.7916870117188,544.1666870117188,521.8333129882812,538.5833129882812,7292631,2020-11-23
2020-11-30,548.904296875,559.3333129882812,561.375,539.25,539.7916870117188,5214887,2020-11-30
2020-12-07,553.8929443359375,564.4166870117188,568.75,552.125,559.1666870117188,4313940,2020-12-07
2020-12-14,580.6757202148438,591.7083129882812,599.9583129882812,562.5,565.8333129882812,7339044,2020-12-14
2020-12-21,597.8493041992188,609.2083129882812,615.375,568.0833129882812,592.0416870117188,6467812,2020-12-21
2020-12-28,627.2900390625,639.2083129882812,641.625,606.125,612.25,5735538,2020-12-28
2021-01-04,662.9049682617188,675.5,677.4583129882812,637.75,638.3333129882812,5327553,2021-01-04
2021-01-11,635.8359985351562,647.9166870117188,683.2083129882812,641.6666870117188,677.5,4856565,2021-01-11
