Date,Adj Close_AIAENG.NS,Close_AIAENG.NS,High_AIAENG.NS,Low_AIAENG.NS,Open_AIAENG.NS,Volume_AIAENG.NS,Date
2020-07-13,1653.230712890625,1679.550048828125,1697.5999755859375,1610.0,1650.0,59805,2020-07-13
2020-07-20,1668.5863037109375,1695.1500244140625,1775.0,1666.050048828125,1690.0,133219,2020-07-20
2020-07-27,1628.228759765625,1654.1500244140625,1699.75,1635.0,1699.75,153464,2020-07-27
2020-08-03,1640.1884765625,1666.300048828125,1740.0,1616.949951171875,1652.0,428344,2020-08-03
2020-08-10,1678.3802490234375,1705.0999755859375,1715.199951171875,1584.0,1688.0999755859375,341786,2020-08-10
2020-08-17,1724.3975830078125,1751.8499755859375,1814.800048828125,1655.949951171875,1710.0,247530,2020-08-17
2020-08-24,1798.0255126953125,1826.6500244140625,1889.949951171875,1751.050048828125,1785.0,181836,2020-08-24
2020-08-31,1783.70361328125,1812.0999755859375,1869.949951171875,1764.0,1810.050048828125,176423,2020-08-31
2020-09-07,1720.362060546875,1747.75,1815.0,1714.0999755859375,1815.0,206300,2020-09-07
2020-09-14,1836.41455078125,1865.6500244140625,1927.75,1751.5,1771.050048828125,549905,2020-09-14
2020-09-21,1710.8140869140625,1738.050048828125,1977.25,1677.25,1920.0,182822,2020-09-21
2020-09-28,1812.9381103515625,1841.800048828125,1886.3499755859375,1720.0,1760.6500244140625,187123,2020-09-28
2020-10-05,1738.1292724609375,1765.800048828125,1853.0,1735.199951171875,1816.0,144798,2020-10-05
2020-10-12,1702.5455322265625,1729.6500244140625,1798.449951171875,1702.0,1792.0,130880,2020-10-12
2020-10-19,1720.9034423828125,1748.300048828125,1814.949951171875,1685.800048828125,1747.9000244140625,142348,2020-10-19
2020-10-26,1672.57275390625,1699.199951171875,1786.8499755859375,1690.5999755859375,1748.0,104327,2020-10-26
2020-11-02,1698.1162109375,1725.1500244140625,1775.0,1620.0,1729.0,157784,2020-11-02
2020-11-09,1740.2945556640625,1768.0,1797.699951171875,1705.050048828125,1733.6500244140625,441210,2020-11-09
2020-11-16,1773.0728759765625,1801.300048828125,1810.0,1729.949951171875,1729.949951171875,74915,2020-11-16
2020-11-23,1827.2601318359375,1856.3499755859375,1955.0,1785.25,1785.25,221666,2020-11-23
2020-11-30,1996.220458984375,2028.0,2184.25,1822.0,1856.3499755859375,354618,2020-11-30
2020-12-07,1947.29931640625,1978.300048828125,2090.5,1960.0,2050.0,139504,2020-12-07
2020-12-14,1988.39501953125,2020.050048828125,2065.0,1929.9000244140625,1990.0,569499,2020-12-14
2020-12-21,1965.1156005859375,1996.4000244140625,2059.89990234375,1952.3499755859375,2011.949951171875,278574,2020-12-21
2020-12-28,1937.2589111328125,1968.0999755859375,2084.0,1942.0,2009.0,335909,2020-12-28
2021-01-04,1969.4466552734375,2000.800048828125,2050.89990234375,1958.0,1993.699951171875,257614,2021-01-04
2021-01-11,2066.993896484375,2099.89990234375,2146.050048828125,1992.5,2025.0,655762,2021-01-11
2021-01-18,2045.04296875,2077.60009765625,2234.0,2047.050048828125,2110.0,492555,2021-01-18
2021-01-25,1923.5277099609375,1954.1500244140625,2085.0,1913.0,2085.0,310623,2021-01-25
2021-02-01,1968.4129638671875,1999.75,2079.85009765625,1912.0,1955.0,195257,2021-02-01
2021-02-08,1936.3238525390625,1967.1500244140625,2025.0,1931.949951171875,2020.0,191011,2021-02-08
2021-02-15,1838.875244140625,1868.1500244140625,2000.0,1860.0,1977.5,170616,2021-02-15
2021-02-22,1790.74169921875,1819.25,1880.050048828125,1781.0,1869.75,316855,2021-02-22
2021-03-01,1868.700439453125,1898.449951171875,1970.0,1791.550048828125,1823.0999755859375,1502955,2021-03-01
2021-03-08,1900.05126953125,1930.300048828125,1950.0,1880.9000244140625,1915.300048828125,550662,2021-03-08
2021-03-15,1840.0565185546875,1869.3499755859375,1949.699951171875,1793.25,1945.0,291219,2021-03-15
2021-03-22,1888.190185546875,1918.25,1930.0,1847.0,1873.0999755859375,353735,2021-03-22
2021-03-29,2021.1732177734375,2053.35009765625,2095.0,1918.25,1918.25,268805,2021-03-29
2021-04-05,1936.028564453125,1966.8499755859375,2060.0,1941.300048828125,2054.0,100794,2021-04-05
2021-04-12,1871.308837890625,1901.0999755859375,1966.8499755859375,1846.699951171875,1955.0,111066,2021-04-12
2021-04-19,1843.10791015625,1872.449951171875,1900.0,1830.0,1879.0,157656,2021-04-19
2021-04-26,1833.559814453125,1862.75,1945.0,1856.1500244140625,1877.949951171875,62515,2021-04-26
2021-05-03,1800.3388671875,1829.0,1891.550048828125,1820.0,1862.0,187092,2021-05-03
2021-05-10,1846.5528564453125,1875.949951171875,1950.449951171875,1814.0,1844.449951171875,259807,2021-05-10
2021-05-17,1953.89404296875,1985.0,1995.0,1872.800048828125,1895.0,145629,2021-05-17
