Date,Adj Close_ORIENTTECH.NS,Close_ORIENTTECH.NS,High_ORIENTTECH.NS,Low_ORIENTTECH.NS,Open_ORIENTTECH.NS,Volume_ORIENTTECH.NS,Date
2024-08-26,332.0901184082031,333.3900146484375,333.3900146484375,287.20001220703125,288.0,4979286,2024-08-26
2024-09-02,300.6232604980469,301.79998779296875,348.79998779296875,286.95001220703125,340.0,4233903,2024-09-02
2024-09-09,301.669189453125,302.8500061035156,323.0,291.0,300.70001220703125,2430557,2024-09-09
2024-09-16,302.316650390625,303.5,322.29998779296875,296.25,307.1000061035156,2913836,2024-09-16
2024-09-23,277.66314697265625,278.75,316.54998779296875,272.8500061035156,307.0,3758129,2024-09-23
2024-09-30,261.67572021484375,262.70001220703125,283.0,262.0,283.0,1119360,2024-09-30
2024-10-07,272.2842102050781,273.3500061035156,286.95001220703125,247.0500030517578,264.0,1586015,2024-10-07
2024-10-14,293.4015197753906,294.54998779296875,308.0,270.25,276.0,1776924,2024-10-14
2024-10-21,281.6475524902344,282.75,300.70001220703125,275.8500061035156,299.0,1125566,2024-10-21
2024-10-28,305.952392578125,307.1499938964844,309.79998779296875,280.0,288.75,1402791,2024-10-28
2024-11-04,386.9354248046875,388.45001220703125,414.0,308.5,319.95001220703125,14947997,2024-11-04
2024-11-11,407.2558898925781,408.8500061035156,449.6499938964844,371.5,402.3999938964844,8136863,2024-11-11
2024-11-18,437.387939453125,439.1000061035156,475.0,401.20001220703125,413.0,8285075,2024-11-18
2024-11-25,398.45001220703125,398.45001220703125,444.8500061035156,391.6000061035156,441.0,5074030,2024-11-25
2024-12-02,428.79998779296875,428.79998779296875,438.3999938964844,396.0,398.3999938964844,3310649,2024-12-02
2024-12-09,428.1000061035156,428.1000061035156,448.70001220703125,412.20001220703125,428.79998779296875,2691559,2024-12-09
2024-12-16,438.79998779296875,438.79998779296875,498.70001220703125,426.1499938964844,430.0,7023681,2024-12-16
2024-12-23,483.20001220703125,483.20001220703125,483.20001220703125,428.3500061035156,444.0,3356682,2024-12-23
2024-12-30,525.5,525.5,538.9000244140625,456.8999938964844,485.0,5116030,2024-12-30
2025-01-06,597.75,597.75,630.0,520.5499877929688,530.0,8235992,2025-01-06
2025-01-13,643.0,643.0,654.9000244140625,540.0,595.9500122070312,4407817,2025-01-13
2025-01-20,539.2999877929688,539.2999877929688,674.8499755859375,539.2999877929688,646.9500122070312,1947834,2025-01-20
2025-01-27,449.70001220703125,449.70001220703125,512.3499755859375,419.29998779296875,512.3499755859375,4865664,2025-01-27
2025-02-03,412.95001220703125,412.95001220703125,474.3500061035156,412.95001220703125,454.0,1803357,2025-02-03
2025-02-10,343.1000061035156,343.1000061035156,412.70001220703125,341.3500061035156,392.29998779296875,2443845,2025-02-10
2025-02-17,325.5,325.5,356.5,296.8500061035156,326.29998779296875,1712532,2025-02-17
2025-02-24,320.3999938964844,320.3999938964844,341.0,311.5,311.5,957767,2025-02-24
2025-03-03,331.70001220703125,331.70001220703125,340.45001220703125,300.54998779296875,323.0,1943304,2025-03-03
2025-03-10,304.3500061035156,304.3500061035156,337.8500061035156,303.0,332.95001220703125,653795,2025-03-10
2025-03-17,346.6499938964844,346.6499938964844,346.6499938964844,300.0,305.5,889031,2025-03-17
2025-03-24,354.75,354.75,382.1000061035156,341.45001220703125,354.5,2167785,2025-03-24
2025-03-31,373.70001220703125,373.70001220703125,401.95001220703125,348.3500061035156,354.75,1168126,2025-03-31
2025-04-07,349.75,349.75,361.54998779296875,330.0,355.04998779296875,646776,2025-04-07
2025-04-14,377.79998779296875,377.79998779296875,395.0,349.75,349.75,816408,2025-04-14
2025-04-21,352.25,352.25,394.95001220703125,348.6000061035156,389.79998779296875,889833,2025-04-21
2025-04-28,340.1499938964844,340.1499938964844,366.0,337.1000061035156,352.5,526440,2025-04-28
2025-05-05,316.75,316.75,356.5,312.25,341.1499938964844,988845,2025-05-05
2025-05-12,356.1499938964844,356.1499938964844,384.8999938964844,332.54998779296875,332.54998779296875,1478555,2025-05-12
2025-05-19,334.5,334.5,371.6499938964844,334.5,354.3999938964844,1099663,2025-05-19
2025-05-26,335.20001220703125,335.20001220703125,340.8999938964844,325.0,335.0,1157431,2025-05-26
2025-06-02,354.0,354.0,368.0,328.0,337.0,1706217,2025-06-02
2025-06-09,341.45001220703125,341.45001220703125,372.95001220703125,335.1499938964844,362.0,1328593,2025-06-09
2025-06-16,329.0,329.0,346.8999938964844,323.04998779296875,340.0,761823,2025-06-16
2025-06-23,345.8999938964844,345.8999938964844,361.95001220703125,322.25,322.25,1531331,2025-06-23
2025-06-30,354.25,354.25,361.8500061035156,342.0,351.0,1125907,2025-06-30
2025-07-07,345.3999938964844,345.3999938964844,367.70001220703125,343.79998779296875,355.95001220703125,2014618,2025-07-07
2025-07-14,341.54998779296875,341.54998779296875,346.75,335.04998779296875,345.0,253403,2025-07-14
