Date,Adj Close_SPECIALITY.NS,Close_SPECIALITY.NS,High_SPECIALITY.NS,Low_SPECIALITY.NS,Open_SPECIALITY.NS,Volume_SPECIALITY.NS,Date
2020-07-13,30.348236083984375,30.899999618530273,31.700000762939453,29.700000762939453,30.799999237060547,101538,2020-07-13
2020-07-20,29.316986083984375,29.850000381469727,32.849998474121094,29.200000762939453,30.899999618530273,246384,2020-07-20
2020-07-27,31.18305778503418,31.75,32.849998474121094,28.600000381469727,29.5,459293,2020-07-27
2020-08-03,31.821453094482422,32.400001525878906,33.54999923706055,28.600000381469727,30.200000762939453,356399,2020-08-03
2020-08-10,35.40627670288086,36.04999923706055,38.25,32.0,32.04999923706055,732328,2020-08-10
2020-08-17,34.96431350708008,35.599998474121094,37.45000076293945,32.20000076293945,36.45000076293945,468083,2020-08-17
2020-08-24,32.36163330078125,32.95000076293945,36.900001525878906,32.5,36.29999923706055,742879,2020-08-24
2020-08-31,33.14734649658203,33.75,34.70000076293945,31.200000762939453,33.599998474121094,887235,2020-08-31
2020-09-07,32.80359649658203,33.400001525878906,35.0,31.549999237060547,33.75,337330,2020-09-07
2020-09-14,34.6696662902832,35.29999923706055,36.75,33.5,34.45000076293945,690211,2020-09-14
2020-09-21,32.31252670288086,32.900001525878906,36.0,31.399999618530273,35.0,233596,2020-09-21
2020-09-28,36.92859649658203,37.599998474121094,39.75,32.349998474121094,33.0,1414469,2020-09-28
2020-10-05,34.96431350708008,35.599998474121094,38.5,34.599998474121094,38.0,432433,2020-10-05
2020-10-12,33.441986083984375,34.04999923706055,36.04999923706055,33.79999923706055,36.0,250237,2020-10-12
2020-10-19,34.6696662902832,35.29999923706055,35.849998474121094,33.5,34.29999923706055,274950,2020-10-19
2020-10-26,33.09823989868164,33.70000076293945,35.95000076293945,33.0,35.900001525878906,151924,2020-10-26
2020-11-02,33.343772888183594,33.95000076293945,35.70000076293945,33.29999923706055,33.95000076293945,215256,2020-11-02
2020-11-09,36.14288330078125,36.79999923706055,37.29999923706055,33.79999923706055,34.45000076293945,501171,2020-11-09
2020-11-16,36.43752670288086,37.099998474121094,37.900001525878906,35.75,36.599998474121094,368780,2020-11-16
2020-11-23,39.04020690917969,39.75,41.5,35.0,37.400001525878906,1013779,2020-11-23
2020-11-30,42.232173919677734,43.0,45.0,39.5,39.75,1226220,2020-11-30
2020-12-07,41.59377670288086,42.349998474121094,44.900001525878906,41.5,43.0,583486,2020-12-07
2020-12-14,47.58485412597656,48.45000076293945,54.95000076293945,42.5,42.5,3186388,2020-12-14
2020-12-21,48.17414474487305,49.04999923706055,51.900001525878906,38.70000076293945,49.0,1304713,2020-12-21
2020-12-28,48.56700134277344,49.45000076293945,50.79999923706055,46.0,50.79999923706055,963350,2020-12-28
2021-01-04,46.651817321777344,47.5,50.29999923706055,46.650001525878906,50.29999923706055,428903,2021-01-04
2021-01-11,47.92860794067383,48.79999923706055,50.0,45.400001525878906,47.349998474121094,682620,2021-01-11
2021-01-18,44.245567321777344,45.04999923706055,49.5,40.04999923706055,48.29999923706055,456963,2021-01-18
2021-01-25,44.73664093017578,45.54999923706055,47.29999923706055,43.20000076293945,46.45000076293945,179375,2021-01-25
2021-02-01,45.08039474487305,45.900001525878906,47.400001525878906,44.79999923706055,45.54999923706055,215532,2021-02-01
2021-02-08,46.25896072387695,47.099998474121094,48.20000076293945,44.54999923706055,45.099998474121094,272131,2021-02-08
2021-02-15,45.031280517578125,45.849998474121094,47.70000076293945,44.650001525878906,47.5,286123,2021-02-15
2021-02-22,43.11610412597656,43.900001525878906,46.79999923706055,42.099998474121094,46.0,239280,2021-02-22
2021-03-01,46.11164093017578,46.95000076293945,50.20000076293945,43.29999923706055,44.0,836658,2021-03-01
2021-03-08,46.75003433227539,47.599998474121094,52.79999923706055,46.45000076293945,47.25,866254,2021-03-08
