Date,Adj Close_AKI.NS,Close_AKI.NS,High_AKI.NS,Low_AKI.NS,Open_AKI.NS,Volume_AKI.NS,Date
2023-04-03,16.18000030517578,16.18000030517578,17.739999771118164,12.239999771118164,15.619999885559082,14056,2023-04-03
2023-04-10,20.770000457763672,20.770000457763672,22.899999618530273,18.190000534057617,18.600000381469727,446452,2023-04-10
2023-04-17,23.100000381469727,23.100000381469727,24.520000457763672,20.450000762939453,20.780000686645508,871845,2023-04-17
2023-04-24,23.200000762939453,23.200000762939453,24.299999237060547,22.420000076293945,22.420000076293945,618606,2023-04-24
2023-05-01,22.809999465942383,22.809999465942383,23.950000762939453,21.200000762939453,23.200000762939453,665799,2023-05-01
2023-05-08,18.729999542236328,18.729999542236328,22.989999771118164,18.719999313354492,22.989999771118164,948474,2023-05-08
2023-05-15,21.299999237060547,21.299999237060547,22.68000030517578,18.020000457763672,19.100000381469727,556858,2023-05-15
2023-05-22,20.790000915527344,20.790000915527344,23.43000030517578,20.399999618530273,20.700000762939453,1260867,2023-05-22
2023-05-29,22.200000762939453,22.200000762939453,22.700000762939453,19.899999618530273,19.899999618530273,2842205,2023-05-29
2023-06-05,21.829999923706055,21.829999923706055,22.739999771118164,21.200000762939453,22.600000381469727,2847405,2023-06-05
2023-06-12,22.43000030517578,22.43000030517578,22.889999389648438,21.600000381469727,22.399999618530273,816920,2023-06-12
2023-06-19,22.299999237060547,22.299999237060547,23.950000762939453,21.850000381469727,22.700000762939453,567164,2023-06-19
2023-06-26,22.75,22.75,22.899999618530273,20.049999237060547,22.299999237060547,662431,2023-06-26
2023-07-03,22.75,22.75,23.75,22.049999237060547,23.049999237060547,457560,2023-07-03
2023-07-10,22.600000381469727,22.600000381469727,23.0,21.299999237060547,23.0,886661,2023-07-10
2023-07-17,22.299999237060547,22.299999237060547,23.399999618530273,21.0,23.399999618530273,230661,2023-07-17
2023-07-24,21.600000381469727,21.600000381469727,22.5,20.700000762939453,22.5,398419,2023-07-24
2023-07-31,20.0,20.0,22.75,20.0,21.850000381469727,1024744,2023-07-31
2023-08-07,15.5,15.5,19.0,15.5,19.0,118106,2023-08-07
2023-08-14,13.149999618530273,13.149999618530273,14.75,12.699999809265137,14.75,732121,2023-08-14
2023-08-21,16.600000381469727,16.600000381469727,16.649999618530273,12.600000381469727,13.300000190734863,589067,2023-08-21
2023-08-28,15.100000381469727,15.100000381469727,16.299999237060547,15.100000381469727,16.299999237060547,38836,2023-08-28
2023-09-04,13.75,13.75,14.800000190734863,13.75,14.800000190734863,88917,2023-09-04
2023-09-11,12.5,12.5,13.5,12.5,13.5,126220,2023-09-11
2023-09-18,11.600000381469727,11.600000381469727,12.5,11.600000381469727,12.25,170110,2023-09-18
2023-09-25,10.600000381469727,10.600000381469727,11.399999618530273,10.600000381469727,11.399999618530273,113167,2023-09-25
2023-10-02,12.800000190734863,12.800000190734863,12.800000190734863,10.600000381469727,10.600000381469727,41334,2023-10-02
2023-10-09,15.300000190734863,15.300000190734863,15.300000190734863,12.199999809265137,13.399999618530273,473252,2023-10-09
2023-10-16,16.799999237060547,16.799999237060547,16.799999237060547,15.600000381469727,15.600000381469727,356731,2023-10-16
2023-10-23,18.049999237060547,18.049999237060547,18.049999237060547,17.100000381469727,17.100000381469727,461977,2023-10-23
2023-10-30,19.799999237060547,19.799999237060547,19.799999237060547,18.399999618530273,18.399999618530273,189145,2023-10-30
2023-11-06,21.75,21.75,21.75,20.149999618530273,20.149999618530273,76270,2023-11-06
2023-11-13,23.899999618530273,23.899999618530273,23.899999618530273,22.549999237060547,22.549999237060547,83806,2023-11-13
2023-11-20,26.25,26.25,26.25,24.350000381469727,24.350000381469727,91614,2023-11-20
2023-11-27,27.200000762939453,27.200000762939453,27.75,26.25,26.25,155281,2023-11-27
