Date,Adj Close_ABDL.NS,Close_ABDL.NS,High_ABDL.NS,Low_ABDL.NS,Open_ABDL.NS,Volume_ABDL.NS,Date
2025-04-28,302.2293701171875,304.75,324.5,302.1000061035156,318.75,1408870,2025-04-28
2025-05-05,326.328369140625,329.04998779296875,334.1499938964844,306.0,308.0,2608591,2025-05-05
2025-05-12,386.7247009277344,389.95001220703125,428.6499938964844,332.8500061035156,335.0,7257420,2025-05-12
2025-05-19,392.08001708984375,395.3500061035156,412.0,376.29998779296875,389.0,3366928,2025-05-19
2025-05-26,396.39404296875,399.70001220703125,412.0,391.6499938964844,395.0,1722589,2025-05-26
2025-06-02,424.90625,428.45001220703125,433.29998779296875,390.0,400.0,3556450,2025-06-02
2025-06-09,419.84844970703125,423.3500061035156,454.79998779296875,407.20001220703125,436.1000061035156,5011071,2025-06-09
2025-06-16,419.1542053222656,422.6499938964844,442.0,413.3500061035156,423.3500061035156,2355420,2025-06-16
2025-06-23,421.4847717285156,425.0,443.0,421.0,421.95001220703125,1755176,2025-06-23
2025-06-30,432.8999938964844,432.8999938964844,440.70001220703125,419.0,427.0,1713192,2025-06-30
2025-07-07,447.25,447.25,453.8999938964844,430.1000061035156,436.0,2531881,2025-07-07
2025-07-14,491.45001220703125,491.45001220703125,505.8999938964844,445.04998779296875,451.0,3470272,2025-07-14
