Date,Adj Close_CINEVISTA.NS,Close_CINEVISTA.NS,High_CINEVISTA.NS,Low_CINEVISTA.NS,Open_CINEVISTA.NS,Volume_CINEVISTA.NS,Date
2020-07-13,5.75,5.75,6.050000190734863,5.349999904632568,5.849999904632568,13957,2020-07-13
2020-07-20,5.150000095367432,5.150000095367432,5.949999809265137,5.150000095367432,5.949999809265137,60571,2020-07-20
2020-07-27,5.050000190734863,5.050000190734863,5.5,4.900000095367432,5.199999809265137,48579,2020-07-27
2020-08-03,5.599999904632568,5.599999904632568,5.599999904632568,4.849999904632568,4.900000095367432,52156,2020-08-03
2020-08-10,7.5,7.5,7.550000190734863,5.5,6.0,181658,2020-08-10
2020-08-17,7.400000095367432,7.400000095367432,8.050000190734863,7.25,7.849999904632568,147643,2020-08-17
2020-08-24,6.699999809265137,6.699999809265137,7.349999904632568,6.5,7.349999904632568,121242,2020-08-24
2020-08-31,6.599999904632568,6.599999904632568,7.0,6.0,6.699999809265137,48258,2020-08-31
2020-09-07,6.5,6.5,6.900000095367432,6.199999809265137,6.900000095367432,37469,2020-09-07
2020-09-14,6.449999809265137,6.449999809265137,6.75,5.900000095367432,6.699999809265137,26695,2020-09-14
2020-09-21,6.099999904632568,6.099999904632568,6.75,5.699999809265137,6.150000095367432,12779,2020-09-21
2020-09-28,6.050000190734863,6.050000190734863,6.449999809265137,5.75,6.400000095367432,10124,2020-09-28
2020-10-05,5.900000095367432,5.900000095367432,6.650000095367432,5.75,6.349999904632568,24128,2020-10-05
2020-10-12,5.900000095367432,5.900000095367432,6.449999809265137,5.449999809265137,5.900000095367432,15553,2020-10-12
2020-10-19,6.0,6.0,6.199999809265137,5.650000095367432,5.849999904632568,18601,2020-10-19
2020-10-26,5.949999809265137,5.949999809265137,6.300000190734863,5.699999809265137,6.0,9405,2020-10-26
2020-11-02,5.900000095367432,5.900000095367432,6.199999809265137,5.550000190734863,5.949999809265137,21243,2020-11-02
2020-11-09,7.349999904632568,7.349999904632568,7.349999904632568,5.650000095367432,5.900000095367432,60949,2020-11-09
2020-11-16,7.400000095367432,7.400000095367432,8.449999809265137,7.0,7.0,166478,2020-11-16
2020-11-23,7.150000095367432,7.150000095367432,7.75,7.0,7.75,44431,2020-11-23
2020-11-30,7.650000095367432,7.650000095367432,8.0,7.050000190734863,7.150000095367432,67226,2020-11-30
2020-12-07,8.149999618530273,8.149999618530273,8.5,7.349999904632568,7.800000190734863,109270,2020-12-07
2020-12-14,7.599999904632568,7.599999904632568,8.350000381469727,7.599999904632568,7.75,95488,2020-12-14
2020-12-21,7.449999809265137,7.449999809265137,8.0,7.150000095367432,7.349999904632568,65615,2020-12-21
2020-12-28,7.050000190734863,7.050000190734863,7.75,6.900000095367432,7.75,78917,2020-12-28
2021-01-04,6.949999809265137,6.949999809265137,7.599999904632568,6.800000190734863,7.300000190734863,84909,2021-01-04
2021-01-11,6.349999904632568,6.349999904632568,7.099999904632568,6.199999809265137,7.050000190734863,110646,2021-01-11
2021-01-18,6.349999904632568,6.349999904632568,6.900000095367432,6.199999809265137,6.550000190734863,56265,2021-01-18
2021-01-25,6.599999904632568,6.599999904632568,6.599999904632568,6.099999904632568,6.599999904632568,95111,2021-01-25
2021-02-01,5.900000095367432,5.900000095367432,6.599999904632568,5.650000095367432,6.599999904632568,131538,2021-02-01
2021-02-08,6.349999904632568,6.349999904632568,6.599999904632568,5.400000095367432,6.25,329418,2021-02-08
2021-02-15,6.449999809265137,6.449999809265137,6.849999904632568,5.800000190734863,6.849999904632568,521820,2021-02-15
2021-02-22,6.199999809265137,6.199999809265137,7.0,5.900000095367432,6.550000190734863,77964,2021-02-22
2021-03-01,6.150000095367432,6.150000095367432,6.800000190734863,6.050000190734863,6.800000190734863,83169,2021-03-01
2021-03-08,6.199999809265137,6.199999809265137,6.699999809265137,6.099999904632568,6.699999809265137,46392,2021-03-08
2021-03-15,6.199999809265137,6.199999809265137,6.599999904632568,5.599999904632568,6.449999809265137,148854,2021-03-15
2021-03-22,6.0,6.0,6.349999904632568,5.550000190734863,6.25,45028,2021-03-22
2021-03-29,6.300000190734863,6.300000190734863,6.5,5.800000190734863,6.0,28213,2021-03-29
2021-04-05,8.850000381469727,8.850000381469727,8.850000381469727,6.050000190734863,6.5,233216,2021-04-05
2021-04-12,14.649999618530273,14.649999618530273,14.649999618530273,7.199999809265137,9.5,1610695,2021-04-12
2021-04-19,15.300000190734863,15.300000190734863,16.950000762939453,13.399999618530273,14.550000190734863,1426889,2021-04-19
2021-04-26,11.949999809265137,11.949999809265137,14.550000190734863,11.949999809265137,14.550000190734863,24038,2021-04-26
2021-05-03,10.399999618530273,10.399999618530273,11.399999618530273,9.5,11.399999618530273,246883,2021-05-03
2021-05-10,12.449999809265137,12.449999809265137,12.5,10.850000381469727,10.899999618530273,236045,2021-05-10
2021-05-17,13.199999809265137,13.199999809265137,15.050000190734863,12.449999809265137,12.449999809265137,340535,2021-05-17
2021-05-24,12.100000381469727,12.100000381469727,13.800000190734863,11.949999809265137,12.75,158312,2021-05-24
2021-05-31,12.300000190734863,12.300000190734863,12.75,11.649999618530273,11.899999618530273,175243,2021-05-31
2021-06-07,12.899999618530273,12.899999618530273,13.949999809265137,11.699999809265137,12.300000190734863,369141,2021-06-07
2021-06-14,12.350000381469727,12.350000381469727,13.5,11.350000381469727,13.5,252545,2021-06-14
2021-06-21,13.050000190734863,13.050000190734863,13.449999809265137,12.0,12.5,186257,2021-06-21
2021-06-28,15.850000381469727,15.850000381469727,15.850000381469727,12.600000381469727,13.399999618530273,288870,2021-06-28
2021-07-05,16.450000762939453,16.450000762939453,18.350000381469727,16.399999618530273,16.600000381469727,443040,2021-07-05
2021-07-12,17.850000381469727,17.850000381469727,18.799999237060547,16.299999237060547,17.0,234538,2021-07-12
2021-07-19,15.800000190734863,15.800000190734863,17.950000762939453,15.800000190734863,17.950000762939453,95178,2021-07-19
2021-07-26,14.850000381469727,14.850000381469727,16.350000381469727,13.800000190734863,15.899999618530273,183196,2021-07-26
2021-08-02,14.649999618530273,14.649999618530273,17.0,14.300000190734863,15.550000190734863,158388,2021-08-02
2021-08-09,14.100000381469727,14.100000381469727,15.0,12.699999809265137,14.949999809265137,108158,2021-08-09
2021-08-16,13.350000381469727,13.350000381469727,15.350000381469727,13.100000381469727,14.550000190734863,51746,2021-08-16
2021-08-23,11.699999809265137,11.699999809265137,14.050000190734863,11.600000381469727,13.649999618530273,80772,2021-08-23
2021-08-30,12.5,12.5,12.800000190734863,11.199999809265137,11.949999809265137,127319,2021-08-30
2021-09-06,14.050000190734863,14.050000190734863,14.199999809265137,12.100000381469727,12.449999809265137,72636,2021-09-06
2021-09-13,13.800000190734863,13.800000190734863,14.899999618530273,13.649999618530273,14.649999618530273,198108,2021-09-13
2021-09-20,12.100000381469727,12.100000381469727,14.449999809265137,12.050000190734863,14.449999809265137,532434,2021-09-20
2021-09-27,15.0,15.0,15.0,12.0,12.149999618530273,294957,2021-09-27
2021-10-04,17.850000381469727,17.850000381469727,18.399999618530273,15.5,15.75,428208,2021-10-04
2021-10-11,15.149999618530273,15.149999618530273,18.600000381469727,15.050000190734863,18.299999237060547,243018,2021-10-11
2021-10-18,15.050000190734863,15.050000190734863,16.899999618530273,14.75,15.600000381469727,249640,2021-10-18
2021-10-25,14.600000381469727,14.600000381469727,15.600000381469727,13.800000190734863,15.550000190734863,145766,2021-10-25
2021-11-01,15.350000381469727,15.350000381469727,15.899999618530273,14.5,14.850000381469727,86477,2021-11-01
2021-11-08,16.5,16.5,16.5,14.75,15.350000381469727,163878,2021-11-08
2021-11-15,20.0,20.0,20.0,17.299999237060547,17.299999237060547,439608,2021-11-15
2021-11-22,23.149999618530273,23.149999618530273,23.149999618530273,19.0,21.0,844557,2021-11-22
2021-11-29,19.149999618530273,19.149999618530273,24.25,19.049999237060547,24.25,972781,2021-11-29
2021-12-06,18.899999618530273,18.899999618530273,19.899999618530273,16.299999237060547,18.200000762939453,299301,2021-12-06
2021-12-13,18.5,18.5,20.200000762939453,18.149999618530273,19.649999618530273,220014,2021-12-13
2021-12-20,17.049999237060547,17.049999237060547,18.5,16.600000381469727,18.5,140104,2021-12-20
2021-12-27,19.200000762939453,19.200000762939453,19.5,16.850000381469727,17.899999618530273,259060,2021-12-27
2022-01-03,16.350000381469727,16.350000381469727,19.0,16.350000381469727,19.0,405761,2022-01-03
2022-01-10,16.700000762939453,16.700000762939453,18.0,15.550000190734863,16.600000381469727,423897,2022-01-10
2022-01-17,14.550000190734863,14.550000190734863,17.100000381469727,14.100000381469727,17.0,682939,2022-01-17
2022-01-24,14.550000190734863,14.550000190734863,15.350000381469727,14.050000190734863,14.149999618530273,380823,2022-01-24
2022-01-31,14.600000381469727,14.600000381469727,14.899999618530273,13.550000190734863,14.800000190734863,347802,2022-01-31
2022-02-07,13.5,13.5,14.899999618530273,13.399999618530273,14.899999618530273,324450,2022-02-07
2022-02-14,13.75,13.75,14.199999809265137,12.649999618530273,13.649999618530273,376661,2022-02-14
2022-02-21,11.75,11.75,14.050000190734863,11.449999809265137,13.75,348246,2022-02-21
2022-02-28,11.850000381469727,11.850000381469727,12.600000381469727,11.25,11.899999618530273,239015,2022-02-28
2022-03-07,12.899999618530273,12.899999618530273,12.899999618530273,11.0,11.800000190734863,156285,2022-03-07
2022-03-14,14.0,14.0,15.199999809265137,13.199999809265137,13.5,441060,2022-03-14
2022-03-21,13.399999618530273,13.399999618530273,14.699999809265137,13.050000190734863,13.800000190734863,295878,2022-03-21
2022-03-28,13.649999618530273,13.649999618530273,13.850000381469727,12.350000381469727,13.699999809265137,324752,2022-03-28
2022-04-04,13.149999618530273,13.149999618530273,14.850000381469727,12.649999618530273,13.949999809265137,400232,2022-04-04
2022-04-11,13.800000190734863,13.800000190734863,14.399999618530273,12.149999618530273,13.0,721592,2022-04-11
2022-04-18,16.600000381469727,16.600000381469727,18.149999618530273,13.800000190734863,14.100000381469727,3172983,2022-04-18
2022-04-25,14.449999809265137,14.449999809265137,16.799999237060547,14.199999809265137,16.799999237060547,804027,2022-04-25
2022-05-02,14.100000381469727,14.100000381469727,15.199999809265137,13.350000381469727,14.649999618530273,375772,2022-05-02
2022-05-09,12.050000190734863,12.050000190734863,14.199999809265137,11.75,14.149999618530273,217442,2022-05-09
2022-05-16,13.800000190734863,13.800000190734863,14.149999618530273,12.25,12.350000381469727,144672,2022-05-16
2022-05-23,12.949999809265137,12.949999809265137,14.300000190734863,12.399999618530273,13.800000190734863,116603,2022-05-23
2022-05-30,12.850000381469727,12.850000381469727,13.449999809265137,12.449999809265137,13.449999809265137,142693,2022-05-30
2022-06-06,12.949999809265137,12.949999809265137,13.800000190734863,12.350000381469727,12.699999809265137,343987,2022-06-06
2022-06-13,11.600000381469727,11.600000381469727,13.100000381469727,11.199999809265137,12.850000381469727,109868,2022-06-13
2022-06-20,10.649999618530273,10.649999618530273,11.649999618530273,10.350000381469727,11.600000381469727,63559,2022-06-20
2022-06-27,11.149999618530273,11.149999618530273,11.5,10.449999809265137,11.350000381469727,115392,2022-06-27
2022-07-04,12.149999618530273,12.149999618530273,13.699999809265137,10.699999809265137,11.399999618530273,304225,2022-07-04
2022-07-11,14.699999809265137,14.699999809265137,14.75,12.0,12.149999618530273,564237,2022-07-11
2022-07-18,14.149999618530273,14.149999618530273,15.699999809265137,13.800000190734863,14.649999618530273,894594,2022-07-18
2022-07-25,13.5,13.5,14.25,12.649999618530273,14.149999618530273,125920,2022-07-25
2022-08-01,13.399999618530273,13.399999618530273,14.399999618530273,13.0,13.699999809265137,139018,2022-08-01
2022-08-08,13.149999618530273,13.149999618530273,13.800000190734863,12.899999618530273,13.699999809265137,52469,2022-08-08
2022-08-15,13.100000381469727,13.100000381469727,13.5,12.800000190734863,13.149999618530273,87914,2022-08-15
2022-08-22,14.899999618530273,14.899999618530273,14.899999618530273,12.050000190734863,13.100000381469727,392530,2022-08-22
2022-08-29,14.399999618530273,14.399999618530273,17.149999618530273,14.300000190734863,16.350000381469727,1269489,2022-08-29
2022-09-05,15.300000190734863,15.300000190734863,16.450000762939453,14.199999809265137,14.699999809265137,357906,2022-09-05
2022-09-12,14.350000381469727,14.350000381469727,16.399999618530273,14.100000381469727,15.600000381469727,270832,2022-09-12
2022-09-19,14.050000190734863,14.050000190734863,14.699999809265137,13.899999618530273,14.649999618530273,135117,2022-09-19
2022-09-26,13.050000190734863,13.050000190734863,13.899999618530273,12.850000381469727,13.699999809265137,63648,2022-09-26
2022-10-03,13.199999809265137,13.199999809265137,13.949999809265137,12.649999618530273,13.550000190734863,75676,2022-10-03
2022-10-10,12.449999809265137,12.449999809265137,14.050000190734863,12.25,13.100000381469727,158599,2022-10-10
2022-10-17,12.800000190734863,12.800000190734863,13.649999618530273,11.899999618530273,12.350000381469727,131738,2022-10-17
2022-10-24,12.300000190734863,12.300000190734863,13.399999618530273,12.0,12.699999809265137,100556,2022-10-24
2022-10-31,12.600000381469727,12.600000381469727,13.199999809265137,12.0,12.75,141281,2022-10-31
2022-11-07,12.350000381469727,12.350000381469727,13.0,12.149999618530273,12.600000381469727,125808,2022-11-07
2022-11-14,11.449999809265137,11.449999809265137,12.800000190734863,11.350000381469727,12.199999809265137,180759,2022-11-14
2022-11-21,11.300000190734863,11.300000190734863,11.75,10.850000381469727,11.699999809265137,79947,2022-11-21
2022-11-28,11.699999809265137,11.699999809265137,12.0,11.050000190734863,11.600000381469727,113346,2022-11-28
2022-12-05,12.699999809265137,12.699999809265137,14.199999809265137,12.0,12.0,449892,2022-12-05
2022-12-12,12.949999809265137,12.949999809265137,13.699999809265137,11.300000190734863,13.149999618530273,262087,2022-12-12
2022-12-19,11.699999809265137,11.699999809265137,14.0,11.550000190734863,12.949999809265137,169076,2022-12-19
2022-12-26,11.899999618530273,11.899999618530273,12.649999618530273,11.199999809265137,11.600000381469727,172644,2022-12-26
2023-01-02,11.899999618530273,11.899999618530273,12.449999809265137,11.0,11.899999618530273,121809,2023-01-02
2023-01-09,11.949999809265137,11.949999809265137,12.600000381469727,11.5,11.850000381469727,120718,2023-01-09
2023-01-16,11.699999809265137,11.699999809265137,12.199999809265137,11.300000190734863,11.949999809265137,93361,2023-01-16
2023-01-23,11.100000381469727,11.100000381469727,12.300000190734863,11.0,12.300000190734863,62588,2023-01-23
2023-01-30,11.050000190734863,11.050000190734863,12.0,10.350000381469727,11.149999618530273,145075,2023-01-30
2023-02-06,12.699999809265137,12.699999809265137,13.5,10.5,10.5,506107,2023-02-06
2023-02-13,11.550000190734863,11.550000190734863,13.449999809265137,11.300000190734863,12.5,155267,2023-02-13
2023-02-20,11.050000190734863,11.050000190734863,12.5,10.449999809265137,11.350000381469727,116470,2023-02-20
2023-02-27,11.399999618530273,11.399999618530273,12.5,10.5,10.75,89524,2023-02-27
2023-03-06,11.100000381469727,11.100000381469727,12.0,11.0,11.699999809265137,93235,2023-03-06
2023-03-13,10.350000381469727,10.350000381469727,11.699999809265137,9.899999618530273,11.0,123347,2023-03-13
2023-03-20,13.149999618530273,13.149999618530273,17.299999237060547,10.199999809265137,10.25,2725982,2023-03-20
2023-03-27,12.0,12.0,14.399999618530273,11.600000381469727,13.199999809265137,371823,2023-03-27
2023-04-03,12.149999618530273,12.149999618530273,12.449999809265137,11.350000381469727,12.449999809265137,213408,2023-04-03
2023-04-10,12.149999618530273,12.149999618530273,13.25,12.100000381469727,12.399999618530273,134824,2023-04-10
2023-04-17,12.149999618530273,12.149999618530273,12.75,11.850000381469727,12.449999809265137,137398,2023-04-17
2023-04-24,12.050000190734863,12.050000190734863,12.300000190734863,11.350000381469727,12.0,93246,2023-04-24
2023-05-01,11.699999809265137,11.699999809265137,12.199999809265137,11.399999618530273,12.050000190734863,203864,2023-05-01
2023-05-08,12.25,12.25,12.25,11.550000190734863,12.0,107664,2023-05-08
2023-05-15,11.800000190734863,11.800000190734863,12.800000190734863,11.75,12.800000190734863,107183,2023-05-15
2023-05-22,11.850000381469727,11.850000381469727,12.399999618530273,11.699999809265137,11.699999809265137,155754,2023-05-22
2023-05-29,12.550000190734863,12.550000190734863,12.649999618530273,11.800000190734863,12.0,255133,2023-05-29
2023-06-05,12.649999618530273,12.649999618530273,13.300000190734863,12.149999618530273,12.550000190734863,170204,2023-06-05
2023-06-12,12.0,12.0,13.149999618530273,12.0,13.149999618530273,172084,2023-06-12
2023-06-19,12.100000381469727,12.100000381469727,12.899999618530273,12.0,12.050000190734863,334663,2023-06-19
2023-06-26,13.100000381469727,13.100000381469727,13.100000381469727,11.75,12.149999618530273,142143,2023-06-26
2023-07-03,13.949999809265137,13.949999809265137,14.550000190734863,13.449999809265137,13.75,436349,2023-07-03
2023-07-10,13.5,13.5,14.300000190734863,12.899999618530273,13.75,160251,2023-07-10
2023-07-17,14.25,14.25,14.800000190734863,13.25,13.800000190734863,301858,2023-07-17
2023-07-24,14.600000381469727,14.600000381469727,15.649999618530273,13.699999809265137,14.75,736482,2023-07-24
2023-07-31,15.75,15.75,16.450000762939453,14.5,14.699999809265137,511134,2023-07-31
