Date,Adj Close_SWSOLAR.NS,Close_SWSOLAR.NS,High_SWSOLAR.NS,Low_SWSOLAR.NS,Open_SWSOLAR.NS,Volume_SWSOLAR.NS,Date
2020-07-13,244.9499969482422,244.9499969482422,250.9499969482422,220.25,224.89999389648438,1023773,2020-07-13
2020-07-20,224.60000610351562,224.60000610351562,250.0500030517578,222.0,249.6999969482422,727709,2020-07-20
2020-07-27,223.75,223.75,244.60000610351562,218.5500030517578,230.0,877533,2020-07-27
2020-08-03,236.10000610351562,236.10000610351562,247.25,215.0,223.5,1688115,2020-08-03
2020-08-10,250.0500030517578,250.0500030517578,268.20001220703125,237.35000610351562,237.35000610351562,1919174,2020-08-10
2020-08-17,277.3999938964844,277.3999938964844,286.5,244.9499969482422,253.39999389648438,1896931,2020-08-17
2020-08-24,267.8999938964844,267.8999938964844,289.0,259.3500061035156,283.0,1571842,2020-08-24
2020-08-31,268.79998779296875,268.79998779296875,285.5,244.25,269.8999938964844,1292469,2020-08-31
2020-09-07,268.79998779296875,268.79998779296875,285.0,263.75,281.20001220703125,1757023,2020-09-07
2020-09-14,219.89999389648438,219.89999389648438,279.0,216.60000610351562,270.0,3977491,2020-09-14
2020-09-21,236.5,236.5,257.70001220703125,188.60000610351562,221.0,5602350,2020-09-21
2020-09-28,221.35000610351562,221.35000610351562,244.0,216.0,242.0,967014,2020-09-28
2020-10-05,219.0,219.0,234.8000030517578,214.14999389648438,224.4499969482422,1197190,2020-10-05
2020-10-12,206.4499969482422,206.4499969482422,221.6999969482422,202.0,221.0500030517578,659364,2020-10-12
2020-10-19,230.89999389648438,230.89999389648438,234.8000030517578,205.5,208.0,1235048,2020-10-19
2020-10-26,216.85000610351562,216.85000610351562,235.0,214.8000030517578,229.14999389648438,694077,2020-10-26
2020-11-02,218.64999389648438,218.64999389648438,220.0,211.25,216.85000610351562,347217,2020-11-02
2020-11-09,219.35000610351562,219.35000610351562,230.25,215.3000030517578,222.39999389648438,666596,2020-11-09
2020-11-16,220.14999389648438,220.14999389648438,223.6999969482422,213.39999389648438,217.64999389648438,756816,2020-11-16
2020-11-23,222.4499969482422,222.4499969482422,227.89999389648438,218.0500030517578,222.8000030517578,1279313,2020-11-23
2020-11-30,244.1999969482422,244.1999969482422,254.0,219.0,222.4499969482422,3104476,2020-11-30
2020-12-07,262.3999938964844,262.3999938964844,294.8500061035156,240.75,245.0,4302316,2020-12-07
2020-12-14,254.9499969482422,254.9499969482422,279.25,251.1999969482422,267.70001220703125,1416189,2020-12-14
2020-12-21,224.25,224.25,257.8500061035156,220.0,256.8999938964844,2728741,2020-12-21
2020-12-28,260.8500061035156,260.8500061035156,274.75,222.25,227.75,12238010,2020-12-28
2021-01-04,269.3500061035156,269.3500061035156,283.54998779296875,257.25,264.3999938964844,6116345,2021-01-04
2021-01-11,262.25,262.25,279.8999938964844,254.1999969482422,271.45001220703125,3333029,2021-01-11
2021-01-18,240.6999969482422,240.6999969482422,268.0,236.0500030517578,262.04998779296875,2353920,2021-01-18
