Date,Adj Close_SANOFI.NS,Close_SANOFI.NS,High_SANOFI.NS,Low_SANOFI.NS,Open_SANOFI.NS,Volume_SANOFI.NS,Date
2020-07-13,7233.47998046875,7761.75,7837.0,7686.39990234375,7730.0,68153,2020-07-13
2020-07-20,7189.91162109375,7715.0,7900.0,7675.0,7794.0,134912,2020-07-20
2020-07-27,7239.07177734375,7767.75,7960.0,7570.0,7671.7001953125,143859,2020-07-27
2020-08-03,7614.830078125,8170.9501953125,8446.9501953125,7849.0,7868.0,167338,2020-08-03
2020-08-10,7754.99267578125,8321.349609375,8528.7998046875,8130.0,8178.0,178919,2020-08-10
2020-08-17,8207.822265625,8807.25,8948.0,8225.0498046875,8350.0,139617,2020-08-17
2020-08-24,8075.4873046875,8665.25,8989.0,8590.0498046875,8988.0,92109,2020-08-24
2020-08-31,7834.626953125,8406.7998046875,8756.9501953125,7650.0,8669.400390625,100207,2020-08-31
2020-09-07,7693.95068359375,8255.849609375,8850.0,8159.89990234375,8400.0,119395,2020-09-07
2020-09-14,7901.8671875,8478.9501953125,8918.9501953125,8274.75,8389.849609375,102693,2020-09-14
2020-09-21,7931.2236328125,8510.4501953125,8631.650390625,8170.0,8539.0,67884,2020-09-21
2020-09-28,8109.96875,8702.25,8740.0,8401.0,8510.0,95516,2020-09-28
2020-10-05,8041.84521484375,8629.150390625,8786.849609375,8551.099609375,8702.25,80223,2020-10-05
2020-10-12,8068.1240234375,8657.349609375,8703.9501953125,8412.2998046875,8703.9501953125,61391,2020-10-12
2020-10-19,7854.01123046875,8427.599609375,8730.0,8320.0,8657.0,99702,2020-10-19
2020-10-26,7455.7470703125,8000.25,8497.9501953125,7880.0,8431.0,90628,2020-10-26
2020-11-02,7751.73095703125,8317.849609375,8410.400390625,7915.25,8070.64990234375,69996,2020-11-02
2020-11-09,7602.20166015625,8157.39990234375,8368.0,7955.0,8300.0,109232,2020-11-09
2020-11-16,7651.22216796875,8210.0,8240.0,7973.0,8075.39990234375,95998,2020-11-16
2020-11-23,7704.66796875,8267.349609375,8365.0498046875,8022.0498046875,8210.0498046875,171286,2020-11-23
2020-11-30,7362.2275390625,7899.89990234375,8267.349609375,7811.75,8267.349609375,127443,2020-11-30
2020-12-07,7385.060546875,7924.39990234375,8099.9501953125,7818.5498046875,7948.9501953125,186508,2020-12-07
2020-12-14,7446.9873046875,7990.85009765625,8036.0,7786.25,7900.0498046875,182276,2020-12-14
2020-12-21,7600.57080078125,8155.64990234375,8169.35009765625,7840.0,8005.0,78986,2020-12-21
2020-12-28,7708.35009765625,8271.2998046875,8397.9501953125,8102.0,8214.0,86947,2020-12-28
2021-01-04,7647.81982421875,8206.349609375,8400.0,8105.0,8320.0,98221,2021-01-04
