Date,Adj Close_SCODATUBES.NS,Close_SCODATUBES.NS,High_SCODATUBES.NS,Low_SCODATUBES.NS,Open_SCODATUBES.NS,Volume_SCODATUBES.NS,Date
2025-06-02,153.1300048828125,153.1300048828125,160.5,135.10000610351562,140.0,8566498,2025-06-02
2025-06-09,179.7100067138672,179.7100067138672,193.3000030517578,147.0,153.1300048828125,4906492,2025-06-09
2025-06-16,192.24000549316406,192.24000549316406,205.0,170.72000122070312,177.5500030517578,6773424,2025-06-16
2025-06-23,193.1300048828125,193.1300048828125,213.42999267578125,187.39999389648438,190.94000244140625,8322473,2025-06-23
2025-06-30,205.22000122070312,205.22000122070312,219.49000549316406,191.1999969482422,194.14999389648438,7283498,2025-06-30
2025-07-07,212.50999450683594,212.50999450683594,222.0,195.11000061035156,205.0,10604019,2025-07-07
2025-07-14,212.2100067138672,212.2100067138672,230.85000610351562,207.02000427246094,213.25,9715872,2025-07-14
