Date,Adj Close_CIGNITITEC.NS,Close_CIGNITITEC.NS,High_CIGNITITEC.NS,Low_CIGNITITEC.NS,Open_CIGNITITEC.NS,Volume_CIGNITITEC.NS,Date
2020-07-13,255.20799255371094,258.8999938964844,266.70001220703125,254.85000610351562,266.6499938964844,57925,2020-07-13
2020-07-20,254.813720703125,258.5,265.04998779296875,254.14999389648438,262.95001220703125,91595,2020-07-20
2020-07-27,265.70611572265625,269.54998779296875,275.0,253.0,263.0,144598,2020-07-27
2020-08-03,259.298828125,263.04998779296875,299.3999938964844,259.8500061035156,271.0,349086,2020-08-03
2020-08-10,278.0278625488281,282.04998779296875,288.79998779296875,260.0,265.0,274826,2020-08-10
2020-08-17,315.3874206542969,319.95001220703125,334.1000061035156,269.79998779296875,286.0,1096328,2020-08-17
2020-08-24,312.8244934082031,317.3500061035156,329.79998779296875,306.0,320.0,318726,2020-08-24
2020-08-31,282.611572265625,286.70001220703125,323.0,282.3500061035156,323.0,251061,2020-08-31
2020-09-07,283.35089111328125,287.45001220703125,295.5,281.5,289.0,125195,2020-09-07
2020-09-14,349.8882751464844,354.95001220703125,364.04998779296875,287.95001220703125,288.95001220703125,541187,2020-09-14
2020-09-21,378.0804443359375,383.54998779296875,410.0,356.0,357.0,848937,2020-09-21
2020-09-28,416.82000732421875,422.8500061035156,430.0,383.0,383.0,623066,2020-09-28
2020-10-05,465.4169616699219,472.1499938964844,497.04998779296875,421.0,421.0,658986,2020-10-05
2020-10-12,479.5130920410156,486.45001220703125,504.8999938964844,465.1499938964844,476.0,270448,2020-10-12
2020-10-19,458.3196716308594,464.95001220703125,498.0,455.0,486.5,229043,2020-10-19
2020-10-26,451.4687805175781,458.0,470.0,433.6000061035156,463.0,249333,2020-10-26
2020-11-02,433.7254638671875,440.0,461.79998779296875,435.5,446.0,230158,2020-11-02
2020-11-09,433.82403564453125,440.1000061035156,454.95001220703125,390.6000061035156,442.0,409142,2020-11-09
2020-11-16,425.9380798339844,432.1000061035156,458.8500061035156,416.5,438.45001220703125,192458,2020-11-16
2020-11-23,415.19354248046875,421.20001220703125,439.6499938964844,415.5,439.6499938964844,139894,2020-11-23
2020-11-30,423.57232666015625,429.70001220703125,443.8999938964844,410.1000061035156,421.20001220703125,213740,2020-11-30
2020-12-07,412.6799011230469,418.6499938964844,449.3999938964844,410.0,430.3500061035156,166942,2020-12-07
2020-12-14,408.9341125488281,414.8500061035156,444.0,412.79998779296875,426.8999938964844,253199,2020-12-14
2020-12-21,390.3528747558594,396.0,420.8999938964844,366.79998779296875,416.95001220703125,245990,2020-12-21
2020-12-28,384.53704833984375,390.1000061035156,420.0,381.20001220703125,398.0,212070,2020-12-28
2021-01-04,383.3541564941406,388.8999938964844,397.0,380.0,392.1000061035156,243433,2021-01-04
2021-01-11,420.51654052734375,426.6000061035156,446.95001220703125,385.0,390.8500061035156,637857,2021-01-11
2021-01-18,406.8147888183594,412.70001220703125,444.79998779296875,401.5,428.75,433796,2021-01-18
2021-01-25,362.60430908203125,367.8500061035156,416.8999938964844,352.3500061035156,416.8999938964844,249796,2021-01-25
2021-02-01,365.0193786621094,370.29998779296875,394.70001220703125,361.6499938964844,365.5,351622,2021-02-01
