Date,Adj Close_APARINDS.NS,Close_APARINDS.NS,High_APARINDS.NS,Low_APARINDS.NS,Open_APARINDS.NS,Volume_APARINDS.NS,Date
2020-07-13,296.57965087890625,309.70001220703125,332.70001220703125,306.04998779296875,320.04998779296875,116670,2020-07-13
2020-07-20,295.382568359375,308.45001220703125,316.54998779296875,304.79998779296875,311.95001220703125,77161,2020-07-20
2020-07-27,289.541015625,302.3500061035156,311.0,300.0,311.0,68155,2020-07-27
2020-08-03,291.12109375,304.0,318.75,288.0,306.0,240618,2020-08-03
2020-08-10,297.4414978027344,310.6000061035156,321.6499938964844,299.25,305.0,284729,2020-08-10
2020-08-17,332.921875,347.6499938964844,354.8999938964844,304.79998779296875,318.0,677045,2020-08-17
2020-08-24,333.01763916015625,347.75,377.0,339.1499938964844,351.1000061035156,959839,2020-08-24
2020-08-31,306.2995910644531,319.8500061035156,355.0,315.0,351.0,388197,2020-08-31
2020-09-07,305.0546569824219,318.54998779296875,326.8500061035156,306.75,324.79998779296875,191627,2020-09-07
2020-09-14,301.65509033203125,315.0,334.79998779296875,313.5,320.1499938964844,148263,2020-09-14
2020-09-21,277.1875305175781,289.45001220703125,316.95001220703125,281.0,316.95001220703125,215977,2020-09-21
2020-09-28,276.9001770019531,289.1499938964844,299.8999938964844,286.8500061035156,291.3500061035156,87454,2020-09-28
2020-10-05,277.570556640625,289.8500061035156,304.95001220703125,288.6499938964844,290.6000061035156,87119,2020-10-05
2020-10-12,272.06414794921875,284.1000061035156,297.3999938964844,281.6000061035156,291.25,54412,2020-10-12
2020-10-19,277.7142028808594,290.0,310.0,280.6000061035156,285.54998779296875,67702,2020-10-19
2020-10-26,275.36798095703125,287.54998779296875,304.79998779296875,283.0,291.45001220703125,71322,2020-10-26
2020-11-02,286.95538330078125,299.6499938964844,314.3999938964844,283.3999938964844,287.04998779296875,365044,2020-11-02
2020-11-09,301.8945007324219,315.25,317.70001220703125,300.8999938964844,301.1499938964844,211702,2020-11-09
2020-11-16,315.1577453613281,329.1000061035156,334.04998779296875,309.5,311.29998779296875,224258,2020-11-16
2020-11-23,334.21466064453125,349.0,358.0,329.5,329.5,322240,2020-11-23
2020-11-30,345.8977966308594,361.20001220703125,372.3999938964844,349.0,349.0,208825,2020-11-30
2020-12-07,373.1904602050781,389.70001220703125,401.25,358.20001220703125,360.0,449798,2020-12-07
2020-12-14,340.39141845703125,355.45001220703125,396.45001220703125,353.1000061035156,391.6499938964844,178769,2020-12-14
2020-12-21,330.71929931640625,345.3500061035156,358.45001220703125,323.0,356.8500061035156,343229,2020-12-21
2020-12-28,333.1612548828125,347.8999938964844,363.1000061035156,345.29998779296875,349.70001220703125,154469,2020-12-28
2021-01-04,343.5516357421875,358.75,369.79998779296875,342.0,359.95001220703125,315891,2021-01-04
2021-01-11,367.9234619140625,384.20001220703125,418.0,356.75,361.0,2454420,2021-01-11
2021-01-18,344.1262512207031,359.3500061035156,395.70001220703125,357.5,384.95001220703125,350038,2021-01-18
2021-01-25,348.2919006347656,363.70001220703125,409.0,352.04998779296875,374.95001220703125,340849,2021-01-25
2021-02-01,357.5330810546875,373.3500061035156,397.0,362.0,369.79998779296875,875713,2021-02-01
2021-02-08,420.3539733886719,438.95001220703125,462.3999938964844,376.0,376.20001220703125,4086887,2021-02-08
2021-02-15,445.30035400390625,465.0,488.0,436.1000061035156,444.3999938964844,1222818,2021-02-15
2021-02-22,442.0922546386719,461.6499938964844,473.6000061035156,445.29998779296875,462.0,445065,2021-02-22
2021-03-01,427.9671325683594,446.8999938964844,479.95001220703125,440.0,465.8999938964844,331818,2021-03-01
2021-03-08,437.064697265625,456.3999938964844,465.0,433.20001220703125,446.8999938964844,341892,2021-03-08
2021-03-15,449.75335693359375,469.6499938964844,500.0,444.0,458.3999938964844,483474,2021-03-15
2021-03-22,438.74053955078125,458.1499938964844,478.0,437.04998779296875,471.8999938964844,183133,2021-03-22
2021-03-29,462.68145751953125,483.1499938964844,489.29998779296875,454.8999938964844,458.1499938964844,153846,2021-03-29
2021-04-05,448.79571533203125,468.6499938964844,489.95001220703125,460.0,482.8999938964844,161411,2021-04-05
2021-04-12,434.4311828613281,453.6499938964844,469.0,442.0,465.5,205016,2021-04-12
2021-04-19,434.0481262207031,453.25,474.0,441.0,449.79998779296875,166721,2021-04-19
2021-04-26,473.7900085449219,494.75,560.0,456.0,460.0,2207117,2021-04-26
2021-05-03,472.9281311035156,493.8500061035156,524.5,490.04998779296875,494.75,284655,2021-05-03
