Date,Adj Close_RACE.NS,Close_RACE.NS,High_RACE.NS,Low_RACE.NS,Open_RACE.NS,Volume_RACE.NS,Date
2023-05-08,240.0500030517578,240.0500030517578,263.95001220703125,235.14999389648438,254.0,277280,2023-05-08
2023-05-15,238.0500030517578,238.0500030517578,244.25,232.5,241.89999389648438,123623,2023-05-15
2023-05-22,237.25,237.25,244.75,234.0,238.5500030517578,83566,2023-05-22
2023-05-29,238.0500030517578,238.0500030517578,243.0,233.25,240.0,52146,2023-05-29
2023-06-05,277.75,277.75,308.0,236.39999389648438,241.4499969482422,339726,2023-06-05
2023-06-12,286.1499938964844,286.1499938964844,302.0,276.29998779296875,276.29998779296875,72128,2023-06-12
2023-06-19,258.29998779296875,258.29998779296875,288.79998779296875,254.0,287.1000061035156,86281,2023-06-19
2023-06-26,281.3500061035156,281.3500061035156,291.95001220703125,254.64999389648438,259.1499938964844,118840,2023-06-26
2023-07-03,276.8999938964844,276.8999938964844,290.0,265.8500061035156,285.1000061035156,62351,2023-07-03
2023-07-10,265.20001220703125,265.20001220703125,281.70001220703125,257.0,279.3999938964844,63859,2023-07-10
2023-07-17,255.9499969482422,255.9499969482422,276.1000061035156,252.5500030517578,276.1000061035156,58311,2023-07-17
2023-07-24,250.0,250.0,264.70001220703125,245.0,259.8500061035156,90055,2023-07-24
2023-07-31,247.6999969482422,247.6999969482422,260.0,243.3000030517578,258.0,73930,2023-07-31
2023-08-07,260.3999938964844,260.3999938964844,269.8999938964844,242.25,246.0,192476,2023-08-07
2023-08-14,267.95001220703125,267.95001220703125,282.29998779296875,261.70001220703125,269.8500061035156,121475,2023-08-14
2023-08-21,273.8500061035156,273.8500061035156,281.75,257.0,271.95001220703125,136151,2023-08-21
2023-08-28,274.70001220703125,274.70001220703125,289.0,269.1000061035156,276.8500061035156,142276,2023-08-28
2023-09-04,269.1000061035156,269.1000061035156,279.3500061035156,266.5,276.3500061035156,73313,2023-09-04
2023-09-11,260.20001220703125,260.20001220703125,278.0,251.5,278.0,129648,2023-09-11
2023-09-18,266.6499938964844,266.6499938964844,269.95001220703125,257.8999938964844,262.20001220703125,45282,2023-09-18
2023-09-25,256.45001220703125,256.45001220703125,269.0,253.0500030517578,269.0,95198,2023-09-25
2023-10-02,251.35000610351562,251.35000610351562,259.45001220703125,250.0,256.45001220703125,30705,2023-10-02
2023-10-09,247.60000610351562,247.60000610351562,256.3500061035156,245.35000610351562,251.25,59267,2023-10-09
2023-10-16,247.4499969482422,247.4499969482422,253.5,243.0500030517578,248.5500030517578,45083,2023-10-16
2023-10-23,245.8000030517578,245.8000030517578,249.14999389648438,226.10000610351562,248.0500030517578,60554,2023-10-23
2023-10-30,270.29998779296875,270.29998779296875,274.8500061035156,241.8000030517578,245.85000610351562,74746,2023-10-30
2023-11-06,279.20001220703125,279.20001220703125,284.0,255.10000610351562,270.29998779296875,144110,2023-11-06
2023-11-13,307.75,307.75,311.0,284.3999938964844,286.75,202343,2023-11-13
2023-11-20,328.1499938964844,328.1499938964844,337.8999938964844,310.1499938964844,312.3500061035156,229828,2023-11-20
2023-11-27,361.04998779296875,361.04998779296875,362.95001220703125,328.1499938964844,328.1499938964844,278219,2023-11-27
2023-12-04,390.8500061035156,390.8500061035156,407.5,350.79998779296875,366.0,375419,2023-12-04
2023-12-11,396.3999938964844,396.3999938964844,408.6499938964844,375.04998779296875,392.8999938964844,111497,2023-12-11
2023-12-18,385.3999938964844,385.3999938964844,403.0,374.29998779296875,392.3999938964844,177963,2023-12-18
2023-12-25,374.70001220703125,374.70001220703125,387.95001220703125,371.0,385.3999938964844,44074,2023-12-25
2024-01-01,368.6499938964844,368.6499938964844,379.1499938964844,366.0,378.45001220703125,34427,2024-01-01
2024-01-08,367.79998779296875,367.79998779296875,375.3999938964844,360.0,370.45001220703125,47009,2024-01-08
2024-01-15,352.20001220703125,352.20001220703125,369.3500061035156,342.20001220703125,367.79998779296875,36190,2024-01-15
2024-01-22,359.8999938964844,359.8999938964844,370.1000061035156,352.20001220703125,352.20001220703125,22455,2024-01-22
2024-01-29,362.1499938964844,362.1499938964844,381.45001220703125,345.0,361.6499938964844,71507,2024-01-29
2024-02-05,363.25,363.25,375.70001220703125,353.8500061035156,364.0,37339,2024-02-05
2024-02-12,360.75,360.75,363.25,334.95001220703125,363.25,36505,2024-02-12
2024-02-19,363.8500061035156,363.8500061035156,379.45001220703125,361.8999938964844,362.6000061035156,84831,2024-02-19
2024-02-26,368.45001220703125,368.45001220703125,373.8999938964844,353.0,369.25,48874,2024-02-26
2024-03-04,370.6000061035156,370.6000061035156,382.45001220703125,357.1000061035156,368.29998779296875,62165,2024-03-04
2024-03-11,342.5,342.5,379.75,328.0,372.5,58920,2024-03-11
2024-03-18,339.8999938964844,339.8999938964844,373.0,329.6000061035156,344.70001220703125,35723,2024-03-18
2024-03-25,325.1000061035156,325.1000061035156,356.5,319.54998779296875,339.8999938964844,95614,2024-03-25
2024-04-01,323.0,323.0,342.20001220703125,315.20001220703125,331.6000061035156,82857,2024-04-01
2024-04-08,319.8999938964844,319.8999938964844,332.0,315.25,323.0,81800,2024-04-08
2024-04-15,307.3500061035156,307.3500061035156,319.0,298.1000061035156,317.5,71652,2024-04-15
2024-04-22,330.20001220703125,330.20001220703125,333.0,303.04998779296875,309.0,84543,2024-04-22
2024-04-29,331.8500061035156,331.8500061035156,343.75,319.6000061035156,330.20001220703125,67631,2024-04-29
2024-05-06,326.25,326.25,345.0,310.0,345.0,212100,2024-05-06
2024-05-13,332.6000061035156,332.6000061035156,340.0,312.8999938964844,326.25,46704,2024-05-13
2024-05-20,357.6000061035156,357.6000061035156,368.8500061035156,329.29998779296875,335.79998779296875,116917,2024-05-20
2024-05-27,353.70001220703125,353.70001220703125,370.0,340.0,362.95001220703125,188874,2024-05-27
2024-06-03,382.29998779296875,382.29998779296875,391.25,324.95001220703125,367.0,207045,2024-06-03
2024-06-10,416.20001220703125,416.20001220703125,425.0,371.54998779296875,387.3999938964844,437104,2024-06-10
2024-06-17,429.79998779296875,429.79998779296875,433.0,399.54998779296875,416.20001220703125,179241,2024-06-17
2024-06-24,420.45001220703125,420.45001220703125,445.95001220703125,412.0,439.6499938964844,266558,2024-06-24
2024-07-01,438.79998779296875,438.79998779296875,460.0,423.8999938964844,426.75,652259,2024-07-01
2024-07-08,435.20001220703125,435.20001220703125,449.95001220703125,419.3500061035156,433.0,156142,2024-07-08
2024-07-15,422.1499938964844,422.1499938964844,440.0,415.0,440.0,48332,2024-07-15
2024-07-22,417.0,417.0,433.3999938964844,400.29998779296875,418.0,128948,2024-07-22
2024-07-29,420.6000061035156,420.6000061035156,441.0,407.25,419.20001220703125,207576,2024-07-29
2024-08-05,418.0,418.0,425.0,391.1499938964844,406.1000061035156,66984,2024-08-05
2024-08-12,403.1499938964844,403.1499938964844,436.0,399.95001220703125,420.0,468813,2024-08-12
2024-08-19,409.6499938964844,409.6499938964844,417.20001220703125,403.8500061035156,404.5,523547,2024-08-19
2024-08-26,430.29998779296875,430.29998779296875,439.04998779296875,404.5,415.0,557930,2024-08-26
2024-09-02,419.5,419.5,454.79998779296875,416.04998779296875,430.29998779296875,905552,2024-09-02
2024-09-09,430.29998779296875,430.29998779296875,439.20001220703125,415.3500061035156,417.1000061035156,170816,2024-09-09
2024-09-16,417.3999938964844,417.3999938964844,442.0,404.75,427.1499938964844,325806,2024-09-16
2024-09-23,402.79998779296875,402.79998779296875,432.5,399.54998779296875,419.6000061035156,375296,2024-09-23
2024-09-30,378.79998779296875,378.79998779296875,407.45001220703125,375.04998779296875,404.8999938964844,135367,2024-09-30
2024-10-07,382.45001220703125,382.45001220703125,388.29998779296875,356.0,381.54998779296875,162518,2024-10-07
2024-10-14,393.1000061035156,393.1000061035156,404.8500061035156,376.79998779296875,382.0,123622,2024-10-14
2024-10-21,362.0,362.0,390.95001220703125,359.45001220703125,390.04998779296875,166762,2024-10-21
2024-10-28,397.54998779296875,397.54998779296875,404.25,355.0,367.0,163097,2024-10-28
2024-11-04,381.8999938964844,381.8999938964844,395.45001220703125,378.1499938964844,394.95001220703125,54240,2024-11-04
2024-11-11,367.6000061035156,367.6000061035156,390.0,360.0,378.0,114613,2024-11-11
2024-11-18,343.04998779296875,343.04998779296875,376.3999938964844,340.3500061035156,367.54998779296875,39025,2024-11-18
2024-11-25,362.95001220703125,362.95001220703125,384.5,345.5,345.5,79189,2024-11-25
2024-12-02,368.6499938964844,368.6499938964844,387.0,358.25,364.0,90993,2024-12-02
2024-12-09,356.6499938964844,356.6499938964844,386.0,353.5,373.1000061035156,60129,2024-12-09
2024-12-16,339.6499938964844,339.6499938964844,361.6499938964844,338.0,353.3999938964844,61994,2024-12-16
2024-12-23,357.1000061035156,357.1000061035156,369.0,338.54998779296875,341.3999938964844,50861,2024-12-23
2024-12-30,367.5,367.5,385.0,343.3500061035156,353.8999938964844,120148,2024-12-30
2025-01-06,337.29998779296875,337.29998779296875,371.95001220703125,335.0,365.70001220703125,60723,2025-01-06
2025-01-13,344.1000061035156,344.1000061035156,356.0,334.20001220703125,348.6499938964844,44350,2025-01-13
2025-01-20,328.70001220703125,328.70001220703125,344.45001220703125,325.8999938964844,338.5,11533,2025-01-20
2025-01-27,345.20001220703125,345.20001220703125,363.95001220703125,311.20001220703125,327.95001220703125,47528,2025-01-27
2025-02-03,319.54998779296875,319.54998779296875,348.0,313.5,348.0,593015,2025-02-03
2025-02-10,282.0,282.0,326.79998779296875,278.0,319.54998779296875,180678,2025-02-10
2025-02-17,289.0,289.0,320.0,257.95001220703125,282.0,226971,2025-02-17
2025-02-24,275.20001220703125,275.20001220703125,300.6499938964844,264.79998779296875,285.0,38526,2025-02-24
2025-03-03,267.0,267.0,285.6499938964844,251.0,285.04998779296875,101260,2025-03-03
2025-03-10,248.3000030517578,248.3000030517578,269.25,245.75,263.79998779296875,59411,2025-03-10
2025-03-17,277.8999938964844,277.8999938964844,284.6000061035156,242.0,249.4499969482422,182053,2025-03-17
2025-03-24,253.0500030517578,253.0500030517578,283.0,242.0,279.95001220703125,295346,2025-03-24
2025-03-31,248.8000030517578,248.8000030517578,258.79998779296875,245.0,253.0500030517578,93177,2025-03-31
2025-04-07,243.1999969482422,243.1999969482422,246.5,233.1999969482422,240.1999969482422,74148,2025-04-07
2025-04-14,266.1000061035156,266.1000061035156,278.3999938964844,243.3000030517578,245.10000610351562,132125,2025-04-14
2025-04-21,267.45001220703125,267.45001220703125,292.0,263.1499938964844,268.95001220703125,113697,2025-04-21
2025-04-28,253.5,253.5,274.0,252.0500030517578,269.8500061035156,38174,2025-04-28
2025-05-05,243.64999389648438,243.64999389648438,261.45001220703125,240.60000610351562,260.1000061035156,56232,2025-05-05
2025-05-12,274.8500061035156,274.8500061035156,279.0,249.0,249.0,111224,2025-05-12
2025-05-19,265.3999938964844,265.3999938964844,280.25,261.8500061035156,273.95001220703125,49710,2025-05-19
2025-05-26,263.45001220703125,263.45001220703125,271.8999938964844,256.1000061035156,265.0,107559,2025-05-26
2025-06-02,253.35000610351562,253.35000610351562,270.0,244.25,263.5,155351,2025-06-02
2025-06-09,252.35000610351562,252.35000610351562,264.0,249.0,254.60000610351562,75150,2025-06-09
2025-06-16,248.35000610351562,248.35000610351562,264.6499938964844,247.0,253.4499969482422,84413,2025-06-16
2025-06-23,248.5500030517578,248.5500030517578,257.6499938964844,246.10000610351562,249.0,39925,2025-06-23
2025-06-30,241.6699981689453,241.6699981689453,253.0,237.6300048828125,251.75,56556,2025-06-30
2025-07-07,231.94000244140625,231.94000244140625,243.05999755859375,228.80999755859375,243.0,52446,2025-07-07
2025-07-14,234.2100067138672,234.2100067138672,235.0,229.0,229.0,9354,2025-07-14
