Date,Adj Close_JSWINFRA.NS,Close_JSWINFRA.NS,High_JSWINFRA.NS,Low_JSWINFRA.NS,Open_JSWINFRA.NS,Volume_JSWINFRA.NS,Date
2023-10-02,170.8814697265625,171.60000610351562,173.35000610351562,142.1999969482422,143.0,206518000,2023-10-02
2023-10-09,169.53709411621094,170.25,175.8000030517578,161.1999969482422,168.0,33958391,2023-10-09
2023-10-16,175.36260986328125,176.10000610351562,186.35000610351562,165.75,170.89999389648438,40978365,2023-10-16
2023-10-23,175.46218872070312,176.1999969482422,179.9499969482422,162.0500030517578,177.1999969482422,18457887,2023-10-23
2023-10-30,170.73208618164062,171.4499969482422,177.39999389648438,167.64999389648438,177.39999389648438,15149739,2023-10-30
2023-11-06,202.2495574951172,203.10000610351562,215.4499969482422,177.1999969482422,179.0,78347282,2023-11-06
2023-11-13,208.423583984375,209.3000030517578,220.0,196.5,202.9499969482422,29177830,2023-11-13
2023-11-20,205.1374053955078,206.0,212.4499969482422,202.5500030517578,211.0,16796421,2023-11-20
2023-11-27,218.92942810058594,219.85000610351562,224.5,202.60000610351562,206.75,24093970,2023-11-27
2023-12-04,227.443603515625,228.39999389648438,247.5,216.5500030517578,227.60000610351562,44488255,2023-12-04
2023-12-11,230.63021850585938,231.60000610351562,242.39999389648438,229.4499969482422,230.0,22309442,2023-12-11
2023-12-18,219.57669067382812,220.5,235.85000610351562,205.64999389648438,220.0,27582820,2023-12-18
2023-12-25,207.4277801513672,208.3000030517578,223.0,208.0,221.3000030517578,14792437,2023-12-25
2024-01-01,217.98338317871094,218.89999389648438,223.60000610351562,207.5,208.3000030517578,21306253,2024-01-01
2024-01-08,210.11647033691406,211.0,219.75,210.5,219.6999969482422,17173671,2024-01-08
2024-01-15,213.20350646972656,214.10000610351562,217.60000610351562,207.5,212.0,14351080,2024-01-15
2024-01-22,205.98385620117188,206.85000610351562,215.60000610351562,203.64999389648438,215.1999969482422,8685423,2024-01-22
2024-01-29,223.5599365234375,224.5,228.0,205.14999389648438,207.5,26272622,2024-01-29
2024-02-05,209.36961364746094,210.25,231.0,205.0,228.6999969482422,21031732,2024-02-05
2024-02-12,219.72605895996094,220.64999389648438,225.5,206.60000610351562,212.89999389648438,19361432,2024-02-12
2024-02-19,261.3510437011719,262.45001220703125,265.0,219.5500030517578,222.0,65462967,2024-02-19
2024-02-26,259.0108947753906,260.1000061035156,276.20001220703125,244.5,268.0,40162860,2024-02-26
2024-03-04,249.15232849121094,250.1999969482422,266.70001220703125,246.5,261.3999938964844,15085696,2024-03-04
2024-03-11,230.72979736328125,231.6999969482422,257.79998779296875,211.10000610351562,251.6999969482422,32194929,2024-03-11
2024-03-18,238.0490264892578,239.0500030517578,249.89999389648438,231.75,232.9499969482422,23310504,2024-03-18
2024-03-25,244.32264709472656,245.35000610351562,255.3000030517578,238.25,242.4499969482422,20730997,2024-03-25
2024-04-01,249.7000274658203,250.75,257.0,242.35000610351562,245.85000610351562,25510086,2024-04-01
2024-04-08,240.04063415527344,241.0500030517578,254.85000610351562,238.0500030517578,253.0,16381348,2024-04-08
2024-04-15,238.19839477539062,239.1999969482422,244.3000030517578,230.5500030517578,234.0500030517578,11795510,2024-04-15
2024-04-22,251.44268798828125,252.5,254.39999389648438,241.25,242.0,16008412,2024-04-22
2024-04-29,257.4175720214844,258.5,264.0,244.85000610351562,254.4499969482422,24453679,2024-04-29
2024-05-06,244.42221069335938,245.4499969482422,260.0,240.5,259.75,15777020,2024-05-06
2024-05-13,274.3464050292969,275.5,278.0,242.60000610351562,245.4499969482422,29024801,2024-05-13
2024-05-20,274.147216796875,275.29998779296875,285.45001220703125,268.8500061035156,275.0,18095567,2024-05-20
2024-05-27,281.8647766113281,283.04998779296875,299.25,277.0,277.0,27560301,2024-05-27
2024-06-03,285.3003234863281,286.5,299.95001220703125,250.0,299.8999938964844,31513384,2024-06-03
2024-06-10,299.1421203613281,300.3999938964844,308.79998779296875,278.6000061035156,288.5,27127878,2024-06-10
2024-06-17,308.6023254394531,309.8999938964844,317.95001220703125,301.0,303.54998779296875,36480146,2024-06-17
2024-06-24,327.0248718261719,328.3999938964844,336.0,305.0,309.0,24120893,2024-06-24
2024-07-01,355.15655517578125,356.6499938964844,360.95001220703125,330.0,330.3999938964844,24530326,2024-07-01
2024-07-08,337.7796630859375,339.20001220703125,356.95001220703125,333.0,356.95001220703125,9896383,2024-07-08
2024-07-15,314.3780517578125,315.70001220703125,344.6000061035156,313.20001220703125,341.0,10180189,2024-07-15
2024-07-22,342.8717041015625,343.75,354.5,308.04998779296875,320.3999938964844,19195117,2024-07-22
2024-07-29,325.0672912597656,325.8999938964844,349.29998779296875,323.29998779296875,347.0,7422291,2024-07-29
2024-08-05,317.2373352050781,318.04998779296875,325.79998779296875,310.0,313.0,8101017,2024-08-05
2024-08-12,312.7987365722656,313.6000061035156,321.8500061035156,309.04998779296875,314.0,3845885,2024-08-12
2024-08-19,310.155517578125,310.95001220703125,318.0,310.5,316.95001220703125,4681956,2024-08-19
2024-08-26,323.7706298828125,324.6000061035156,336.45001220703125,308.6499938964844,313.8999938964844,6869064,2024-08-26
2024-09-02,306.2156066894531,307.0,325.95001220703125,302.25,324.6000061035156,9387723,2024-09-02
2024-09-09,331.0519714355469,331.8999938964844,338.0,303.25,307.1499938964844,25066460,2024-09-09
2024-09-16,335.54046630859375,336.3999938964844,344.79998779296875,321.6000061035156,334.0,18368401,2024-09-16
2024-09-23,351.798828125,352.70001220703125,355.0,336.0,339.3999938964844,18566902,2024-09-23
2024-09-30,330.1044006347656,330.95001220703125,352.8999938964844,324.0,352.8999938964844,8051134,2024-09-30
2024-10-07,320.4291687011719,321.25,334.1000061035156,308.25,332.1000061035156,11076733,2024-10-07
2024-10-14,319.03277587890625,319.8500061035156,331.0,315.25,323.1499938964844,10426004,2024-10-14
2024-10-21,280.38177490234375,281.1000061035156,322.25,276.0,322.0,11977683,2024-10-21
2024-10-28,319.23223876953125,320.04998779296875,323.3999938964844,277.25,282.54998779296875,22051248,2024-10-28
2024-11-04,303.72198486328125,304.5,321.45001220703125,302.95001220703125,319.1000061035156,7181279,2024-11-04
2024-11-11,289.8575134277344,290.6000061035156,311.95001220703125,288.79998779296875,304.0,5269146,2024-11-11
2024-11-18,303.672119140625,304.45001220703125,312.0,286.6000061035156,292.5,7948898,2024-11-18
2024-11-25,310.75396728515625,311.54998779296875,315.5,303.0,309.70001220703125,5798755,2024-11-25
2024-12-02,326.4138488769531,327.25,333.8500061035156,310.3999938964844,310.3999938964844,10784653,2024-12-02
2024-12-09,321.2770080566406,322.1000061035156,338.04998779296875,317.45001220703125,327.25,11190124,2024-12-09
2024-12-16,307.9112548828125,308.70001220703125,324.3500061035156,304.95001220703125,323.0,5953720,2024-12-16
2024-12-23,322.1747131347656,323.0,326.95001220703125,307.0,315.0,9425643,2024-12-23
2024-12-30,329.7054138183594,330.54998779296875,334.45001220703125,310.0,324.29998779296875,8946722,2024-12-30
2025-01-06,308.1107177734375,308.8999938964844,332.3500061035156,303.1000061035156,332.3500061035156,8517497,2025-01-06
2025-01-13,296.9892272949219,297.75,304.0,286.0,303.8999938964844,6073571,2025-01-13
2025-01-20,272.7014465332031,273.3999938964844,299.79998779296875,272.04998779296875,299.29998779296875,4929602,2025-01-20
2025-01-27,266.1182861328125,266.79998779296875,284.45001220703125,251.1999969482422,263.04998779296875,11985023,2025-01-27
2025-02-03,258.13873291015625,258.79998779296875,268.5,254.0,264.8999938964844,6057452,2025-02-03
2025-02-10,227.91616821289062,228.5,261.1000061035156,224.14999389648438,258.6000061035156,10767383,2025-02-10
2025-02-17,258.637451171875,259.29998779296875,262.1000061035156,218.1999969482422,227.0,19810932,2025-02-17
2025-02-24,254.09909057617188,254.75,261.5,248.6999969482422,252.4499969482422,11250389,2025-02-24
2025-03-03,269.21038818359375,269.8999938964844,275.0,241.14999389648438,255.25,13507624,2025-03-03
2025-03-10,263.62469482421875,264.29998779296875,273.5,257.8999938964844,270.3500061035156,7604672,2025-03-10
2025-03-17,312.0007629394531,312.79998779296875,314.8999938964844,262.25,265.0,19519875,2025-03-17
2025-03-24,318.9828796386719,319.79998779296875,327.79998779296875,302.79998779296875,313.0,15790676,2025-03-24
2025-03-31,307.8613586425781,308.6499938964844,326.8500061035156,304.20001220703125,316.5,5566564,2025-03-31
2025-04-07,295.34344482421875,296.1000061035156,299.8999938964844,277.79998779296875,277.79998779296875,8139878,2025-04-07
2025-04-14,302.8741455078125,303.6499938964844,308.20001220703125,298.8999938964844,301.45001220703125,4846512,2025-04-14
2025-04-21,302.7743835449219,303.54998779296875,314.3999938964844,291.75,305.6499938964844,12011905,2025-04-21
2025-04-28,289.20916748046875,289.95001220703125,306.1000061035156,289.1000061035156,303.0,8789516,2025-04-28
2025-05-05,283.17462158203125,283.8999938964844,296.29998779296875,279.25,292.79998779296875,10849049,2025-05-05
2025-05-12,287.51348876953125,288.25,301.70001220703125,287.5,293.0,58022928,2025-05-12
2025-05-19,286.86517333984375,287.6000061035156,294.6000061035156,281.75,290.75,11177164,2025-05-19
2025-05-26,290.10687255859375,290.8500061035156,294.79998779296875,284.3999938964844,288.95001220703125,7810733,2025-05-26
2025-06-02,302.8741455078125,303.6499938964844,312.25,286.20001220703125,292.0,17281353,2025-06-02
2025-06-09,301.6772155761719,302.45001220703125,318.79998779296875,293.79998779296875,308.95001220703125,15211352,2025-06-09
2025-06-16,300.5800476074219,301.3500061035156,312.95001220703125,295.3999938964844,303.0,8578960,2025-06-16
2025-06-23,315.8409423828125,316.6499938964844,320.70001220703125,297.8500061035156,298.0,15815946,2025-06-23
2025-06-30,304.9189147949219,305.70001220703125,318.79998779296875,303.6000061035156,318.1499938964844,7043429,2025-06-30
2025-07-07,317.04998779296875,317.04998779296875,323.3500061035156,301.0,305.95001220703125,11261629,2025-07-07
2025-07-14,310.0,310.0,323.79998779296875,308.8999938964844,320.0,5225682,2025-07-14
