Date,Adj Close_JAMNAAUTO.NS,Close_JAMNAAUTO.NS,High_JAMNAAUTO.NS,Low_JAMNAAUTO.NS,Open_JAMNAAUTO.NS,Volume_JAMNAAUTO.NS,Date
2020-07-13,27.52385139465332,29.5,31.100000381469727,28.049999237060547,30.5,3559549,2020-07-13
2020-07-20,28.130311965942383,30.149999618530273,30.700000762939453,28.899999618530273,29.600000381469727,8537469,2020-07-20
2020-07-27,26.59084129333496,28.5,30.399999618530273,28.399999618530273,30.299999237060547,3058608,2020-07-27
2020-08-03,31.675758361816406,33.95000076293945,37.20000076293945,28.049999237060547,28.5,25976294,2020-08-03
2020-08-10,36.9472770690918,39.599998474121094,40.900001525878906,31.850000381469727,34.400001525878906,22622035,2020-08-10
2020-08-17,40.865928649902344,43.79999923706055,45.95000076293945,37.75,39.29999923706055,18238198,2020-08-17
2020-08-24,39.60635757446289,42.45000076293945,44.75,41.400001525878906,44.25,5306734,2020-08-24
2020-08-31,44.03816604614258,47.20000076293945,51.650001525878906,39.0,42.599998474121094,17559471,2020-08-31
2020-09-07,43.24510192871094,46.349998474121094,50.70000076293945,42.79999923706055,47.5,9260979,2020-09-07
2020-09-14,47.49031066894531,50.900001525878906,52.150001525878906,46.70000076293945,46.70000076293945,10119312,2020-09-14
2020-09-21,41.93888854980469,44.95000076293945,51.849998474121094,44.0,51.25,8709216,2020-09-21
2020-09-28,41.472381591796875,44.45000076293945,46.70000076293945,43.099998474121094,45.25,4817280,2020-09-28
2020-10-05,40.725982666015625,43.650001525878906,46.0,43.5,44.79999923706055,2876486,2020-10-05
2020-10-12,39.65300750732422,42.5,46.0,40.849998474121094,43.650001525878906,4325716,2020-10-12
2020-10-19,39.233154296875,42.04999923706055,44.099998474121094,39.79999923706055,43.400001525878906,5296511,2020-10-19
2020-10-26,37.553733825683594,40.25,42.349998474121094,40.04999923706055,42.29999923706055,1711132,2020-10-26
2020-11-02,42.21879196166992,45.25,49.79999923706055,40.5,41.900001525878906,14754679,2020-11-02
2020-11-09,44.69127655029297,47.900001525878906,49.400001525878906,45.5,45.54999923706055,6372980,2020-11-09
