Date,Adj Close_RESPONIND.NS,Close_RESPONIND.NS,High_RESPONIND.NS,Low_RESPONIND.NS,Open_RESPONIND.NS,Volume_RESPONIND.NS,Date
2020-07-13,93.96221923828125,94.19999694824219,97.0,87.0999984741211,91.5,719771,2020-07-13
2020-07-20,92.01715087890625,92.25,95.0,84.3499984741211,91.69999694824219,1982438,2020-07-20
2020-07-27,95.50830841064453,95.75,97.0,88.0,93.25,1940507,2020-07-27
2020-08-03,99.3984603881836,99.6500015258789,100.0,91.0999984741211,97.0,1986306,2020-08-03
2020-08-10,97.3536376953125,97.5999984741211,111.69999694824219,93.0,101.94999694824219,2290702,2020-08-10
2020-08-17,96.60552215576172,96.8499984741211,100.0,93.30000305175781,98.1500015258789,1952450,2020-08-17
2020-08-24,99.44833374023438,99.69999694824219,105.0,94.0,97.5,1723889,2020-08-24
2020-08-31,99.24884796142578,99.5,122.0,92.44999694824219,99.80000305175781,2434520,2020-08-31
2020-09-07,98.55061340332031,98.80000305175781,105.0999984741211,94.19999694824219,100.0,1205118,2020-09-07
2020-09-14,95.6080551147461,95.8499984741211,104.9000015258789,94.30000305175781,99.94999694824219,1782387,2020-09-14
2020-09-21,96.00704956054688,96.25,102.94999694824219,91.0,96.05000305175781,1177746,2020-09-21
2020-09-28,104.18634033203125,104.44999694824219,113.5999984741211,96.5,97.55000305175781,1858174,2020-09-28
2020-10-05,114.60997009277344,114.9000015258789,123.30000305175781,102.6500015258789,104.44999694824219,1780657,2020-10-05
2020-10-12,125.13333892822266,125.44999694824219,127.5999984741211,115.0,115.8499984741211,1616881,2020-10-12
2020-10-19,134.36000061035156,134.6999969482422,139.39999389648438,122.05000305175781,127.5,1815948,2020-10-19
2020-10-26,144.63400268554688,145.0,150.4499969482422,128.14999389648438,135.89999389648438,1282667,2020-10-26
2020-11-02,155.65611267089844,156.0500030517578,161.8000030517578,142.0,146.89999389648438,1468188,2020-11-02
2020-11-09,153.16241455078125,153.5500030517578,167.9499969482422,151.39999389648438,158.89999389648438,1245145,2020-11-09
2020-11-16,159.8455047607422,160.25,161.0,146.6999969482422,152.3000030517578,1075651,2020-11-16
2020-11-23,166.37896728515625,166.8000030517578,172.6999969482422,161.0,161.10000610351562,1149266,2020-11-23
2020-11-30,176.45347595214844,176.89999389648438,183.89999389648438,166.8000030517578,166.8000030517578,985443,2020-11-30
2020-12-07,184.4332733154297,184.89999389648438,187.5,175.10000610351562,176.89999389648438,1117314,2020-12-07
2020-12-14,194.009033203125,194.5,200.0,185.14999389648438,185.8000030517578,1143968,2020-12-14
2020-12-21,188.8900604248047,189.3000030517578,200.0,174.5,195.0,419172,2020-12-21
2020-12-28,186.84451293945312,187.25,192.6999969482422,184.64999389648438,192.0,367435,2020-12-28
2021-01-04,185.14817810058594,185.5500030517578,198.6999969482422,183.0,190.0,411410,2021-01-04
2021-01-11,184.2002410888672,184.60000610351562,190.75,181.0,190.0,319318,2021-01-11
2021-01-18,180.4084930419922,180.8000030517578,194.39999389648438,180.0,187.0,265741,2021-01-18
2021-01-25,176.46702575683594,176.85000610351562,187.0,175.89999389648438,183.5,134723,2021-01-25
2021-02-01,181.10696411132812,181.5,190.0,176.0,176.0,489858,2021-02-01
2021-02-08,175.5190887451172,175.89999389648438,194.89999389648438,167.0,181.0,350226,2021-02-08
2021-02-15,174.67092895507812,175.0500030517578,184.35000610351562,172.60000610351562,175.5500030517578,173525,2021-02-15
2021-02-22,175.21974182128906,175.60000610351562,183.5,172.1999969482422,175.0,117501,2021-02-22
2021-03-01,176.76637268066406,177.14999389648438,185.0,170.10000610351562,179.10000610351562,314354,2021-03-01
2021-03-08,185.49742126464844,185.89999389648438,202.0,172.60000610351562,180.8000030517578,467373,2021-03-08
2021-03-15,164.89215087890625,165.25,195.10000610351562,154.89999389648438,186.5,673659,2021-03-15
2021-03-22,159.80319213867188,160.14999389648438,175.89999389648438,153.0,165.25,275301,2021-03-22
2021-03-29,181.70567321777344,182.10000610351562,189.39999389648438,159.14999389648438,160.14999389648438,209809,2021-03-29
2021-04-05,172.42579650878906,172.8000030517578,188.9499969482422,169.4499969482422,185.89999389648438,242498,2021-04-05
2021-04-12,161.34982299804688,161.6999969482422,177.6999969482422,157.25,172.0,239400,2021-04-12
2021-04-19,158.95501708984375,159.3000030517578,164.89999389648438,155.0,160.0,92887,2021-04-19
2021-04-26,159.95286560058594,160.3000030517578,182.0,150.25,158.0,224461,2021-04-26
2021-05-03,155.96151733398438,156.3000030517578,165.5500030517578,155.14999389648438,161.0500030517578,115001,2021-05-03
2021-05-10,157.158935546875,157.5,162.9499969482422,155.8000030517578,160.0,69905,2021-05-10
2021-05-17,161.49951171875,161.85000610351562,171.85000610351562,156.5,158.0,398668,2021-05-17
2021-05-24,153.3172607421875,153.64999389648438,165.0,153.0,165.0,149351,2021-05-24
