Date,Adj Close_NTPCGREEN.NS,Close_NTPCGREEN.NS,High_NTPCGREEN.NS,Low_NTPCGREEN.NS,Open_NTPCGREEN.NS,Volume_NTPCGREEN.NS,Date
2024-11-25,124.83999633789062,124.83999633789062,132.3000030517578,111.5,111.5,547912126,2024-11-25
2024-12-02,143.99000549316406,143.99000549316406,155.35000610351562,124.0,125.80000305175781,282777572,2024-12-02
2024-12-09,144.1300048828125,144.1300048828125,154.39999389648438,138.14999389648438,145.0,138440675,2024-12-09
2024-12-16,131.6699981689453,131.6699981689453,144.8000030517578,130.5399932861328,144.1199951171875,70573008,2024-12-16
2024-12-23,129.83999633789062,129.83999633789062,137.08999633789062,124.30000305175781,136.35000610351562,79620172,2024-12-23
2024-12-30,128.1699981689453,128.1699981689453,133.97999572753906,126.6500015258789,130.97999572753906,48626194,2024-12-30
2025-01-06,116.31999969482422,116.31999969482422,132.9499969482422,115.5199966430664,131.60000610351562,75309095,2025-01-06
2025-01-13,120.98999786376953,120.98999786376953,123.9000015258789,109.41000366210938,114.0,64096527,2025-01-13
2025-01-20,112.31999969482422,112.31999969482422,121.69999694824219,111.38999938964844,121.5,33354767,2025-01-20
2025-01-27,114.91999816894531,114.91999816894531,120.69000244140625,106.4800033569336,110.83000183105469,63316154,2025-01-27
2025-02-03,112.08999633789062,112.08999633789062,115.1500015258789,110.11000061035156,112.80999755859375,33380144,2025-02-03
2025-02-10,106.8499984741211,106.8499984741211,112.61000061035156,104.80999755859375,112.16000366210938,26541469,2025-02-10
2025-02-17,105.55000305175781,105.55000305175781,108.4000015258789,102.76000213623047,105.47000122070312,27885004,2025-02-17
2025-02-24,87.2699966430664,87.2699966430664,103.2300033569336,87.0199966430664,102.12000274658203,104033073,2025-02-24
2025-03-03,97.23999786376953,97.23999786376953,97.63999938964844,84.55000305175781,88.44000244140625,76257592,2025-03-03
2025-03-10,96.25,96.25,99.88999938964844,94.5,97.30000305175781,42076515,2025-03-10
2025-03-17,102.44000244140625,102.44000244140625,102.93000030517578,93.62999725341797,96.30000305175781,39344196,2025-03-17
2025-03-24,100.61000061035156,100.61000061035156,104.80000305175781,97.54000091552734,103.0,47943926,2025-03-24
2025-03-31,96.69000244140625,96.69000244140625,101.3499984741211,95.91999816894531,100.61000061035156,24472985,2025-03-31
2025-04-07,95.79000091552734,95.79000091552734,98.20999908447266,88.73999786376953,89.44999694824219,20536931,2025-04-07
2025-04-14,108.25,108.25,110.94999694824219,95.79000091552734,95.79000091552734,82247959,2025-04-14
2025-04-21,103.37999725341797,103.37999725341797,112.69999694824219,102.30000305175781,109.0,57022876,2025-04-21
2025-04-28,100.5199966430664,100.5199966430664,106.7300033569336,99.51000213623047,102.86000061035156,30469174,2025-04-28
2025-05-05,97.31999969482422,97.31999969482422,102.5,94.5,102.0,29797835,2025-05-05
2025-05-12,104.70999908447266,104.70999908447266,105.69000244140625,100.5199966430664,102.0,37783709,2025-05-12
2025-05-19,111.23999786376953,111.23999786376953,117.63999938964844,101.80000305175781,104.9000015258789,158914157,2025-05-19
2025-05-26,111.26000213623047,111.26000213623047,117.5999984741211,110.83000183105469,111.5,84738034,2025-05-26
2025-06-02,108.73999786376953,108.73999786376953,112.05000305175781,106.5199966430664,111.5,96659286,2025-06-02
2025-06-09,107.44000244140625,107.44000244140625,113.55999755859375,105.5999984741211,109.27999877929688,56827597,2025-06-09
2025-06-16,110.26000213623047,110.26000213623047,112.80000305175781,103.0999984741211,107.44000244140625,90037059,2025-06-16
2025-06-23,105.93000030517578,105.93000030517578,110.44999694824219,105.75,108.5199966430664,37749963,2025-06-23
2025-06-30,106.55000305175781,106.55000305175781,108.0,104.19999694824219,107.38999938964844,43248968,2025-06-30
2025-07-07,112.18000030517578,112.18000030517578,113.12999725341797,105.83999633789062,106.0,66332937,2025-07-07
2025-07-14,110.08999633789062,110.08999633789062,112.63999938964844,108.80000305175781,112.5999984741211,14033858,2025-07-14
