Date,Adj Close_NAVNETEDUL.NS,Close_NAVNETEDUL.NS,High_NAVNETEDUL.NS,Low_NAVNETEDUL.NS,Open_NAVNETEDUL.NS,Volume_NAVNETEDUL.NS,Date
2020-07-13,70.99005126953125,76.05000305175781,77.0,74.0999984741211,76.25,236455,2020-07-13
2020-07-20,71.2234115600586,76.30000305175781,77.3499984741211,74.0999984741211,76.0,261456,2020-07-20
2020-07-27,68.74972534179688,73.6500015258789,81.0,73.0,75.5,386736,2020-07-27
2020-08-03,70.42996215820312,75.44999694824219,78.1500015258789,73.0,75.0,223819,2020-08-03
2020-08-10,72.29689025878906,77.44999694824219,84.0,74.9000015258789,76.0,848766,2020-08-10
2020-08-17,76.07742309570312,81.5,82.94999694824219,77.44999694824219,79.44999694824219,741094,2020-08-17
2020-08-24,74.95726776123047,80.30000305175781,82.75,78.5,81.5999984741211,423188,2020-08-24
2020-08-31,72.34356689453125,77.5,82.0,75.25,81.69999694824219,296495,2020-08-31
2020-09-07,73.41704559326172,78.6500015258789,82.6500015258789,76.0999984741211,77.5,296396,2020-09-07
2020-09-14,76.40413665771484,81.8499984741211,86.19999694824219,77.5,77.5,490115,2020-09-14
2020-09-21,71.73680877685547,76.8499984741211,82.80000305175781,75.0,82.25,322175,2020-09-21
2020-09-28,71.92350006103516,77.05000305175781,78.30000305175781,75.5,77.05000305175781,185117,2020-09-28
2020-10-05,71.92350006103516,77.05000305175781,79.5,75.5999984741211,79.5,272627,2020-10-05
2020-10-12,73.93045043945312,79.19999694824219,81.4000015258789,76.0999984741211,77.05000305175781,550921,2020-10-12
2020-10-19,76.07742309570312,81.5,82.80000305175781,79.30000305175781,79.5,297047,2020-10-19
2020-10-26,71.55010986328125,76.6500015258789,81.80000305175781,76.05000305175781,81.80000305175781,160409,2020-10-26
2020-11-02,72.29689025878906,77.44999694824219,82.4000015258789,75.0,76.55000305175781,162326,2020-11-02
2020-11-09,75.93740844726562,81.3499984741211,82.25,76.5999984741211,77.1500015258789,251009,2020-11-09
2020-11-16,76.87086486816406,82.3499984741211,88.8499984741211,80.4000015258789,80.4000015258789,1480971,2020-11-16
2020-11-23,75.28396606445312,80.6500015258789,85.30000305175781,80.0999984741211,84.0,324189,2020-11-23
2020-11-30,76.73084259033203,82.19999694824219,84.19999694824219,79.55000305175781,80.6500015258789,335068,2020-11-30
