Date,Adj Close_GRWRHITECH.NS,Close_GRWRHITECH.NS,High_GRWRHITECH.NS,Low_GRWRHITECH.NS,Open_GRWRHITECH.NS,Volume_GRWRHITECH.NS,Date
2022-01-31,840.3878173828125,860.5999755859375,889.0,840.0499877929688,884.7999877929688,53504,2022-01-31
2022-02-07,747.5701293945312,765.5499877929688,878.7999877929688,738.4500122070312,878.7999877929688,126137,2022-02-07
2022-02-14,673.8921508789062,690.0999755859375,775.0,685.0,739.0,102165,2022-02-14
2022-02-21,791.2202758789062,810.25,818.0,606.0499877929688,666.0,550808,2022-02-21
2022-02-28,754.6986694335938,772.8499755859375,824.0,752.0,805.0,117957,2022-02-28
2022-03-07,725.2079467773438,742.6500244140625,799.7999877929688,716.3499755859375,770.0,88516,2022-03-07
2022-03-14,704.505859375,721.4500122070312,747.4500122070312,704.0,739.5999755859375,65728,2022-03-14
2022-03-21,725.9892578125,743.4500122070312,799.7000122070312,715.5,734.4000244140625,200891,2022-03-21
2022-03-28,706.4100952148438,723.4000244140625,743.0,682.0,743.0,165211,2022-03-28
2022-04-04,728.7234497070312,746.25,787.0,726.8499755859375,737.0,78588,2022-04-04
2022-04-11,754.1127319335938,772.25,780.75,735.0,746.25,53794,2022-04-11
2022-04-18,735.7055053710938,753.4000244140625,775.0,702.7000122070312,772.25,73301,2022-04-18
2022-04-25,697.1820068359375,713.9500122070312,770.0,711.0,770.0,96110,2022-04-25
2022-05-02,653.1412353515625,668.8499755859375,725.5999755859375,645.0499877929688,713.9500122070312,69317,2022-05-02
2022-05-09,597.82177734375,612.2000122070312,666.0,583.25,665.9000244140625,84020,2022-05-09
2022-05-16,636.34521484375,651.6500244140625,676.0499877929688,612.0,619.75,43160,2022-05-16
2022-05-23,666.421875,682.4500122070312,709.7999877929688,593.7000122070312,651.6500244140625,118260,2022-05-23
2022-05-30,651.2371215820312,666.9000244140625,701.0,660.6500244140625,689.0,55179,2022-05-30
2022-06-06,676.5775756835938,692.8499755859375,710.0,650.0499877929688,673.5499877929688,64115,2022-06-06
2022-06-13,637.5170288085938,652.8499755859375,691.1500244140625,641.0,685.0,35037,2022-06-13
2022-06-20,662.0763549804688,678.0,690.0,631.0,663.4500122070312,29710,2022-06-20
