Date,Adj Close_MOSCHIP.NS,Close_MOSCHIP.NS,High_MOSCHIP.NS,Low_MOSCHIP.NS,Open_MOSCHIP.NS,Volume_MOSCHIP.NS,Date
2025-02-03,196.83999633789062,196.83999633789062,208.0,195.85000610351562,203.5,727869,2025-02-03
2025-02-10,175.25,175.25,204.89999389648438,163.1999969482422,196.83999633789062,3431129,2025-02-10
2025-02-17,170.64999389648438,170.64999389648438,178.47000122070312,161.0500030517578,175.0,1855274,2025-02-17
2025-02-24,153.07000732421875,153.07000732421875,170.69000244140625,146.25,169.8800048828125,2037642,2025-02-24
2025-03-03,168.8800048828125,168.8800048828125,172.2899932861328,136.74000549316406,154.0,4676621,2025-03-03
2025-03-10,150.67999267578125,150.67999267578125,172.9499969482422,149.9499969482422,169.00999450683594,2126023,2025-03-10
2025-03-17,162.66000366210938,162.66000366210938,164.30999755859375,139.25,150.50999450683594,3833483,2025-03-17
2025-03-24,146.0500030517578,146.0500030517578,169.0,145.0,164.89999389648438,5497734,2025-03-24
2025-03-31,147.24000549316406,147.24000549316406,154.7899932861328,143.6199951171875,146.0500030517578,2588325,2025-03-31
2025-04-07,146.74000549316406,146.74000549316406,151.0,129.97999572753906,129.99000549316406,2186714,2025-04-07
2025-04-14,167.4600067138672,167.4600067138672,172.0,146.74000549316406,146.74000549316406,3281646,2025-04-14
2025-04-21,169.0500030517578,169.0500030517578,188.5,164.50999450683594,173.99000549316406,6300674,2025-04-21
2025-04-28,156.02999877929688,156.02999877929688,173.75999450683594,151.80999755859375,169.30999755859375,2390158,2025-04-28
2025-05-05,149.25999450683594,149.25999450683594,162.75,144.6199951171875,156.25,2548713,2025-05-05
2025-05-12,183.1300048828125,183.1300048828125,187.14999389648438,157.10000610351562,160.0,6348260,2025-05-12
2025-05-19,177.3699951171875,177.3699951171875,189.0,175.0,183.30999755859375,6314749,2025-05-19
2025-05-26,187.91000366210938,187.91000366210938,190.0,162.74000549316406,177.8000030517578,11753911,2025-05-26
2025-06-02,188.22000122070312,188.22000122070312,199.1199951171875,183.14999389648438,190.39999389648438,11850470,2025-06-02
2025-06-09,179.0800018310547,179.0800018310547,202.0,177.0,189.49000549316406,8382276,2025-06-09
2025-06-16,175.13999938964844,175.13999938964844,186.47000122070312,170.0399932861328,179.0,4021789,2025-06-16
2025-06-23,182.0800018310547,182.0800018310547,185.5,172.05999755859375,172.39999389648438,4424200,2025-06-23
2025-06-30,177.19000244140625,177.19000244140625,182.7100067138672,174.58999633789062,181.86000061035156,2629175,2025-06-30
2025-07-07,174.2899932861328,174.2899932861328,178.6999969482422,171.77000427246094,177.60000610351562,1944799,2025-07-07
2025-07-14,176.6699981689453,176.6699981689453,178.0,171.50999450683594,174.8000030517578,988246,2025-07-14
